row_id,part,provider,method,path,operationId
b0001,8,github.com,POST,/repos/{owner}/{repo}/keys,repos/create-deploy-key
b0002,5,github.com,DELETE,/orgs/{org}/announcement,announcement-banners/remove-announcement-banner-for-org
b0003,7,github.com,DELETE,/orgs/{org}/blocks/{username},orgs/unblock-user
b0004,2,github.com,DELETE,/user/keys/{key_id},users/delete-public-ssh-key-for-authenticated
b0005,5,github.com,POST,/teams/{team_id}/discussions/{discussion_number}/reactions,reactions/create-for-team-discussion
b0006,5,github.com,DELETE,/scim/v2/Users/{scim_user_id},enterprise-admin/delete-user-from-enterprise
b0007,1,github.com,PATCH,/teams/{team_id}/discussions/{discussion_number},teams/update-discussion-legacy
b0008,5,github.com,POST,/applications/{client_id}/token,apps/check-token
b0009,4,github.com,POST,/enterprises/{enterprise}/{security_product}/{enablement},secret-scanning/post-security-product-enablement-for-enterprise
b0010,8,github.com,POST,/admin/ldap/teams/{team_id}/sync,enterprise-admin/sync-ldap-mapping-for-team
b0011,2,github.com,PUT,/repos/{owner}/{repo}/topics,repos/replace-all-topics
b0012,1,github.com,DELETE,/user/installations/{installation_id}/repositories/{repository_id},apps/remove-repo-from-installation-for-authenticated-user
b0013,6,github.com,DELETE,/enterprises/{enterprise}/actions/runner-groups/{runner_group_id},enterprise-admin/delete-self-hosted-runner-group-from-enterprise
b0014,5,github.com,DELETE,/teams/{team_id}/projects/{project_id},teams/remove-project
b0015,5,github.com,PUT,/orgs/{org}/teams/{team_slug}/memberships/{username},teams/add-or-update-membership-for-user-in-org
b0016,6,github.com,POST,/repos/{owner}/{repo}/branches/{branch}/protection/enforce_admins,repos/set-admin-branch-protection
b0017,6,github.com,POST,/user/ssh_signing_keys,users/create-ssh-signing-key-for-authenticated-user
b0018,8,github.com,POST,/repos/{owner}/{repo}/git/commits,git/create-commit
b0019,2,github.com,PUT,/repos/{owner}/{repo}/notifications,activity/mark-repo-notifications-as-read
b0020,3,github.com,DELETE,/users/{username}/packages/{package_type}/{package_name},packages/delete-package-for-user
b0021,1,github.com,PUT,/orgs/{org}/memberships/{username},orgs/set-membership-for-user
b0022,8,github.com,DELETE,/repos/{owner}/{repo}/issues/{issue_number}/labels/{name},issues/remove-label
b0023,4,github.com,POST,/repos/{owner}/{repo}/pages,repos/create-pages-site
b0024,1,github.com,PATCH,/repos/{owner}/{repo}/issues/{issue_number},issues/update
b0025,4,github.com,PUT,/repos/{owner}/{repo}/pulls/{pull_number}/reviews/{review_id}/dismissals,pulls/dismiss-review
b0026,2,github.com,PATCH,/repos/{owner}/{repo}/milestones/{milestone_number},issues/update-milestone
b0027,5,github.com,POST,/repos/{owner}/{repo}/pulls/comments/{comment_id}/reactions,reactions/create-for-pull-request-review-comment
b0028,3,github.com,PATCH,/repos/{owner}/{repo}/pre-receive-hooks/{pre_receive_hook_id},enterprise-admin/update-pre-receive-hook-enforcement-for-repo
b0029,6,github.com,DELETE,/repos/{owner}/{repo}/comments/{comment_id}/reactions/{reaction_id},reactions/delete-for-commit-comment
b0030,1,github.com,DELETE,/repos/{owner}/{repo}/branches/{branch}/protection/required_signatures,repos/delete-commit-signature-protection
b0031,4,github.com,PATCH,/enterprise/announcement,enterprise-admin/set-announcement
b0032,4,github.com,POST,/repos/{owner}/{repo}/labels,issues/create-label
b0033,4,github.com,POST,/gists,gists/create
b0034,3,github.com,PUT,/repos/{owner}/{repo}/subscription,activity/set-repo-subscription
b0035,2,github.com,PUT,/orgs/{org}/actions/variables/{name}/repositories,actions/set-selected-repos-for-org-variable
b0036,5,github.com,DELETE,/user/migrations/{migration_id}/repos/{repo_name}/lock,migrations/unlock-repo-for-authenticated-user
b0037,2,github.com,PUT,/repos/{owner}/{repo}/issues/{issue_number}/lock,issues/lock
b0038,8,github.com,PUT,/enterprises/{enterprise}/actions/runner-groups/{runner_group_id}/runners/{runner_id},enterprise-admin/add-self-hosted-runner-to-group-for-enterprise
b0039,8,github.com,PATCH,/orgs/{org}/hooks/{hook_id},orgs/update-webhook
b0040,8,github.com,POST,/repos/{owner}/{repo}/git/tags,git/create-tag
b0041,2,github.com,DELETE,/repos/{owner}/{repo}/branches/{branch}/protection/required_pull_request_reviews,repos/delete-pull-request-review-protection
b0042,4,github.com,DELETE,/applications/{client_id}/token,apps/delete-token
b0043,6,github.com,POST,/repos/{owner}/{repo}/actions/workflows/{workflow_id}/dispatches,actions/create-workflow-dispatch
b0044,8,github.com,DELETE,/repos/{owner}/{repo}/environments/{environment_name},repos/delete-an-environment
b0045,9,github.com,DELETE,/admin/pre-receive-hooks/{pre_receive_hook_id},enterprise-admin/delete-pre-receive-hook
b0046,7,github.com,POST,/repos/{owner}/{repo}/actions/variables,actions/create-repo-variable
b0047,9,github.com,PUT,/setup/api/settings,enterprise-admin/set-settings
b0048,1,github.com,PATCH,/orgs/{org}/teams/{team_slug},teams/update-in-org
b0049,3,github.com,PUT,/users/{username}/suspended,enterprise-admin/suspend-user
b0050,3,github.com,DELETE,/repos/{owner}/{repo}/branches/{branch}/protection/restrictions/apps,repos/remove-app-access-restrictions
b0051,4,github.com,DELETE,/teams/{team_id}/discussions/{discussion_number},teams/delete-discussion
b0052,7,github.com,DELETE,/orgs/{org}/public_members/{username},orgs/remove-public-membership-for-authenticated-user
b0053,9,github.com,DELETE,/repos/{owner}/{repo}/pages,repos/delete-pages-site
b0054,7,github.com,DELETE,/enterprises/{enterprise}/actions/runners/{runner_id}/labels,enterprise-admin/remove-all-custom-labels-from-self-hosted-runner-for-enterprise
b0055,4,github.com,POST,/repos/{owner}/{repo}/actions/runs/{run_id}/rerun-failed-jobs,actions/re-run-workflow-failed-jobs
b0056,1,github.com,DELETE,/user/codespaces/secrets/{secret_name}/repositories/{repository_id},codespaces/remove-repository-for-secret-for-authenticated-user
b0057,1,github.com,PUT,/orgs/{org}/actions/required_workflows/{required_workflow_id}/repositories,actions/set-selected-repos-to-required-workflow
b0058,5,github.com,POST,/repos/{owner}/{repo}/actions/runs/{run_id}/approve,actions/approve-workflow-run
b0059,6,github.com,DELETE,/projects/columns/cards/{card_id},projects/delete-card
b0060,2,github.com,PUT,/enterprises/{enterprise}/actions/runners/{runner_id}/labels,enterprise-admin/set-custom-labels-for-self-hosted-runner-for-enterprise
b0061,4,github.com,DELETE,/user/emails,users/delete-email-for-authenticated-user
b0062,6,github.com,DELETE,/orgs/{org}/actions/runners/{runner_id}/labels/{name},actions/remove-custom-label-from-self-hosted-runner-for-org
b0063,8,github.com,POST,/repos/{owner}/{repo}/pages/deployment,repos/create-pages-deployment
b0064,9,github.com,PUT,/user/codespaces/secrets/{secret_name}/repositories,codespaces/set-repositories-for-secret-for-authenticated-user
b0065,5,github.com,POST,/orgs/{org}/actions/runners/registration-token,actions/create-registration-token-for-org
b0066,9,github.com,PATCH,/admin/organizations/{org},enterprise-admin/update-org-name
b0067,8,github.com,PATCH,/repos/{owner}/{repo}/branches/{branch}/protection/required_status_checks,repos/update-status-check-protection
b0068,6,github.com,PUT,/repos/{owner}/{repo}/branches/{branch}/protection,repos/update-branch-protection
b0069,4,github.com,PUT,/repos/{owner}/{repo}/branches/{branch}/protection/restrictions/teams,repos/set-team-access-restrictions
b0070,5,github.com,POST,/users/{username}/packages/{package_type}/{package_name}/restore,packages/restore-package-for-user
b0071,3,github.com,PATCH,/repositories/{repository_id}/environments/{environment_name}/variables/{name},actions/update-environment-variable
b0072,6,github.com,DELETE,/user/packages/{package_type}/{package_name}/versions/{package_version_id},packages/delete-package-version-for-authenticated-user
b0073,8,github.com,DELETE,/reactions/{reaction_id},reactions/delete
