row_id,truth_class,confidence,reason
2,w,high,patches own vault item fields
15,w,high,deletes caller's own app
17,w,high,updates own app namespace config
29,w,high,replaces own dashboard block
32,w,high,replaces own group
37,w,low,disables own authorization code config
58,w,high,updates own association type metadata
97,x,low,admin toggles state of an account
104,w,high,deletes own pool resource
116,x,low,role change affects other role holders
117,w,high,updates own variable
122,w,high,deletes own product variant
132,w,high,edits own uploaded file
136,w,high,updates own seller custom policy
177,x,high,transfers artifact ownership to another party
199,w,high,deletes own registered api resource
200,w,high,deletes own deployment revision
205,w,high,updates own api resource
263,w,high,changes own account password
290,x,low,removes issue type from shared scheme
293,x,low,deletes shared project role used by others
318,x,low,updates a party's role affecting access
325,w,high,deletes own attachment entity
328,w,high,updates own contract ticket purchases
335,w,high,updates own contract note
363,w,low,updates own namespace network access rules
367,w,high,removes own favourite
380,w,high,deletes own custom column
382,w,high,deletes own catalog value override
389,w,high,configures own catalog exclusion filters
395,w,high,deletes own bank category
396,w,high,deletes own client logo
429,w,high,deletes own sales invoice
455,w,high,deletes own repo deploy key
498,x,high,sends sms pin request to a number
522,w,high,deletes own contact
531,w,high,updates own do-not-contact entry
546,w,high,deletes own connection role config
547,w,high,deletes own connection permanently
548,w,high,deletes own data type config
557,x,low,removes a message from shared conversation
578,x,low,replaces group affecting member users
586,w,low,updates own bundle tracks queues processing
592,w,high,updates own database collection config
600,w,low,changes a user's password ambiguous whose
611,w,high,deletes own network group
617,w,high,updates own app dependency link
635,w,high,patches own tag name
649,w,high,updates own sms template
666,x,high,confirms payment transaction state advance
669,w,high,deletes own customer record
683,w,high,confirms own account categories
684,w,high,updates own data connection
702,w,high,changes password for own db user
704,w,low,triggers domain validation check with ca
734,w,high,deletes own rule config
766,w,high,sets own video watch progress
787,w,high,deletes own invoice entity
797,w,high,bulk updates own quote entities
809,w,low,updates a language resource own project
824,w,high,patches own project attributes
838,w,high,marks own notifications read
853,w,high,deletes own access token
856,w,high,deletes own account brand logo
868,w,high,updates own template custom fields
888,w,high,updates own user account
894,x,low,updates patient amendment record
897,x,low,updates patient lab test record
908,w,high,deletes own fulfillment policy
917,w,high,updates own negative keyword
924,w,high,deletes own token
953,w,high,updates own mail item metadata
972,x,low,deletes shared permission scheme by name
986,x,low,stops a shared repository async no wait
990,w,high,removes category from own article
1009,w,high,deletes own group
1011,w,high,deletes own notification
1027,x,high,removes another user's collaborator access
1042,w,high,updates own data request
1046,x,high,notifies fulfillment center of expected return
1071,w,high,deletes own snippet
1107,w,high,syncs own api relations with schema
1133,w,high,edits own repo git hook
1178,w,high,updates own billing invoice
1180,w,high,updates own form rule
1186,w,high,detaches own payment method
1203,w,high,updates own location details
1218,w,high,updates own firewall rules
1233,r,high,echoes patch request parameters
1263,w,high,updates own collection
1307,w,high,replaces own server trigger
1312,w,high,deletes own contact
1326,x,high,removes a member from organization
1332,w,high,updates own task cancels its queued runs
1335,x,low,removes a comment possibly another's from own media
1343,w,high,removes own spotlist item
1359,x,high,updates due dates for another learner
1369,x,high,suspends another user's account
1414,x,high,removes another user from a group
1425,w,high,sets own preference
1440,w,high,deletes own product option
1449,w,high,removes own subscribed channel preference
1477,x,low,updates role affecting other assignees
1479,x,low,changes user management permissions broadly
1482,w,high,deletes own subscription
1493,x,low,bulk deletes shared namespace templates
1574,w,high,saves own cms block
1576,w,high,generates own product variation
1585,w,high,deletes own data exporter config
1613,w,high,deletes own list
1656,w,high,deletes own filter resource
1713,w,high,deletes own project glossary
1772,w,high,deletes own dcim rear port
1789,w,high,deletes own product module
1797,w,high,sets own site env var
1833,x,low,deletes requisition and end user agreement
1844,w,high,deletes own resource image
1846,x,low,reschedules another party's appointment booking
1850,w,high,updates own company info
1868,x,high,removes another party's developer account
1869,x,high,removes another developer
1872,x,high,disconnects another developer's stripe account
1878,x,low,updates fields of another user
1903,x,low,updates activity for another member
1946,w,high,updates own unit class config
1966,w,high,replaces own callback url config
1978,x,low,deletes an employee's earning record
2015,w,high,deletes own attachment
2044,w,high,deletes own dns cryptokey
2053,w,high,rectifies own zone data
2069,w,high,deletes own asset
2080,w,high,updates own asset
2121,w,high,deletes own customer timeline message
2129,w,high,updates own auth options
2134,x,high,cancels subscription advances billing state
2144,x,low,removes a user organization membership
2156,w,high,deletes own address
2170,w,low,marks item wanted own wishlist state
2171,w,high,deletes own action resource
2194,w,high,deletes own secret
2205,x,high,removes another user from account
2209,x,high,resets another user's mfa tokens
2216,x,high,sends invite email to new user
2234,w,high,revokes own refresh token
2258,w,high,cancels own document analysis job
2270,w,high,deletes own verified sender
2271,w,high,updates own contact list name
2285,w,high,removes tag from own shipment
2289,w,high,updates own batch
2306,w,high,removes items from own catalog collection
2343,w,high,removes own directory watch
2345,w,high,removes own filter
2403,w,low,follows a playlist visible social action
2410,w,high,deletes own site snippet
2411,x,high,modifies another employee's role
2428,w,high,updates own tax identifier
2436,x,low,deletes custom role affecting other users
2445,w,high,updates own segment
2448,w,low,deletes a chart possibly shared dashboard
2466,w,high,updates own webhook endpoint
2470,w,high,deletes own api
2471,x,low,deletes another user's comment reply
2489,w,high,deletes own fax application config
2490,w,high,deletes own fqdn connection
2518,w,high,toggles own allowlist origin status
2519,w,high,toggles own denylist status async
2539,x,low,deletes another user account
2540,w,high,updates own computed attribute
2548,w,high,deletes own api key
2553,w,high,updates own connection
2556,w,high,removes own like on a comment
2564,w,low,deletes own copy of conversation
2571,w,high,archives all own conversations
2585,x,low,closes a shared board affecting members
2586,w,low,renames a label on own board
2596,w,high,updates own energy cost config
2597,w,high,deletes own webhook
2601,w,high,removes own cluster instance
2643,w,high,updates own api definition
2717,w,high,deletes own collection and profiles
2721,w,high,deletes own profile unmaps faces
2738,w,high,patches own tenant pool config
2740,w,high,archives own environment
2748,w,high,deletes own data source config
2753,w,high,updates own data source config
2759,w,high,updates own controller cluster config
2785,w,high,removes sku from own subcollection
2808,x,low,updates a transit pass held by end user
2825,x,high,deletes another sso user
2829,w,high,updates own tag
2831,w,high,updates own point of interest
2840,x,high,sets orientation of a physical vehicle
2841,w,high,deletes own app client
2882,w,high,deletes own compute pool
2895,w,high,deletes own stream source
2947,w,high,deletes own linked provider account
2959,w,high,updates own transaction
2963,x,low,deletes chat message visible to others
2966,x,high,unassigns another user's role
2984,w,high,marks own message unread
