row_id,truth_class,confidence,reason
2,w,high,rule4 own item patch in own vault
15,w,high,own app deleted in own tenant
17,w,high,rule4 namespace definition own container
29,w,high,own dashboard block replace
32,w,high,rule4 group container own definition
37,w,high,rule4 disable own definition
58,w,high,rule4 association type definition
97,x,high,rule2 disables an account
104,w,high,own pool container deleted
116,w,high,rule4 delete role example
117,w,high,own variable definition
122,w,high,rule4 catalogue entry own variant
132,w,high,own file edit
136,w,high,rule4 own policy definition
177,x,high,road1b changes artifact ownership access
199,w,high,cascade own system rule
200,w,high,own deployment revision
205,w,high,own api definition update
263,w,high,rule2 own account password
290,w,high,rule4 config membership not people
293,w,high,rule4 delete role example
318,w,high,own role definition update
325,w,high,own attachment record
328,w,high,own contract entity
335,w,high,own notes entity
363,w,high,rule6 own network config
367,w,high,rule7 own favourite relation
380,w,high,own custom column config
382,w,high,own catalog override config
389,w,high,own exclusion filter config
395,w,high,own category definition
396,w,high,rule1 client record own logo
429,w,high,own invoice record deleted
455,w,high,rule6 own deploy key
498,x,high,road1a sends sms to msisdn
522,w,high,rule1 contact record own account
531,w,high,own dnc list config
546,w,high,own connection role definition
547,w,high,irreversibility not test own connection
548,w,high,own data type definition
557,w,high,own message deleted by creator
578,w,high,rule4 group container definition
586,w,high,own bundle tracks update
592,w,high,rule5 own admin config
600,w,high,rule2 own user password no id param
611,w,high,rule6 own network group
617,w,low,no text own app dependency
635,w,high,own tag name
649,w,high,own sms template not sending
666,x,high,rule10 confirms payment road1c
669,w,high,rule1 customer record own system
683,w,high,own account categorisation no reach
684,w,high,own data connection config
702,w,high,own db user password not login account
704,w,high,own cert validation config
734,w,high,own rule config deleted
766,w,high,own watching progress record
787,w,high,rule1 own invoice record
797,w,high,own quote record bulk
809,w,high,own language definition
824,w,high,rule4 own project container
838,w,high,rule11 mark as read own
853,w,high,rule6 own token deleted
856,w,high,own brand logo asset
868,w,high,own template custom fields
888,w,high,rule2 own account update
894,w,high,rule1 patient record own app
897,w,high,own lab test record
908,w,high,own fulfillment policy definition
917,w,high,own keyword config
924,w,low,no text own token default
953,w,high,own mail metadata not sending
972,w,high,rule4 permission scheme definition
986,w,high,rule9 stop own resource
990,w,high,own article category deassociation
