row_id,exam3_class,exam3_confidence,exam4_class,exam4_confidence
113,w,high,x,low
155,w,low,x,high
188,w,high,x,low
190,w,high,x,low
247,w,low,x,low
268,w,high,x,low
293,w,low,x,low
299,w,low,x,low
304,w,high,x,high
305,w,low,x,high
306,w,high,x,high
310,w,high,x,high
316,w,high,x,high
375,w,high,x,low
376,w,high,x,low
406,w,high,x,low
407,w,high,x,low
409,w,high,x,low
478,x,low,w,high
493,x,low,w,high
543,w,low,x,low
544,w,low,x,low
545,w,low,x,low
747,w,high,x,low
749,w,high,x,low
750,w,high,x,low
752,w,low,x,low
776,w,low,x,low
855,w,low,x,low
892,w,high,x,high
924,w,low,x,low
926,w,high,x,low
937,w,low,x,low
954,w,low,x,low
1032,x,low,w,high
1033,w,low,x,low
1040,w,low,x,low
1248,w,high,x,low
1249,w,high,x,low
1298,w,low,x,low
1371,w,low,x,low
1380,w,high,x,low
1385,w,high,x,low
1386,w,high,x,low
1413,x,low,w,high
1417,w,low,x,low
1455,w,high,x,high
1464,w,high,x,high
1477,w,high,x,high
1482,w,low,x,low
1536,w,high,x,low
1537,w,low,x,low
1538,w,low,x,low
1539,w,low,x,low
1546,w,high,x,low
1552,w,high,x,low
1553,w,high,x,low
1570,w,high,x,low
1578,w,high,x,low
1706,x,high,w,high
1735,w,high,x,high
1742,w,high,x,high
1747,w,high,x,high
1750,w,high,x,high
1751,w,low,x,high
1786,x,low,w,high
1787,x,low,w,high
1812,w,low,x,low
1814,w,low,x,low
1822,w,low,x,high
1831,w,low,x,high
1834,w,high,x,high
1860,w,low,x,high
1863,w,high,x,low
1870,w,low,x,high
1876,w,low,x,low
1884,w,low,x,low
1885,w,low,x,low
1886,w,low,x,low
1887,w,low,x,low
1891,w,low,x,high
1893,w,low,x,high
1894,w,low,x,low
1897,w,low,x,high
1898,w,low,x,high
1915,w,high,x,low
1955,x,high,w,high
1956,x,low,w,high
1959,x,high,w,high
1960,x,low,w,high
1961,w,low,x,low
1969,w,high,x,low
1977,w,high,x,low
1981,w,high,x,high
1984,w,high,x,high
1989,w,high,x,low
2003,w,high,x,low
2010,w,high,x,low
2011,w,high,x,low
2029,w,high,x,low
2043,w,low,x,high
2044,w,high,x,low
2045,w,high,x,low
2046,w,high,x,high
2047,w,high,x,low
2053,w,high,x,low
2141,w,low,x,high
2177,w,low,x,high
2323,w,low,x,low
2342,w,low,x,low
2363,w,low,x,low
2366,w,high,x,low
2380,x,low,w,high
2381,x,high,w,high
2383,x,low,w,high
2403,w,low,x,low
2419,w,low,x,low
2421,w,low,x,low
2439,w,high,x,low
2473,w,low,x,low
2500,w,low,x,low
2501,w,low,x,low
2573,w,low,x,low
2627,w,low,x,low
2630,w,high,x,low
2634,w,high,x,low
2637,w,low,x,low
2641,w,high,x,low
2642,w,high,x,low
2663,x,low,w,high
2671,w,low,x,low
2684,w,low,x,low
2689,w,low,x,low
2727,w,low,x,low
2763,w,low,x,low
2768,w,low,x,low
2769,w,low,x,low
2771,w,low,x,low
2772,w,low,x,low
2774,w,low,x,low
2777,w,low,x,low
2810,w,low,x,low
2812,w,low,x,low
2857,w,low,x,high
2871,w,low,x,high
2873,w,low,x,low
2883,x,high,w,low
2885,w,low,x,low
2886,w,low,x,low
2936,w,high,x,low
