row_id,corpus_index,set,vendor,method,path,operationId,split
1,48,camara,camara,POST,/accesses,createAccess,measure-part2
2,52,camara,camara,POST,/accesses/{accessId}/devices/add,addDevicesToAccess,holdback
3,53,camara,camara,POST,/accesses/{accessId}/devices/remove,removeDevicesFromAccess,holdback
4,172,camara,camara,POST,/answer,queryAssistant,measure-part1
5,112,camara,camara,POST,/app-instances,createAppInstance,measure-part2
6,1,camara,camara,POST,/application-endpoint-lists,registerApplicationEndpoints,measure-part2
7,6,camara,camara,POST,/application-profiles,createApplicationProfile,measure-part2
8,108,camara,camara,POST,/apps,submitApp,measure-part2
9,178,camara,camara,POST,/assessment,assessConnectionFeasibility,measure-part1
10,167,camara,camara,POST,/assistants,createAssistant,measure-part2
11,144,camara,camara,POST,/bind,bindDeviceImei,holdback
12,12,camara,camara,POST,/blockchain-public-addresses,bindBlockchainPublicAddress,measure-part1
13,11,camara,camara,POST,/blockchain-public-addresses/retrieve-blockchains,retrieveBlockchainPublicAddress,measure-part2
14,123,camara,camara,POST,/calculate-carbon-footprint,calculateCarbonFootprint,measure-part1
15,122,camara,camara,POST,/calculate-energy-consumption,calculateEnergyConsumption,holdback
16,15,camara,camara,POST,/call-forwardings,retrieveCallForwarding,measure-part2
17,28,camara,camara,POST,/calls,createCall,measure-part1
18,259,camara,camara,POST,/campaign/management,manageCampaign,measure-part2
19,258,camara,camara,POST,/campaign/{sponsorId}/{campaignId}/alert-subscription,configureAlerts,holdback
20,68,camara,camara,POST,/check,checkDataVolume,holdback
21,106,camara,camara,POST,/check,checkDeviceSwap,measure-part1
22,208,camara,camara,POST,/check,checkNumberRecycling,measure-part1
23,250,camara,camara,POST,/check,checkSimSwap,measure-part2
24,41,camara,camara,POST,/check-network-quality,checkNetworkQuality,measure-part2
25,62,camara,camara,POST,/check-status,checkImeiStatus,holdback
26,261,camara,camara,POST,/check-tenure,checkTenure,measure-part1
27,43,camara,camara,POST,/consents,createConsent,measure-part2
28,45,camara,camara,POST,/consents/retrieve-info,retrieveConsentInfo,measure-part1
29,239,camara,camara,POST,/count,count,holdback
30,134,camara,camara,POST,/delete,deleteEsimProfile,measure-part2
31,116,camara,camara,POST,/deployments,createAppDeployment,measure-part2
32,224,camara,camara,POST,/device-qos-bookings,createBooking,holdback
33,133,camara,camara,POST,/disable,disableEsimProfile,holdback
34,131,camara,camara,POST,/download,downloadEsimProfile,measure-part1
35,132,camara,camara,POST,/enable,enableEsimProfile,measure-part1
36,138,camara,camara,POST,/features/power-saving,activatePowerSaving,measure-part2
37,148,camara,camara,POST,/fill-in,KYC_Fill-in,holdback
38,151,camara,camara,POST,/fill-in,kycFillin,measure-part2
