repo,file,path,method,operationId,class,confidence,rule_id,evidence
ApplicationEndpointDiscovery,application-endpoint-discovery.yaml,/retrieve-optimal-app-endpoints,POST,getOptimalAppEndpoints,r,low,L4-lookup,verb=return
ApplicationProfiles,application-profiles.yaml,/application-profiles,POST,createApplicationProfile,x,low,L3-live-noun,nouns=network verb=create
ApplicationProfiles,application-profiles.yaml,/application-profiles/{applicationProfileId},PATCH,updateApplicationProfile,x,low,L3-live-noun,nouns=network verb=update
ApplicationProfiles,application-profiles.yaml,/application-profiles/{applicationProfileId},GET,readApplicationProfile,r,high,L0-safe-locked,method=GET
ApplicationProfiles,application-profiles.yaml,/application-profiles/{applicationProfileId},DELETE,deleteApplicationProfile,w,method-only,L5-floor,verb=delete
CallForwardingSignal,call-forwarding-signal.yaml,/unconditional-call-forwardings,POST,retrieveUnconditionalCallForwarding,r,low,L4-lookup,verb=retrieve
CallForwardingSignal,call-forwarding-signal.yaml,/call-forwardings,POST,retrieveCallForwarding,r,low,L4-lookup,verb=retrieve
CarrierBillingCheckOut,carrier-billing-refund.yaml,/payments/{paymentId}/refunds,POST,createRefund,x,high,L1-structural,"structural=callbacks,sink"
CarrierBillingCheckOut,carrier-billing-refund.yaml,/payments/{paymentId}/refunds,GET,retrieveRefunds,r,high,L0-safe-locked,method=GET
CarrierBillingCheckOut,carrier-billing-refund.yaml,/payments/{paymentId}/refunds/{refundId},GET,retrieveRefund,r,high,L0-safe-locked,method=GET
CarrierBillingCheckOut,carrier-billing-refund.yaml,/payments/{paymentId}/refunds/remaining-amount,GET,retrievePaymentRemainingAmount,r,high,L0-safe-locked,method=GET
CarrierBillingCheckOut,carrier-billing.yaml,/payments,POST,createPayment,x,high,L1-structural,"structural=callbacks,sink"
CarrierBillingCheckOut,carrier-billing.yaml,/payments,GET,retrievePayments,r,high,L0-safe-locked,method=GET
CarrierBillingCheckOut,carrier-billing.yaml,/payments/{paymentId},GET,retrievePayment,r,high,L0-safe-locked,method=GET
CarrierBillingCheckOut,carrier-billing.yaml,/payments/prepare,POST,preparePayment,x,high,L1-structural,"structural=callbacks,sink"
CarrierBillingCheckOut,carrier-billing.yaml,/payments/{paymentId}/validate,POST,validatePayment,x,high,L2-danger-verb,verbs=pay
CarrierBillingCheckOut,carrier-billing.yaml,/payments/{paymentId}/confirm,POST,confirmPayment,x,high,L2-danger-verb,"verbs=pay,reserv"
CarrierBillingCheckOut,carrier-billing.yaml,/payments/{paymentId}/cancel,POST,cancelPayment,x,high,L2-danger-verb,"verbs=cancel,pay,reserv"
ConnectedNetworkType,connected-network-type-subscriptions.yaml,/subscriptions,POST,createConnectedNetworkTypeSubscription,x,high,L1-structural,"structural=callbacks,sink"
ConnectedNetworkType,connected-network-type-subscriptions.yaml,/subscriptions,GET,retrieveConnectedNetworkTypeSubscriptionList,r,high,L0-safe-locked,method=GET
ConnectedNetworkType,connected-network-type-subscriptions.yaml,/subscriptions/{subscriptionId},GET,retrieveConnectedNetworkTypeSubscription,r,high,L0-safe-locked,method=GET
ConnectedNetworkType,connected-network-type-subscriptions.yaml,/subscriptions/{subscriptionId},DELETE,deleteConnectedNetworkTypeSubscription,x,low,L3-live-noun,nouns=network verb=delete
ConnectedNetworkType,connected-network-type.yaml,/retrieve,POST,getConnectedNetworkType,r,low,L4-lookup,verb=get
ConsentInfo,consent-info.yaml,/retrieve,POST,retrieveStatus,x,low,L3-live-noun,nouns=access verb=create
CustomerInsights,customer-insights.yaml,/scoring/retrieve,POST,retrieveScoring,r,low,L4-lookup,verb=retrieve
DeviceAuthenticity,device-authenticity.yaml,/check-status,POST,checkImeiStatus,r,low,L4-lookup,verb=check
