repo,file,version,sha,path,method,operationId,summary,description,default_class
ApplicationEndpointDiscovery,application-endpoint-discovery.yaml,wip,1414b03a945968fc0eabf38fb235fdaa30411a0f,/retrieve-optimal-app-endpoints,POST,getOptimalAppEndpoints,Returns the Endpoint(s) of the optimal Application Instance(s) to the user device identified in the request.,"On receiving this request, the network will return the endpoint(s) of the Application Instance(s) with the shortest network path to the end user device identified in the request.",x
ApplicationEndpointRegistration,application-endpoint-registration.yaml,wip,75371105daabef680073bb2ccc53273273a15e6f,/application-endpoint-lists,POST,registerApplicationEndpoints,Register endpoints of a deployed application,Register the endpoints of a deployed application to a specified edge cloud zone.,x
ApplicationEndpointRegistration,application-endpoint-registration.yaml,wip,75371105daabef680073bb2ccc53273273a15e6f,/application-endpoint-lists,GET,getAllRegisteredApplicationEndpoints,Get all registered edge application endpoint information,Returns endpoint information for all registered Applications.,r
ApplicationEndpointRegistration,application-endpoint-registration.yaml,wip,75371105daabef680073bb2ccc53273273a15e6f,/application-endpoint-lists/{applicationEndpointListId},GET,getApplicationEndpointsById,Get registered edge application endpoint information,Returns endpoint information of the application based on applicationEndpointListId.,r
ApplicationEndpointRegistration,application-endpoint-registration.yaml,wip,75371105daabef680073bb2ccc53273273a15e6f,/application-endpoint-lists/{applicationEndpointListId},PUT,updateApplicationEndpoint,Update an application Endpoint,Update registered application Endpoint information.,w
ApplicationEndpointRegistration,application-endpoint-registration.yaml,wip,75371105daabef680073bb2ccc53273273a15e6f,/application-endpoint-lists/{applicationEndpointListId},DELETE,deregisterApplicationEndpoint,Deregister an application Endpoint,Deregister an application's Endpoint from the edge cloud zone.,w
ApplicationProfiles,application-profiles.yaml,wip,4f151b02cd1378c526c829f06951513b8079c9d2,/application-profiles,POST,createApplicationProfile,Create an Application Profile,Define network monitoring intents for optimal end user application experience.,x
ApplicationProfiles,application-profiles.yaml,wip,4f151b02cd1378c526c829f06951513b8079c9d2,/application-profiles/{applicationProfileId},PATCH,updateApplicationProfile,Update an Application Profile,Update the complete set of network quality thresholds for an application with the new set of thresholds to ensure good end user experience,x
ApplicationProfiles,application-profiles.yaml,wip,4f151b02cd1378c526c829f06951513b8079c9d2,/application-profiles/{applicationProfileId},GET,readApplicationProfile,Get an Application Profile,Read an Application Profile,r
ApplicationProfiles,application-profiles.yaml,wip,4f151b02cd1378c526c829f06951513b8079c9d2,/application-profiles/{applicationProfileId},DELETE,deleteApplicationProfile,Delete an Application Profile,Delete an application profile,w
