row_id,provider,method,path,operationId,summary,description,truth_class,confidence,reason,source_set
pc-r0001,stripe,GET,/v1/account,GetAccount,Retrieve account,<p>Retrieves the details of an account.</p>,r,,,provider-corpus-2026-09-16
pc-r0002,stripe,POST,/v1/account_links,PostAccountLinks,Create an account link,<p>Creates an AccountLink object that includes a single-use Stripe URL that the platform can redirect their user to in order to take them through the Connect Onboarding flow.</p>,w,high,ii plain create of account link,provider-corpus-2026-09-16
pc-r0003,stripe,POST,/v1/account_sessions,PostAccountSessions,Create an Account Session,<p>Creates a AccountSession object that includes a single-use token that the platform can use on their front-end to grant client-side API access.</p>,w,high,ii plain create of account session,provider-corpus-2026-09-16
pc-r0004,stripe,GET,/v1/accounts,GetAccounts,List all connected accounts,"<p>Returns a list of accounts connected to your platform via <a href=""/docs/connect"">Connect</a>. If you’re not a platform, the list is empty.</p>",r,,,provider-corpus-2026-09-16
pc-r0005,stripe,POST,/v1/accounts,PostAccounts,Create an account,"<p>With <a href=""/docs/connect"">Connect</a>, you can create Stripe accounts for your users.
To do this, you’ll first need to <a href=""https://dashboard.stripe.com/account/applications/settings"">register your platform</a>.</p>

<p>If you’ve already collected information for your connected accounts, you <a href=""/connect/marketplace/tasks/create#prefill-account-information"">can prefill that information</a> when
creating the account. Connect Onboarding won’t ask for the prefilled information during account onboarding.
You can prefill any information on the account.</p>",w,high,ii plain create of account,provider-corpus-2026-09-16
pc-r0006,stripe,GET,/v1/accounts/{account},GetAccountsAccount,Retrieve account,<p>Retrieves the details of an account.</p>,r,,,provider-corpus-2026-09-16
pc-r0007,stripe,POST,/v1/accounts/{account},PostAccountsAccount,Update an account,"<p>Updates a <a href=""/connect/accounts"">connected account</a> by setting the values of the parameters passed. Any parameters not provided are
left unchanged.</p>

<p>For accounts where <a href=""/api/accounts/object#account_object-controller-requirement_collection"">controller.requirement_collection</a>
is <code>application</code>, which includes Custom accounts, you can update any information on the account.</p>

<p>For accounts where <a href=""/api/accounts/object#account_object-controller-requirement_collection"">controller.requirement_collection</a>
is <code>stripe</code>, which includes Standard and Express accounts, you can update all information until you create
an <a href=""/api/account_links"">Account Link</a> or <a href=""/api/account_sessions"">Account Session</a> to start Connect onboarding,
after which some properties can no longer be updated.</p>

<p>To update your own account, use the <a href=""https://dashboard.stripe.com/settings/account"">Dashboard</a>. Refer to our
<a href=""/docs/connect/updating-accounts"">Connect</a> documentation to learn more about updating accounts.</p>",w,high,iii POST edits account,provider-corpus-2026-09-16
pc-r0008,stripe,DELETE,/v1/accounts/{account},DeleteAccountsAccount,Delete an account,"<p>With <a href=""/connect"">Connect</a>, you can delete accounts you manage.</p>

<p>Test-mode accounts can be deleted at any time.</p>

<p>Live-mode accounts that have access to the standard dashboard and Stripe is responsible for negative account balances cannot be deleted, which includes Standard accounts. All other Live-mode accounts, can be deleted when all <a href=""/api/balance/balance_object"">balances</a> are zero.</p>

<p>If you want to delete your own account, use the <a href=""https://dashboard.stripe.com/settings/account"">account information tab in your account settings</a> instead.</p>",x,high,a DELETE account,provider-corpus-2026-09-16
pc-r0009,stripe,POST,/v1/accounts/{account}/bank_accounts,PostAccountsAccountBankAccounts,Create an external account,<p>Create an external account for a given account.</p>,w,high,ii plain create of external account,provider-corpus-2026-09-16
pc-r0010,stripe,GET,/v1/accounts/{account}/bank_accounts/{id},GetAccountsAccountBankAccountsId,Retrieve an external account,<p>Retrieve a specified external account for a given account.</p>,r,,,provider-corpus-2026-09-16
pc-r0011,stripe,POST,/v1/accounts/{account}/bank_accounts/{id},PostAccountsAccountBankAccountsId,Update a bank account,"<p>Updates the metadata, account holder name, account holder type of a bank account belonging to
a connected account and optionally sets it as the default for its currency. Other bank account
details are not editable by design.</p>

<p>You can only update bank accounts when <a href=""/api/accounts/object#account_object-controller-requirement_collection"">account.controller.requirement_collection</a> is <code>application</code>, which includes <a href=""/connect/custom-accounts"">Custom accounts</a>.</p>

<p>You can re-enable a disabled bank account by performing an update call without providing any
arguments or changes.</p>",w,high,edits bank account details,provider-corpus-2026-09-16
pc-r0012,stripe,DELETE,/v1/accounts/{account}/bank_accounts/{id},DeleteAccountsAccountBankAccountsId,Delete an external account,<p>Delete a specified external account for a given account.</p>,x,high,a DELETE external account no restore,provider-corpus-2026-09-16
pc-r0013,stripe,GET,/v1/accounts/{account}/capabilities,GetAccountsAccountCapabilities,List all account capabilities,"<p>Returns a list of capabilities associated with the account. The capabilities are returned sorted by creation date, with the most recent capability appearing first.</p>",r,,,provider-corpus-2026-09-16
pc-r0014,stripe,GET,/v1/accounts/{account}/capabilities/{capability},GetAccountsAccountCapabilitiesCapability,Retrieve an Account Capability,<p>Retrieves information about the specified Account Capability.</p>,r,,,provider-corpus-2026-09-16
pc-r0015,stripe,POST,/v1/accounts/{account}/capabilities/{capability},PostAccountsAccountCapabilitiesCapability,Update an Account Capability,<p>Updates an existing Account Capability. Request or remove a capability by updating its <code>requested</code> parameter.</p>,w,high,iii edits capability requested flag,provider-corpus-2026-09-16
pc-r0016,stripe,GET,/v1/accounts/{account}/external_accounts,GetAccountsAccountExternalAccounts,List all external accounts,<p>List external accounts for an account.</p>,r,,,provider-corpus-2026-09-16
