row_id,provider,api_key,method,path,operationId
1,adafruit.com,adafruit.com,PATCH,/{username}/feeds/{feed_key},updateFeed
2,agco-ats.com,agco-ats.com,PUT,/api/v2/ContentSubmissionAttributes/{contentSubmissionAttributeID},ContentSubmissions_PutContentSubmissionAttributeAsync
3,agco-ats.com,agco-ats.com,PUT,/api/v2/Users/{id},Users_Put
4,akeneo.com,akeneo.com,PATCH,/api/rest/v1/asset-families/{code},patch_asset_family__code_
5,alertersystem.com,alertersystem.com,DELETE,/api/transport-google-chat/{id},api_transport-google-chat_id_delete
6,alertersystem.com,alertersystem.com,DELETE,/api/transport-pager-tree/{id},api_transport-pager-tree_id_delete
7,alertersystem.com,alertersystem.com,PUT,/api/transport-amazon-sns/{id},api_transport-amazon-sns_id_put
8,alertersystem.com,alertersystem.com,PUT,/api/transport-webhook/{id},api_transport-webhook_id_put
9,anchore.io,anchore.io,DELETE,/accounts/{accountname}/users/{username}/credentials,delete_user_credential
10,apacta.com,apacta.com,DELETE,/driving_types/bulkDelete,bulkDeleteDrivingTypes
11,apacta.com,apacta.com,DELETE,/users/{user_id}/integration_settings/{integration_settings_user_id},
12,api.ebay.com,api.ebay.com:sell-account,PUT,/return_policy/{return_policy_id},updateReturnPolicy
13,apideck.com,apideck.com:lead,PATCH,/lead/leads/{id},leadsUpdate
14,apideck.com,apideck.com:proxy,PATCH,/proxy,patchProxy
15,apideck.com,apideck.com:vault,PATCH,/vault/connections/{unified_api}/{service_id},connectionsUpdate
16,appcenter.ms,appcenter.ms,DELETE,/v0.1/apps/{owner_name}/{app_name}/deployments/{deployment_name},codePushDeployments_delete
17,appcenter.ms,appcenter.ms,DELETE,/v0.1/apps/{owner_name}/{app_name}/test_runs/{test_run_id},test_archiveTestRun
18,apple.com,apple.com:app-store-connect,PATCH,/v1/appInfoLocalizations/{id},appInfoLocalizations-update_instance
19,apple.com,apple.com:app-store-connect,PATCH,/v1/appStoreVersionPhasedReleases/{id},appStoreVersionPhasedReleases-update_instance
20,appveyor.com,appveyor.com,DELETE,/users/invitations/{userInvitationId},cancelUserInvitation
21,asana.com,asana.com,DELETE,/webhooks/{webhook_gid},deleteWebhook
22,asana.com,asana.com,PUT,/webhooks/{webhook_gid},updateWebhook
23,atlassian.com,atlassian.com:jira,DELETE,/rest/api/3/filter/{id}/columns,resetColumns
24,atlassian.com,atlassian.com:jira,PUT,/rest/api/3/dashboard/{id},updateDashboard
25,atlassian.com,atlassian.com:jira,PUT,/rest/api/3/project/{projectId}/email,updateProjectEmail
26,ato.gov.au,ato.gov.au,DELETE,/organisations/{partyId}/addresses/{addressId},
27,autotask.net,autotask.net,DELETE,/V1.0/TicketNotes/{parentId}/Attachments/{id},TicketNoteAttachmentsChild_DeleteEntity
28,autotask.net,autotask.net,PATCH,/V1.0/Currencies,Currencies_PatchEntity
29,autotask.net,autotask.net,PATCH,/V1.0/QuoteLocations,QuoteLocations_PatchEntity
30,autotask.net,autotask.net,PUT,/V1.0/Resources/{parentId}/Skills,ResourceSkillsChild_UpdateEntity
31,azure.com,azure.com:containerservice-containerService,DELETE,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ContainerService/containerServices/{containerServiceName},ContainerServices_Delete
32,azure.com,azure.com:containerregistry-containerregistry_scopemap,PATCH,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ContainerRegistry/registries/{registryName}/tokens/{tokenName},Tokens_Update
33,azure.com,azure.com:cognitiveservices-LUIS-Authoring,PUT,/apps/{appId}/versions/{versionId}/settings,Settings_Update
34,azure.com,azure.com:web-AppServicePlans,PUT,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/serverfarms/{name}/virtualNetworkConnections/{vnetName}/gateways/{gatewayName},AppServicePlans_UpdateVnetGateway
35,bigredcloud.com,bigredcloud.com,DELETE,/v1/customers/{id},Customers_Delete
36,billbee.io,billbee.io,PATCH,/api/v1/orders/{id},OrderApi_PatchOrder
37,billingo.hu,billingo.hu,DELETE,/bank-accounts/{id},DeleteBankAccount
38,bitbucket.org,bitbucket.org,DELETE,/repositories/{workspace}/{repo_slug}/pullrequests/{pullrequest_id}/properties/{app_key}/{property_name},deletePullRequestHostedPropertyValue
39,bunq.com,bunq.com,DELETE,/user/{userID}/monetary-account/{monetary-accountID}/draft-payment/{draft-paymentID}/note-attachment/{itemId},DELETE_NoteAttachment_for_User_MonetaryAccount_DraftPayment
40,bunq.com,bunq.com,DELETE,/user/{userID}/monetary-account/{monetary-accountID}/schedule-payment-batch/{schedule-payment-batchID}/note-attachment/{itemId},DELETE_NoteAttachment_for_User_MonetaryAccount_SchedulePaymentBatch
41,bunq.com,bunq.com,PUT,/user/{userID}/monetary-account/{monetary-accountID}/payment/{paymentID}/note-text/{itemId},UPDATE_NoteText_for_User_MonetaryAccount_Payment
42,citrixonline.com,citrixonline.com:scim,PUT,/Users/{userKey},replaceUser
43,clearblade.com,clearblade.com,DELETE,/admin/v/4/service_caches/{systemKey}/{cacheName},DeleteSharedCache
44,clearblade.com,clearblade.com,DELETE,/api/v/4/external-db/{systemKey}/{name},DeleteExternalDB
45,clearblade.com,clearblade.com,PUT,/admin/user/{systemKey},UserChangeUserInfo
46,clearblade.com,clearblade.com,PUT,/api/v/4/{SystemKey}/adapters/{AdapterName}/files/{fileName},updateExistingFileContent
47,clever-cloud.com,clever-cloud.com,PUT,/self/applications/{appId}/branch,
48,clicksend.com,clicksend.com,PUT,/voice/cancel-all,Cancel all Voice Calls
49,codat.io,codat.io:sync-for-commerce,PATCH,/sync/commerce/config/ui/text,update-config-text-sync-flow
50,codat.io,codat.io:accounting,PUT,/companies/{companyId}/connections/{connectionId}/push/invoices/{invoiceId},update-invoice
51,combell.com,combell.com,DELETE,/mailzones/{domainName}/aliases/{emailAddress},DeleteAlias
52,combell.com,combell.com,PUT,/mailboxes/{mailboxName}/password,ChangeMailboxPassword
53,cpy.re,cpy.re:peertube,PUT,/api/v1/videos/upload-resumable,uploadResumable
54,data2crm.com,data2crm.com,DELETE,/application/entity/meeting/bulk,deleteMeetingCollectionBulk
