row_id,labelled,ruled,ruling
e0397,x,w,upsert keyed on id is repeatable
e0404,x,w,upsert keyed on id is repeatable
e0407,x,w,upsert keyed on id is repeatable
e0414,x,w,upsert keyed on id is repeatable
e0425,x,w,upsert keyed on id is repeatable
e0432,x,w,upsert keyed on id is repeatable
e0913,x,w,upsert keyed on id is repeatable
e0637,x,w,upsert keyed on id is repeatable
e0618,x,w,upsert keyed on id is repeatable
e0639,x,w,upsert keyed on id is repeatable
e0158,x,w,upsert keyed on id is repeatable
e0456,x,w,crm list membership is records not access
e0169,r,x,text says it runs the test process
