row_id,provider,method,path,operationId
pc-r0813,openai,GET,/threads/{thread_id}/runs,listRuns
x17-e0242,okta,GET,/api/v1/device-integrations/{deviceIntegrationId},getDeviceIntegration
pc-r1888,digitalocean,GET,/v2/databases/{database_cluster_uuid}/schema-registry/{subject_name},databases_get_kafka_schema
pc-r2187,digitalocean,GET,/v2/reserved_ipv6,reservedIPv6_list
x17-e1223,xero,GET,/CreditNotes/{CreditNoteID}/Attachments/{AttachmentID},getCreditNoteAttachmentById
pc-r3456,asana,GET,/tasks/{task_gid}/projects,getProjectsForTask
x17-e0662,okta,GET,/api/v1/users/{userId}/roles/{roleAssignmentId},getUserAssignedRole
pc-r1226,square,GET,/v2/team-members/jobs,ListJobs
pc-r3558,asana,GET,/tasks/{task_gid}/time_tracking_entries,getTimeTrackingEntriesForTask
pc-r3025,jira,GET,/rest/api/2/worklog/deleted,getIdsOfWorklogsDeletedSince
x17-e0131,okta,GET,/api/v1/authorizationServers/{authServerId}/claims/{claimId},getOAuth2Claim
pc-r3339,mailchimp,GET,/verified-domains/{domain_name},getVerifiedDomain
pc-r3175,mailchimp,GET,/lists/{list_id}/members,getListsIdMembers
x17-e1015,docusign,GET,/v2.1/accounts/{accountId}/templates/{templateId}/custom_fields,CustomFields_GetTemplateCustomFields
pc-r3227,mailchimp,GET,/reports/{campaign_id}/abuse-reports/{report_id},getReportsIdAbuseReportsIdId
pc-r4170,figma,GET,/v1/analytics/libraries/{file_key}/variable/usages,getLibraryAnalyticsVariableUsages
pc-r2511,jira,GET,/rest/api/2/events,getEvents
x17-e0951,docusign,GET,/v2.1/accounts/{accountId}/permission_profiles/{permissionProfileId},PermissionProfiles_GetPermissionProfile
pc-r0474,stripe,GET,/v1/terminal/configurations/{configuration},GetTerminalConfigurationsConfiguration
pc-r2451,jira,GET,/rest/api/2/attachment/{id},getAttachment
x17-e0784,docusign,GET,/v2.1/accounts/{accountId}/connect,Connect_GetConnectConfigs
x17-e0062,okta,GET,/api/v1/apps/{appId}/features,listFeaturesForApplication
x17-e0593,okta,GET,/api/v1/threats/configuration,getCurrentConfiguration
x20-e0385,hubspot,POST,/cms/v3/pages/landing-pages/batch/read,post-/cms/v3/pages/landing-pages/batch/read_readBatch
pc-r0699,openai,GET,/organization/groups/{group_id}/roles/{role_id},retrieve-group-role
x17-e1262,xero,GET,/Items/{ItemID}/History,getItemHistory
pc-r1733,spotify,GET,/audio-analysis/{id},get-audio-analysis
pc-r0132,stripe,GET,/v1/credit_notes/{id},GetCreditNotesId
pc-r0090,stripe,GET,/v1/charges,GetCharges
pc-r2405,digitalocean,GET,/v2/gen-ai/simulation_runs/{run_uuid},genai_get_simulation_run
pc-r3040,jira,GET,/rest/atlassian-connect/1/service-registry,ServiceRegistryResource.services_get
pc-r3338,mailchimp,GET,/reporting/surveys/{survey_id}/responses/{response_id},getReportingSurveysIdResponsesId
x17-e0463,okta,GET,/api/v1/meta/types/user/{typeId},getUserType
pc-r1390,zoom,GET,/users/{userId}/permissions,userPermission
x20-e0629,klaviyo,POST,/api/template-render,render_template
pc-r3893,intercom,GET,/help_center/help_centers,listHelpCenters
pc-r2678,jira,GET,/rest/api/2/issuesecurityschemes/search,searchSecuritySchemes
pc-r2460,jira,GET,/rest/api/2/comment/{commentId}/properties,getCommentPropertyKeys
pc-r1792,digitalocean,GET,/v2/apps/{app_id}/events/{event_id},apps_get_event
pc-r0144,stripe,GET,/v1/customers/{customer}/balance_transactions/{transaction},GetCustomersCustomerBalanceTransactionsTransaction
pc-r3522,asana,GET,/tasks/{task_gid}/subtasks,getSubtasksForTask
x17-e1102,docusign,GET,/v2.1/accounts/{accountId}/users/{userId}/profile/image,UserProfileImage_GetUserProfileImage
pc-r3196,mailchimp,GET,/lists/{list_id}/merge-fields/{merge_id},getListsIdMergeFieldsId
x17-e0502,okta,GET,/api/v1/org/settings/autoAssignAdminAppSetting,getAutoAssignAdminAppSetting
pc-r3376,asana,GET,/workspaces/{workspace_gid}/custom_fields,getCustomFieldsForWorkspace
pc-r0215,stripe,GET,/v1/financial_connections/sessions/{session},GetFinancialConnectionsSessionsSession
pc-r2050,digitalocean,GET,/v2/monitoring/metrics/apps/cpu_percentage,monitoring_get_appCPUPercentageMetrics
pc-r3226,mailchimp,GET,/reports/{campaign_id}/abuse-reports,getReportsIdAbuseReportsId
pc-r1895,digitalocean,GET,/v2/databases/metrics/credentials,databases_get_cluster_metrics_credentials
pc-r2785,jira,GET,/rest/api/2/priorityscheme,getPrioritySchemes
pc-r0743,openai,GET,/organization/projects/{project_id}/users,list-project-users
pc-r1848,digitalocean,GET,/v2/databases/{database_cluster_uuid}/replicas,databases_list_replicas
pc-r0652,openai,POST,/fine_tuning/alpha/graders/validate,validateGrader
pc-r2833,jira,GET,/rest/api/2/project/{projectIdOrKey}/roledetails,getProjectRoleDetails
pc-r3303,mailchimp,GET,/ecommerce/stores/{store_id}/products/{product_id}/variants/{variant_id},getEcommerceStoresIdProductsIdVariantsId
pc-r2176,digitalocean,GET,/v2/registry/{registry_name}/garbage-collections,registry_list_garbageCollections
pc-r3493,asana,GET,/stories/{story_gid},getStory
pc-r1537,paypal,GET,/v3/vault/payment-tokens,customer.payment-tokens.get
pc-r3729,datadog,GET,/api/v1/search,ListMetrics
pc-r0763,openai,GET,/organization/usage/file_search_calls,usage-file-search-calls
pc-r2731,jira,GET,/rest/api/2/label,getAllLabels
x17-e0949,docusign,GET,/v2.1/accounts/{accountId}/permission_profiles,PermissionProfiles_GetPermissionProfiles
pc-r0184,stripe,GET,/v1/disputes/{dispute},GetDisputesDispute
pc-r0884,openai,GET,/agents/environments/{environment_id},retrieveAgentEnvironment
pc-r2900,jira,GET,/rest/api/2/settings/columns,getIssueNavigatorDefaultColumns
pc-r1109,square,GET,/v2/labor/team-member-wages/{id},GetTeamMemberWage
pc-r0319,stripe,GET,/v1/payment_method_configurations/{configuration},GetPaymentMethodConfigurationsConfiguration
x17-e0478,okta,GET,/api/v1/org/contacts,listOrgContactTypes
pc-r2056,digitalocean,GET,/v2/monitoring/metrics/load_balancer/frontend_firewall_dropped_packets,monitoring_get_lb_frontend_firewall_dropped_packets
pc-r2079,digitalocean,GET,/v2/monitoring/metrics/droplet_autoscale/current_instances,monitoring_get_droplet_autoscale_current_instances
pc-r3253,mailchimp,GET,/ecommerce/stores,getEcommerceStores
pc-r1360,zoom,GET,/report/users,reportUsers
pc-r2651,jira,GET,/rest/api/2/issue/{issueIdOrKey}/worklog,getIssueWorklog
x17-e1234,xero,GET,/ExpenseClaims,getExpenseClaims
pc-r3640,datadog,GET,/api/v1/hosts/totals,GetHostTotals
