row_id,truth_class,confidence,reason
pc-r0813,r,high,GET list runs no change stated
x17-e0242,r,high,GET retrieve device integration
pc-r1888,r,high,GET retrieve kafka schema
pc-r2187,r,high,GET list reserved ipv6s
x17-e1223,r,high,GET retrieve credit note attachment
pc-r3456,r,high,GET list projects for task
x17-e0662,r,high,GET retrieve user role assignment
pc-r1226,r,high,GET list jobs
pc-r3558,r,high,GET list time tracking entries
pc-r3025,r,high,GET list ids of deleted worklogs metadata
x17-e0131,r,high,GET retrieve custom token claim
pc-r3339,r,high,GET domain info
pc-r3175,r,high,GET list members info
x17-e1015,r,high,GET retrieve template custom fields
pc-r3227,r,high,GET abuse report info
pc-r4170,r,high,GET library analytics usage data
pc-r2511,r,high,GET all issue events
x17-e0951,r,high,GET permission profile info
pc-r0474,r,high,GET retrieve configuration object
pc-r2451,r,high,GET attachment metadata only
x17-e0784,r,high,GET connect configuration definitions
x17-e0062,r,high,GET list features for app
x17-e0593,r,high,GET retrieve threatinsight configuration
x20-e0385,r,high,i POST batch read of pages
pc-r0699,r,high,GET retrieve group organization role
x17-e1262,r,high,GET retrieve item history log
pc-r1733,r,high,GET audio analysis data
pc-r0132,r,high,GET retrieve credit note object
pc-r0090,r,high,GET list charges previously created
pc-r2405,r,high,GET retrieve simulation run
pc-r3040,r,high,GET retrieve service registry attributes
pc-r3338,r,high,GET single survey response
x17-e0463,r,high,GET retrieve user type by id
pc-r1390,r,high,GET retrieve users permissions
x20-e0629,r,high,i POST render template answer not stored
pc-r3893,r,high,GET list all help centers
pc-r2678,r,high,GET search issue security schemes
pc-r2460,r,high,GET keys of comment properties
pc-r1792,r,high,GET single event for app
pc-r0144,r,high,GET retrieve balance transaction
pc-r3522,r,high,GET list subtasks of task
x17-e1102,r,high,GET retrieve user profile image
pc-r3196,r,high,GET retrieve merge field info
x17-e0502,r,high,GET retrieve admin console setting
pc-r3376,r,high,GET list workspace custom fields
pc-r0215,r,high,GET retrieve financial connections session
pc-r2050,r,high,GET cpu percentage metrics
pc-r3226,r,high,GET list abuse reports
pc-r1895,r,high,GET retrieve existing metrics credentials
pc-r2785,r,high,GET list priority schemes
pc-r0743,r,high,GET list project users
pc-r1848,r,high,GET list read only replicas
pc-r0652,r,high,i POST validate grader check only
pc-r2833,r,high,GET all project role details
pc-r3303,r,high,GET product variant info
pc-r2176,r,high,GET list past garbage collections
pc-r3493,r,high,GET single story record
pc-r1537,r,high,GET list payment tokens
pc-r3729,r,high,GET search metrics deprecated endpoint
pc-r0763,r,high,GET usage details file search
pc-r2731,r,high,GET list all labels
x17-e0949,r,high,GET list permission profiles
pc-r0184,r,high,GET retrieve dispute by id
pc-r0884,r,high,GET retrieve agent environment status
pc-r2900,r,high,GET default issue navigator columns
pc-r1109,r,high,GET single team member wage
pc-r0319,r,high,GET retrieve payment method configuration
x17-e0478,r,high,GET list org contact types
pc-r2056,r,high,GET firewall dropped packets metrics
pc-r2079,r,high,GET autoscale pool current size
pc-r3253,r,high,GET list ecommerce stores
pc-r1360,r,high,GET hosts report
pc-r2651,r,high,GET issue worklogs list
x17-e1234,r,high,GET retrieves expense claims list
pc-r3640,r,high,GET total active hosts count
pc-r4013,r,high,GET list subscription types
x17-e0375,r,high,GET retrieve custom role permission
pc-r1483,r,low,i generates qr code image not stored
pc-r2663,r,high,GET retrieve issue link
pc-r0764,r,high,GET images usage details
pc-r3073,r,high,GET automated email subscriber info
pc-r2139,r,high,GET list default project resources
pc-r0177,r,high,GET retrieve subscription discount
pc-r3665,r,high,GET list gcp integrations deprecated
pc-r1328,r,high,GET past meeting participants
pc-r1843,r,high,GET do settings for cluster
x17-e1284,r,high,GET retrieves xero organisation details
pc-r1682,r,high,GET retrieve playlist owned by user
pc-r0883,r,high,GET list chatkit threads
pc-r1827,r,high,GET billing insights day over day
pc-r0958,r,high,GET list custom attribute definitions
x17-e0289,r,high,GET retrieve event hook
pc-r3594,r,high,GET list all api keys
pc-r1681,r,high,GET current users profile
x17-e1105,r,high,GET user account settings
pc-r0204,r,high,GET list all files
x17-e0023,r,high,GET api tokens metadata
pc-r2513,r,high,i POST evaluate expression calculation
x17-e0065,r,high,GET list federated claims
pc-r2043,r,high,GET droplet load5 metrics
