row_id,part,provider,method,path,operationId
x22-0001,2,cloudflare,GET,/accounts,accounts-list-accounts
x22-0002,4,cloudflare,POST,/accounts,account-creation
x22-0003,1,cloudflare,POST,/accounts/move,Accounts_batchMoveAccounts
x22-0004,9,cloudflare,GET,/accounts/{accountId}/v1/images,get_ImageList
x22-0005,6,cloudflare,POST,/accounts/{accountId}/v1/images,post_ImageUpload
x22-0006,7,cloudflare,GET,/accounts/{accountId}/v1/images/{imageId},get_ImageGet
x22-0007,6,cloudflare,PUT,/accounts/{accountId}/v1/images/{imageId},put_ImageDirectUpload
x22-0008,8,cloudflare,DELETE,/accounts/{accountId}/v1/images/{imageId},delete_ImageDelete
x22-0009,9,cloudflare,PATCH,/accounts/{accountId}/v1/images/{imageId},patch_ImageEdit
x22-0010,7,cloudflare,GET,/accounts/{accountId}/v1/images/{imageId}/blob,get_ImageGetBlob
x22-0011,10,cloudflare,GET,/accounts/{accountId}/v2/images,get__accounts_accountId_v2_images
x22-0012,4,cloudflare,POST,/accounts/{accountId}/v2/images/direct_upload,post_DirectUploadLink
x22-0013,6,cloudflare,GET,/accounts/{accountId}/zones/{zoneId}/v1/images/flows,get_FlowsGet
x22-0014,1,cloudflare,PUT,/accounts/{accountId}/zones/{zoneId}/v1/images/flows,put_FlowsUpdate
x22-0015,2,cloudflare,GET,/accounts/{account_identifier}/custom_pages,custom-pages-for-an-account-list-custom-pages
x22-0016,2,cloudflare,GET,/accounts/{account_identifier}/custom_pages/assets,custom-assets-for-an-account-list-custom-assets
x22-0017,4,cloudflare,POST,/accounts/{account_identifier}/custom_pages/assets,custom-assets-for-an-account-create-a-custom-asset
x22-0018,5,cloudflare,GET,/accounts/{account_identifier}/custom_pages/assets/{asset_name},custom-assets-for-an-account-get-a-custom-asset
x22-0019,5,cloudflare,PUT,/accounts/{account_identifier}/custom_pages/assets/{asset_name},custom-assets-for-an-account-update-a-custom-asset
x22-0020,2,cloudflare,DELETE,/accounts/{account_identifier}/custom_pages/assets/{asset_name},custom-assets-for-an-account-delete-a-custom-asset
