row_id,provider,spec_file,path,method,operationId,summary,description,has_summary,has_description,has_operationId,deprecated
x22-0001,cloudflare,cloudflare.json,/accounts,GET,accounts-list-accounts,List Accounts,List all accounts you have ownership or verified access to.,true,true,true,false
x22-0002,cloudflare,cloudflare.json,/accounts,POST,account-creation,Create an Account,"Create an Account. To create the Account within an Organization, provide `unit.id` and omit `standalone`. To create a standalone Free Account, provide `standalone: true` and omit `unit`. Providing both fields is invalid. If you omit both fields, Cloudflare can determine the destination only when the User is an administrator of exactly one Organization. Cloudflare creates the Account in that Organization; otherwise, the request returns an error.",true,true,true,false
x22-0003,cloudflare,cloudflare.json,/accounts/move,POST,Accounts_batchMoveAccounts,Batch move accounts,Batch move a collection of accounts to a specific organization. ⚠️ Not implemented.,true,true,true,false
x22-0004,cloudflare,cloudflare.json,/accounts/{accountId}/v1/images,GET,get_ImageList,Get a list of images,List images for an account.,true,true,true,false
x22-0005,cloudflare,cloudflare.json,/accounts/{accountId}/v1/images,POST,post_ImageUpload,Upload a new Image,Upload a new image.,true,true,true,false
x22-0006,cloudflare,cloudflare.json,/accounts/{accountId}/v1/images/{imageId},GET,get_ImageGet,Get an image data,Get image metadata.,true,true,true,false
x22-0007,cloudflare,cloudflare.json,/accounts/{accountId}/v1/images/{imageId},PUT,put_ImageDirectUpload,Direct upload a new Image,Upload an image to a specific image ID.,true,true,true,false
x22-0008,cloudflare,cloudflare.json,/accounts/{accountId}/v1/images/{imageId},DELETE,delete_ImageDelete,Delete an image,Delete an image.,true,true,true,false
x22-0009,cloudflare,cloudflare.json,/accounts/{accountId}/v1/images/{imageId},PATCH,patch_ImageEdit,Update an image,Update an image's metadata.,true,true,true,false
x22-0010,cloudflare,cloudflare.json,/accounts/{accountId}/v1/images/{imageId}/blob,GET,get_ImageGetBlob,Get an image,Get image as a blob.,true,true,true,false
x22-0011,cloudflare,cloudflare.json,/accounts/{accountId}/v2/images,GET,get__accounts_accountId_v2_images,Get a list of images,List images for an account.,true,true,true,false
x22-0012,cloudflare,cloudflare.json,/accounts/{accountId}/v2/images/direct_upload,POST,post_DirectUploadLink,Create authenticated direct upload URL,Create an authenticated direct upload URL for an image.,true,true,true,false
x22-0013,cloudflare,cloudflare.json,/accounts/{accountId}/zones/{zoneId}/v1/images/flows,GET,get_FlowsGet,Get transformation flows,Get the current transformation flows configuration for a zone.,true,true,true,false
x22-0014,cloudflare,cloudflare.json,/accounts/{accountId}/zones/{zoneId}/v1/images/flows,PUT,put_FlowsUpdate,Update transformation flows,Replace the entire transformation flows configuration for a zone.,true,true,true,false
x22-0015,cloudflare,cloudflare.json,/accounts/{account_identifier}/custom_pages,GET,custom-pages-for-an-account-list-custom-pages,List custom pages,Fetches all the custom pages at the account level.,true,true,true,false
x22-0016,cloudflare,cloudflare.json,/accounts/{account_identifier}/custom_pages/assets,GET,custom-assets-for-an-account-list-custom-assets,List custom assets,Fetches all the custom assets at the account level.,true,true,true,false
x22-0017,cloudflare,cloudflare.json,/accounts/{account_identifier}/custom_pages/assets,POST,custom-assets-for-an-account-create-a-custom-asset,Create a custom asset,Creates a new custom asset at the account level.,true,true,true,false
x22-0018,cloudflare,cloudflare.json,/accounts/{account_identifier}/custom_pages/assets/{asset_name},GET,custom-assets-for-an-account-get-a-custom-asset,Get a custom asset,Fetches the details of a custom asset.,true,true,true,false
x22-0019,cloudflare,cloudflare.json,/accounts/{account_identifier}/custom_pages/assets/{asset_name},PUT,custom-assets-for-an-account-update-a-custom-asset,Update a custom asset,Updates the configuration of an existing custom asset.,true,true,true,false
x22-0020,cloudflare,cloudflare.json,/accounts/{account_identifier}/custom_pages/assets/{asset_name},DELETE,custom-assets-for-an-account-delete-a-custom-asset,Delete a custom asset,Deletes an existing custom asset.,true,true,true,false
x22-0021,cloudflare,cloudflare.json,/accounts/{account_identifier}/custom_pages/preview_tokens,POST,custom-pages-for-an-account-create-preview-token,Create a preview token,Creates a signed JWT token used to preview custom pages before they are published.,true,true,true,false
x22-0022,cloudflare,cloudflare.json,/accounts/{account_identifier}/custom_pages/{identifier},GET,custom-pages-for-an-account-get-a-custom-page,Get a custom page,Fetches the details of a custom page.,true,true,true,false
x22-0023,cloudflare,cloudflare.json,/accounts/{account_identifier}/custom_pages/{identifier},PUT,custom-pages-for-an-account-update-a-custom-page,Update a custom page,Updates the configuration of an existing custom page.,true,true,true,false
x22-0024,cloudflare,cloudflare.json,/accounts/{account_id},GET,accounts-account-details,Account Details,Get information about a specific account that you are a member of.,true,true,true,false
x22-0025,cloudflare,cloudflare.json,/accounts/{account_id},PUT,accounts-update-account,Update Account,Update an existing account.,true,true,true,false
x22-0026,cloudflare,cloudflare.json,/accounts/{account_id},DELETE,account-deletion,Delete a specific account,Delete a specific account (only available for tenant admins at this time). This is a permanent operation that will delete any zones or other resources under the account,true,true,true,false
x22-0027,cloudflare,cloudflare.json,/accounts/{account_id}/abuse-reports,GET,ListAbuseReports,List abuse reports,List the abuse reports for a given account,true,true,true,false
x22-0028,cloudflare,cloudflare.json,/accounts/{account_id}/abuse-reports/submitted,GET,ListSubmittedAbuseReports,List submitted abuse reports,List abuse reports submitted by the account.,true,true,true,false
x22-0029,cloudflare,cloudflare.json,/accounts/{account_id}/abuse-reports/submitted/{report_id},GET,GetSubmittedAbuseReport,Get a submitted abuse report,Retrieve a report submitted by the account.,true,true,true,false
x22-0030,cloudflare,cloudflare.json,/accounts/{account_id}/abuse-reports/submitted/{report_id}/emails,GET,ListSubmittedAbuseReportEmails,List emails sent to an abuse report submitter,List successful emails sent to the submitter of a report submitted by the account. Does not include emails sent to customers or hosts.,true,true,true,false
x22-0031,cloudflare,cloudflare.json,/accounts/{account_id}/abuse-reports/{report_id}/appeals/eligibility,GET,CheckAppealEligibility,Check whether a report can be appealed,"Returns whether the report is currently appealable, along with the signals behind that decision: whether it already has an open appeal, how many appeals have been submitted against it, and whether it has at least one mitigation that an appeal could reverse.",true,true,true,false
x22-0032,cloudflare,cloudflare.json,/accounts/{account_id}/abuse-reports/{report_id}/emails,GET,ListEmails,List abuse report emails,List emails sent to the customer for an abuse report. Returns all successful customer emails sent for the specified abuse report. Does not include emails sent to hosts or submitters.,true,true,true,false
x22-0033,cloudflare,cloudflare.json,/accounts/{account_id}/abuse-reports/{report_id}/mitigations,GET,ListMitigations,List abuse report mitigations,List mitigations done to remediate the abuse report.,true,true,true,false
x22-0034,cloudflare,cloudflare.json,/accounts/{account_id}/abuse-reports/{report_id}/mitigations/appeal,POST,RequestReview,Request review on mitigations,Request a review for mitigations on an account. Repeating a request for a mitigation with an unresolved appeal is idempotent and returns that mitigation in the in-review state.,true,true,true,false
x22-0035,cloudflare,cloudflare.json,/accounts/{account_id}/abuse-reports/{report_param},GET,GetAbuseReport,Abuse Report Details,Retrieve the details of an abuse report.,true,true,true,false
x22-0036,cloudflare,cloudflare.json,/accounts/{account_id}/abuse-reports/{report_param},POST,SubmitAbuseReport,Submit an abuse report,"Submit an abuse report of a particular type.

Requires the abuse-reports entitlement on the account (Enterprise
accounts have it by default; other accounts must request access) and an
API token with the `Account > Abuse Reports > Edit` permission. If the
account is not entitled, the request is rejected with an HTTP `401`
response (see below).",true,true,true,false
x22-0037,cloudflare,cloudflare.json,/accounts/{account_id}/access/ai-controls/mcp/analytics/portals/{portal_id}/tool-calls/timeseries,GET,mcp-portals-api-portal-tool-call-timeseries,Per-portal MCP tool-call timeseries,Returns daily or monthly tool-call counts for a portal.,true,true,true,false
x22-0038,cloudflare,cloudflare.json,/accounts/{account_id}/access/ai-controls/mcp/analytics/servers/{server_id}/tool-calls/timeseries,GET,mcp-portals-api-server-tool-call-timeseries,Per-server MCP tool-call timeseries,Returns daily or monthly tool-call counts for a server.,true,true,true,false
x22-0039,cloudflare,cloudflare.json,/accounts/{account_id}/access/ai-controls/mcp/analytics/tool-calls/timeseries,GET,mcp-portals-api-account-tool-call-timeseries,Account-global MCP tool-call timeseries,Returns daily or monthly tool-call counts across the account.,true,true,true,false
x22-0040,cloudflare,cloudflare.json,/accounts/{account_id}/access/ai-controls/mcp/portals,GET,mcp-portals-api-list-portals,List MCP Portals,Lists all MCP portals configured for the account.,true,true,true,false
x22-0041,cloudflare,cloudflare.json,/accounts/{account_id}/access/ai-controls/mcp/portals,POST,mcp-portals-api-create-portals,Create a new MCP Portal,Creates a new MCP portal for managing AI tool access through Cloudflare Access.,true,true,true,false
x22-0042,cloudflare,cloudflare.json,/accounts/{account_id}/access/ai-controls/mcp/portals/{id},GET,mcp-portals-api-fetch-gateways,Read details of an MCP Portal,"Read the details of a single MCP Portal, including its configured servers.",true,true,true,false
x22-0043,cloudflare,cloudflare.json,/accounts/{account_id}/access/ai-controls/mcp/portals/{id},PUT,mcp-portals-api-update-portals,Update an MCP Portal,Updates an MCP portal configuration.,true,true,true,false
x22-0044,cloudflare,cloudflare.json,/accounts/{account_id}/access/ai-controls/mcp/portals/{id},DELETE,mcp-portals-api-delete-portals,Delete an MCP Portal,Deletes an MCP portal from the account.,true,true,true,false
x22-0045,cloudflare,cloudflare.json,/accounts/{account_id}/access/ai-controls/mcp/portals/{portal_id}/servers/{server_id}/effective-redirect-uri,GET,mcp-portals-api-effective-redirect-uri,Resolve an MCP server OAuth redirect URI,"Resolves the OAuth redirect URI to register for a portal and server based on the server's current shared callback setting. Use the returned value when setting up a new manual OAuth registration. This value is for display only: existing manual OAuth registrations continue using their stored redirect URI, so changing callback settings can make this result differ from the URI used at runtime.",true,true,true,false
x22-0046,cloudflare,cloudflare.json,/accounts/{account_id}/access/ai-controls/mcp/servers,GET,mcp-portals-api-list-servers,List MCP Servers,Lists all MCP servers configured for the account.,true,true,true,false
x22-0047,cloudflare,cloudflare.json,/accounts/{account_id}/access/ai-controls/mcp/servers,POST,mcp-portals-api-create-servers,Create a new MCP Server,Creates a new MCP server for connecting to an upstream MCP endpoint.,true,true,true,false
