row_id,provider,method,path,operationId,summary,description
201,api2cart.com,DELETE,/cart.coupon.delete.json,CartCouponDelete,,Delete coupon
202,api2cart.com,DELETE,/cart.meta_data.unset.json,CartMetaDataUnset,,Unset meta data for a specific entity
203,api2cart.com,DELETE,/cart.script.delete.json,CartScriptDelete,,Remove script from the storefront
204,api2cart.com,DELETE,/category.image.delete.json,CategoryImageDelete,,Delete image
205,api2cart.com,DELETE,/order.shipment.delete.json,OrderShipmentDelete,,Delete order's shipment.
206,api2cart.com,DELETE,/product.delete.json,ProductDelete,,Product delete
207,api2cart.com,DELETE,/product.price.delete.json,ProductPriceDelete,,Delete some prices of the product
208,api2cart.com,DELETE,/product.variant.image.delete.json,ProductVariantImageDelete,,Delete  image to product
209,api2cart.com,DELETE,/product.variant.price.delete.json,ProductVariantPriceDelete,,Delete some prices of the product variant.
210,api2cart.com,DELETE,/webhook.delete.json,WebhookDelete,,Delete registered webhook on the store.
211,api2cart.com,PUT,/account.config.update.json,AccountConfigUpdate,,Update configs in the API2Cart database.
212,api2cart.com,PUT,/category.update.json,CategoryUpdate,,Update category in store
213,api2cart.com,PUT,/customer.update.json,CustomerUpdate,,Update information of customer in store.
214,api2cart.com,PUT,/order.shipment.update.json,OrderShipmentUpdate,,Update order's shipment information.
215,api2cart.com,PUT,/order.update.json,OrderUpdate,,Update existing order.
216,api2cart.com,PUT,/product.option.value.update.json,ProductOptionValueUpdate,,Update product option item from option.
217,api2cart.com,PUT,/product.price.update.json,ProductPriceUpdate,,Update some prices of the product.
218,api2cart.com,PUT,/product.update.json,ProductUpdate,,Update price and quantity for a specific product
219,api2cart.com,PUT,/product.variant.price.update.json,ProductVariantPriceUpdate,,Update some prices of the product variant.
220,api2cart.com,PUT,/product.variant.update.json,ProductVariantUpdate,,Update variant.
221,api2cart.com,PUT,/webhook.update.json,WebhookUpdate,,Update Webhooks parameters.
222,apicurio.local,DELETE,/admin/config/properties/{propertyName},resetConfigProperty,Reset a configuration property,Resets the value of a single configuration property.  This will return the property to its default value (see external documentation for supported properties and their default values). This operation may fail for one of the following reasons: * Property not found or not configured (HTTP error `404`) * A server error occurred (HTTP error `500`)
223,apicurio.local,DELETE,/admin/loggers/{logger},removeLogConfiguration,Removes logger configuration,Removes the configured logger configuration (if any) for the given logger.
224,apicurio.local,DELETE,/admin/rules,deleteAllGlobalRules,Delete all global rules,Deletes all globally configured rules. This operation can fail for the following reasons: * A server error occurred (HTTP error `500`)
225,apicurio.local,DELETE,/admin/rules/{rule},deleteGlobalRule,Delete global rule,"Deletes a single global rule.  If this is the only rule configured, this is the same as deleting **all** rules. This operation can fail for the following reasons: * Invalid rule name/type (HTTP error `400`) * No rule with name/type `rule` exists (HTTP error `404`) * Rule cannot be deleted (HTTP error `409`) * A server error occurred (HTTP error `500`)"
226,apicurio.local,DELETE,/groups/{groupId},deleteGroupById,Delete a group by the specified ID.,Deletes a group by identifier. This operation can fail for the following reasons: * A server error occurred (HTTP error `500`) * The group does not exist (HTTP error `404`)
