row_id,provider,api_key,method,path,operationId
1,1password.local,1password.local:connect,DELETE,/vaults/{vaultUuid}/items/{itemUuid},DeleteVaultItem
2,1password.local,1password.local:connect,PATCH,/vaults/{vaultUuid}/items/{itemUuid},PatchVaultItem
3,1password.local,1password.local:connect,PUT,/vaults/{vaultUuid}/items/{itemUuid},UpdateVaultItem
4,6-dot-authentiqio.appspot.com,6-dot-authentiqio.appspot.com,DELETE,/key,key_revoke_nosecret
5,6-dot-authentiqio.appspot.com,6-dot-authentiqio.appspot.com,DELETE,/key/{PK},key_revoke
6,6-dot-authentiqio.appspot.com,6-dot-authentiqio.appspot.com,DELETE,/scope/{job},sign_delete
7,6-dot-authentiqio.appspot.com,6-dot-authentiqio.appspot.com,PUT,/key/{PK},key_bind
8,6-dot-authentiqio.appspot.com,6-dot-authentiqio.appspot.com,PUT,/scope/{job},sign_update
9,ably.io,ably.io:platform,DELETE,/push/channelSubscriptions,deletePushDeviceDetails
10,ably.io,ably.io:platform,DELETE,/push/deviceRegistrations/{device_id},unregisterPushDevice
11,ably.io,ably.io:platform,PATCH,/push/deviceRegistrations/{device_id},patchPushDeviceDetails
12,ably.io,ably.io:platform,PUT,/push/deviceRegistrations/{device_id},putPushDeviceDetails
13,ably.net,ably.net:control,DELETE,/apps/{app_id}/namespaces/{namespace_id},
14,ably.net,ably.net:control,DELETE,/apps/{app_id}/queues/{queue_id},
15,ably.net,ably.net:control,DELETE,/apps/{app_id}/rules/{rule_id},
16,ably.net,ably.net:control,DELETE,/apps/{id},
17,ably.net,ably.net:control,PATCH,/apps/{app_id}/keys/{key_id},
18,ably.net,ably.net:control,PATCH,/apps/{app_id}/namespaces/{namespace_id},
19,ably.net,ably.net:control,PATCH,/apps/{app_id}/rules/{rule_id},
20,ably.net,ably.net:control,PATCH,/apps/{id},
21,adafruit.com,adafruit.com,DELETE,/{username}/activities,destroyActivities
22,adafruit.com,adafruit.com,DELETE,/{username}/dashboards/{id},destroyDashboard
23,adafruit.com,adafruit.com,DELETE,/{username}/feeds/{feed_key},destroyFeed
24,adafruit.com,adafruit.com,DELETE,/{username}/feeds/{feed_key}/data/{id},destroyData
25,adafruit.com,adafruit.com,DELETE,/{username}/groups/{group_key},destroyGroup
26,adafruit.com,adafruit.com,DELETE,/{username}/tokens/{id},destroyToken
27,adafruit.com,adafruit.com,DELETE,/{username}/triggers/{id},destroyTrigger
28,adafruit.com,adafruit.com,PATCH,/{username}/{type}/{type_id}/acl/{id},updatePermission
29,adafruit.com,adafruit.com,PATCH,/{username}/dashboards/{dashboard_id}/blocks/{id},updateBlock
30,adafruit.com,adafruit.com,PATCH,/{username}/dashboards/{id},updateDashboard
31,adafruit.com,adafruit.com,PATCH,/{username}/feeds/{feed_key}/data/{id},updateData
32,adafruit.com,adafruit.com,PATCH,/{username}/groups/{group_key},updateGroup
33,adafruit.com,adafruit.com,PATCH,/{username}/tokens/{id},updateToken
34,adafruit.com,adafruit.com,PATCH,/{username}/triggers/{id},updateTrigger
35,adafruit.com,adafruit.com,PUT,/{username}/{type}/{type_id}/acl/{id},replacePermission
36,adafruit.com,adafruit.com,PUT,/{username}/dashboards/{dashboard_id}/blocks/{id},replaceBlock
37,adafruit.com,adafruit.com,PUT,/{username}/dashboards/{id},replaceDashboard
38,adafruit.com,adafruit.com,PUT,/{username}/feeds/{feed_key},replaceFeed
39,adafruit.com,adafruit.com,PUT,/{username}/feeds/{feed_key}/data/{id},replaceData
40,adafruit.com,adafruit.com,PUT,/{username}/groups/{group_key},replaceGroup
41,adafruit.com,adafruit.com,PUT,/{username}/tokens/{id},replaceToken
42,adafruit.com,adafruit.com,PUT,/{username}/triggers/{id},replaceTrigger
