row_id,truth_class,confidence,reason
401,w,low,global priority config in own instance
402,x,high,assigns permission scheme changing project access
403,w,low,reorders global resolution config
404,x,low,admin can set property on any user
405,w,low,edits own project version fields
406,x,low,merges versions reassigning issues irreversibly
407,w,low,edits own workflow scheme mapping
408,x,high,deletes another party's individual record
409,x,high,deletes another party's address record
410,x,high,deletes another party's business name record
411,x,high,deletes another party's electronic address
412,x,high,deletes another party's license record
413,x,high,deletes another party's role record
414,x,high,deletes another party's organisation record
415,x,high,deletes another party's business name record
416,x,high,deletes another party's license record
417,x,high,deletes another party's role record
418,x,high,updates another party's individual record
419,x,high,updates another party's address record
420,x,high,updates another party's business name record
421,x,high,updates another party's electronic address
422,x,high,updates another party's license record
423,x,high,updates another party's role record
424,x,high,updates another party's organisation record
425,x,high,updates another party's address record
426,x,high,updates another party's business name record
427,x,high,updates another party's electronic address
428,x,high,updates another party's license record
429,x,high,updates another party's role record
430,w,high,deletes own registered oauth client
431,w,high,updates own registered oauth client
432,x,high,revokes another sub user's access key
433,w,high,deletes own excluded resource entity
434,w,high,deletes own excluded resource entity
435,w,high,deletes own attachment entity
436,w,high,deletes own billing code entity
437,w,high,deletes own document category
438,w,high,deletes own holiday set
439,w,high,deletes own service bundle
440,w,high,deletes own task attachment
441,w,high,patches own contract billing rules
442,w,high,patches own contract services
443,w,high,patches own price list bundle
444,w,high,patches own project phase
445,w,high,patches own field definition
446,w,high,updates own appointment record
447,w,high,updates own configuration item type
448,w,high,updates own contract note
449,w,high,updates own document category
450,w,high,updates own inventory location
451,w,high,updates own price list role
452,w,high,updates own product vendor link
453,w,high,updates own task note
454,w,high,updates own ticket charge
455,w,high,deletes own expense entry
456,w,high,deletes own section
457,w,high,deletes own task
458,w,high,deletes own timesheet entry
459,w,high,stops own running timer
460,w,high,deletes own webhook by url
461,w,high,deletes own webhook by id
462,w,high,updates own company record
463,w,high,updates own expense record
464,w,high,updates own project record
465,w,low,updates own project member cost fields
466,w,high,updates own task record
467,w,high,updates own timesheet record
468,w,high,edits own schedule booking
469,w,high,edits own leave booking
470,w,high,resets own service policy to default
471,w,low,deletes own storage sas definition
472,w,high,deletes own data factory linked service
473,x,low,removes another party's private network connection
474,w,high,deletes own dedicated hsm resource
475,w,high,deletes own media service account
476,w,low,deletes dns record in own private zone
477,w,high,deletes own sql failover group
478,w,high,deletes own storage sync endpoint
479,w,high,deletes own certificate signing request
480,w,high,updates own workbook template
481,w,high,updates own iot central app metadata
482,x,low,updates settings on a live streaming event
483,w,high,updates own route filter rule
484,w,high,updates own sql instance pool
485,w,high,updates own api management operation policy
486,w,high,updates own api management global policy
487,w,high,updates own iot hub metadata
488,w,high,updates own dev test lab resource
489,w,high,creates or updates own ml workspace
490,w,high,creates or updates own media asset
491,w,high,creates or updates own notification hub config
492,w,high,unfollows category on own account
493,w,high,removes own music favourite
494,w,high,removes own music follow
495,w,high,removes own export preferences
496,w,high,removes own vendor export preferences
497,w,high,unfollows network on own account
498,w,high,removes own radio favourite
499,w,high,removes own radio follow
500,w,high,updates own music favourites batch
501,w,high,updates own music favourite
502,w,high,updates own music follows batch
503,w,high,updates own music follow
504,w,high,updates own vendor export preferences
505,w,high,updates own radio favourites batch
506,w,high,updates own radio favourite
507,w,high,updates own radio follows batch
508,w,high,updates own radio follow
509,x,low,deletes stored payment profile of a customer
510,x,low,deletes stored card of a customer
511,x,low,updates stored payment profile
512,x,low,updates stored card details
513,w,high,deletes own report filter
514,w,high,deletes own rule
515,w,high,deletes own custom column
516,w,high,deletes own custom column in importation
517,w,high,deletes own channel catalog
518,w,high,cancels own upcoming contract
519,w,high,deletes own store
520,x,high,removes another user's shared store access
521,w,high,deletes own order subscription
522,w,high,updates own store info
523,w,high,saves own report filter
524,w,high,saves own custom column
525,w,high,changes own custom column expression
526,w,high,saves own custom column in importation
527,w,high,configures own channel catalog mappings
528,w,high,configures own channel catalog filters
529,w,high,overrides own catalog product values
530,w,high,configures own channel catalog settings
531,w,high,saves own credit card info
532,w,high,saves own profile picture
533,w,high,saves own invoice design settings
534,w,high,saves own invoice general settings
535,w,high,revokes own in-use auth token
536,w,low,deletes shared bank category taxonomy
537,x,low,deletes a platform client possibly not own
538,x,low,deletes another user's transaction category
539,x,low,deletes another user's config keys
540,x,low,deletes another user's bank accounts
541,x,low,deletes another user's transaction data
542,x,low,deletes another user's clustered transaction
543,x,low,deletes another user's clustered transaction
544,w,high,deletes own webhooks
545,w,high,deletes own webhook
546,w,high,deletes own webhook data entry
547,w,high,deletes own webhook auth
548,x,low,updates a platform client possibly not own
549,x,low,forces sync on a connection not clearly own
550,w,low,edits shared connector definition
551,w,low,edits shared connector sources
552,x,low,edits another user's clustered transaction
553,x,low,edits another user's transaction metadata
554,x,low,edits another user's clustered transaction
555,x,low,edits another user's clustered transaction
556,w,high,updates own webhook
557,w,high,deletes own grocery list items
558,w,high,deletes own grocery list item
559,w,high,deletes own recipe as owner
560,w,high,deletes own posted review
561,w,high,deletes own posted review
562,w,high,deletes own posted reply
563,w,high,updates own grocery item
564,w,high,updates own profile
565,w,high,updates own personal info
566,w,high,updates own preferences
567,w,high,updates own profile
568,w,low,updates own recipe
569,w,high,updates own recipe note
570,w,high,updates own posted review
571,w,high,updates own posted review
572,w,high,updates own posted reply
573,w,high,deletes own accounting payment record
574,w,high,deletes own product record
575,w,high,deletes own purchase record
576,w,high,deletes own quote record
