row_id,truth_class,confidence,reason
1178,r,high,road i retrieve area query
1179,r,high,road i retrieve distance query
1180,r,high,road i retrieve route query
1181,r,high,road i retrieve route query
1182,r,high,road i retrieve forecast query
1206,x,low,rule ii creates credential result for authorization
1236,x,high,rule 12 begins export job each call
1237,r,high,road i tests domain validity
1238,x,high,rule 12 begins warmup process job
1239,w,high,rule 9 cancels own scheduled email
1240,r,high,road i queries own scheduled emails
1241,w,high,rule 4 deletes own definition field
1242,x,high,rule ii creates new blacklist entry
1243,r,low,road i checks domain settings primarily
1244,w,high,rule 4 deletes own subaccount container
1245,w,high,rule 9 pauses own subaccount sending
1246,x,high,rule ii creates new template
1247,r,high,road i generated content returned not stored
1249,r,high,road i reads data from device
1254,r,high,road i returns list of genes
1255,r,high,road i returns annotated genes list
1256,r,high,road i returns chart of terms
1257,r,high,road i translate ids lookup
1258,r,high,road i translate ids lookup
1289,x,high,rule ii creates new dtc readout
1290,x,high,road 1a publishes update
1291,r,high,road i validates definition
1292,r,high,road i requests visitor history
1293,w,high,rule 6 updates own device location
1345,r,high,road i infer name candidates
1346,r,high,road i infer name candidates
1347,r,high,road i infer country of residence
1348,r,high,road i infer gender
1349,r,high,road i infer gender
1350,r,high,road i infer gender
1351,r,high,road i infer name candidates
1352,r,high,road i infer name candidates
1353,r,high,road i infer name structure
1354,r,high,road i infer name structure
1355,r,high,road i infer country and phone code
1356,r,high,road i romanize name
1372,x,low,generic rpc may sign and broadcast
1373,x,high,road 1a broadcasts transaction to network
1374,x,high,road 1a broadcasts transaction to network
1375,r,low,builds unsigned transaction not broadcast
1379,w,high,rule 1 record about person own system
1380,w,high,rule 6 own device configuration
1431,x,high,road 1d automated call to live recipient
1432,r,high,road i generated qr code returned
1441,r,low,search results using uploaded data
1472,w,high,rule 6 own device table write
1473,w,high,rule 6 own device table write
1474,w,high,rule 6 own device table write
1475,w,high,rule 6 own device variable write
1476,r,high,road i get details read
1477,r,high,road i get details read
1522,x,high,rule 12 starts new scan job
1524,r,high,road i checks code validity
1548,r,low,transforms pdf returns output not stored
1549,r,low,transforms pdf returns output not stored
1550,r,low,transforms pdf returns output not stored
1551,r,low,generates pdf from input not stored
1552,r,high,road i search address autocomplete
1553,r,high,road i search contact enrichment
1554,r,high,road i search email enrichment
1555,r,high,road i search phone enrichment
1559,x,high,road 1b grants third party access token
1560,r,high,road i retrieve pdf report
1561,w,high,rule 4 deletes own rule definition
1562,r,high,road i enriches data returns result
1563,r,high,road i search institutions
1564,x,high,road 1b create token for partner access
1565,x,high,rule 12 fires webhook trigger each call
1566,w,high,saves own selected accounts config
1567,x,high,rule 12 advances test clock state
1568,r,high,road i get test clock read
1569,r,high,road i enriches data returns result
1570,r,high,road i retrieve entity screening
1571,r,high,road i compute absorption ratio
1572,r,high,road i compute matrix informativeness
1573,r,high,road i simulate returns computation
1574,r,high,road i compute variance
1575,r,high,road i compute number of bets
1576,r,high,road i compute arithmetic return
1577,r,high,road i compute average return
1578,r,high,road i compute sharpe ratio
1579,r,high,road i compute probabilistic sharpe ratio
1580,r,high,road i compute portfolio weights
1581,r,high,road i compute portfolio weights
1582,r,high,road i compute portfolio weights
1591,r,high,road i get card type information
1592,x,high,road 1c issues credit to cardholder
1593,x,high,rule ii creates card token
1607,r,high,road i transforms image returns output
1615,r,high,road i returns regression analysis
1617,w,low,sends feedback to own deployment
1618,r,low,predict computation read
1619,w,low,sends feedback to own deployment
1645,x,high,rule ii creates own login session
1658,x,high,rule ii creates bearer token
1660,x,low,likely creates new contact record
1661,r,high,road i lookup read
1662,r,high,road i validates for voice
1663,x,low,likely places voice call to recipient
1664,x,high,rule ii post create adds dns record
1665,w,high,rule iii deletes existing own domain
1666,x,low,reply likely reaches support staff
1667,r,high,road i rewrites text returns output
1683,x,high,road 1a creates public comment on post
1684,r,high,road i get list of own reports
1685,x,high,rule ii creates new twitter report
1689,r,high,road i analyzes text returns labels
1690,r,high,road i detects emotion returns labels
1691,r,high,road i detects language returns label
1692,r,high,road i predicts personality returns label
1693,r,high,road i evaluates sentiment returns label
1694,x,high,road 1d creates stream others watch
1695,w,low,edits existing receipt with feedback data
1696,x,low,adds new keyword to own model
1697,r,high,road i detects matches against keywords
1698,r,high,road i transcribes receipt returns text
1699,r,high,road i transcribes receipt returns text
1700,x,high,road 1c confirms payment checkout
1701,w,low,edits own previously sent message
1702,x,low,generates invite link changes chat access
1703,r,high,road i get member count read
1704,x,high,road 1a sends poll message to chat
1705,x,high,road 1a sends sticker message to chat
1706,w,high,rule 4 edits own chat container description
1707,w,high,rule 4 edits own chat container title
1708,w,high,rule 4 edits own sticker set thumbnail
1709,x,high,road 1d stops live feed viewers watching
1710,w,high,rule 4 edits own chat pinned list
1711,x,high,rule ii uploads new sticker file
1744,x,high,rule ii creates new public short link
1747,x,high,road 1c creates payment request commitment
1748,r,high,road i calculates reachable range
1798,x,high,rule ii registers creates new account
1799,r,high,road i list corpora read
1823,r,high,road i get pricing matrix read
1824,r,high,road i confirms price preview before booking
1825,r,high,road i get pricing matrix read
1826,r,high,road i get booking status read
1827,r,high,road i search products read
1828,r,high,road i search products by code
1853,x,high,rule ii uploads new document
1854,r,high,road i runs search on document
1867,x,high,road 1e submits order to factory
1900,x,high,road 1a sends sms to recipients
1954,r,high,road i get last media info
