row_id,part,provider,method,path,operationId
r0001,21,stripe,GET,/v1/account,GetAccount
r0002,4,stripe,POST,/v1/account_links,PostAccountLinks
r0003,2,stripe,POST,/v1/account_sessions,PostAccountSessions
r0004,18,stripe,GET,/v1/accounts,GetAccounts
r0005,20,stripe,POST,/v1/accounts,PostAccounts
r0006,19,stripe,GET,/v1/accounts/{account},GetAccountsAccount
r0007,15,stripe,POST,/v1/accounts/{account},PostAccountsAccount
r0008,2,stripe,DELETE,/v1/accounts/{account},DeleteAccountsAccount
r0009,12,stripe,POST,/v1/accounts/{account}/bank_accounts,PostAccountsAccountBankAccounts
r0010,2,stripe,GET,/v1/accounts/{account}/bank_accounts/{id},GetAccountsAccountBankAccountsId
r0011,16,stripe,POST,/v1/accounts/{account}/bank_accounts/{id},PostAccountsAccountBankAccountsId
r0012,20,stripe,DELETE,/v1/accounts/{account}/bank_accounts/{id},DeleteAccountsAccountBankAccountsId
r0013,6,stripe,GET,/v1/accounts/{account}/capabilities,GetAccountsAccountCapabilities
r0014,17,stripe,GET,/v1/accounts/{account}/capabilities/{capability},GetAccountsAccountCapabilitiesCapability
r0015,12,stripe,POST,/v1/accounts/{account}/capabilities/{capability},PostAccountsAccountCapabilitiesCapability
r0016,4,stripe,GET,/v1/accounts/{account}/external_accounts,GetAccountsAccountExternalAccounts
r0017,7,stripe,POST,/v1/accounts/{account}/external_accounts,PostAccountsAccountExternalAccounts
r0018,10,stripe,GET,/v1/accounts/{account}/external_accounts/{id},GetAccountsAccountExternalAccountsId
r0019,14,stripe,POST,/v1/accounts/{account}/external_accounts/{id},PostAccountsAccountExternalAccountsId
r0020,20,stripe,DELETE,/v1/accounts/{account}/external_accounts/{id},DeleteAccountsAccountExternalAccountsId
r0021,14,stripe,POST,/v1/accounts/{account}/login_links,PostAccountsAccountLoginLinks
r0022,2,stripe,GET,/v1/accounts/{account}/people,GetAccountsAccountPeople
r0023,15,stripe,POST,/v1/accounts/{account}/people,PostAccountsAccountPeople
r0024,10,stripe,GET,/v1/accounts/{account}/people/{person},GetAccountsAccountPeoplePerson
r0025,4,stripe,POST,/v1/accounts/{account}/people/{person},PostAccountsAccountPeoplePerson
r0026,14,stripe,DELETE,/v1/accounts/{account}/people/{person},DeleteAccountsAccountPeoplePerson
r0027,18,stripe,GET,/v1/accounts/{account}/persons,GetAccountsAccountPersons
r0028,19,stripe,POST,/v1/accounts/{account}/persons,PostAccountsAccountPersons
r0029,17,stripe,GET,/v1/accounts/{account}/persons/{person},GetAccountsAccountPersonsPerson
r0030,12,stripe,POST,/v1/accounts/{account}/persons/{person},PostAccountsAccountPersonsPerson
r0031,11,stripe,DELETE,/v1/accounts/{account}/persons/{person},DeleteAccountsAccountPersonsPerson
r0032,2,stripe,POST,/v1/accounts/{account}/reject,PostAccountsAccountReject
r0033,1,stripe,POST,/v1/accounts/{account}/unreject,PostAccountsAccountUnreject
r0034,3,stripe,GET,/v1/apple_pay/domains,GetApplePayDomains
r0035,13,stripe,POST,/v1/apple_pay/domains,PostApplePayDomains
