row_id,truth_class,confidence,reason
r3231,r,high,GET list operation
r1477,x,high,road 1a sends reminder to payer
r0537,w,low,edits own test resource state
r3591,x,high,road 1b removes user from workspace
r1854,r,high,GET list db users
r2059,r,high,GET metrics read
r1930,r,high,GET list read
r1769,w,high,PATCH default own add-on plan
r3001,x,high,POST create draft scheme road2
r0421,x,high,POST create source road2
r1266,r,high,GET list webhooks
r2634,r,high,GET issue property
r2949,r,high,GET search users
r3484,w,high,rule4 delete own section
r0071,r,high,GET list options
r1414,x,high,POST create registrant road2
r3506,r,high,GET list tags
r2039,r,high,GET metrics
r1212,w,low,bulk edit existing subscriptions
r1313,r,high,GET list sessions
r2963,r,high,GET counts read
r1447,w,high,rule4 catalog entry edit
r1289,x,high,POST create group road2
r3711,w,high,PUT default own monitor
r2183,w,high,DELETE own reserved ip
r2078,r,high,GET metrics
r3521,r,high,GET list tasks
r3097,w,high,rule4 edit own folder
r3431,r,high,GET project brief
r3188,r,high,GET list notes
r1089,x,high,road 1a/1c sends and charges customer
r3965,w,high,road iii closes existing conversation
r2557,x,high,POST create field config road2
r0042,x,high,road 1c refund moves money
r1861,x,high,POST create database road2
r2890,x,high,POST create scheme road2
r3261,w,high,rule1 delete own cart record
r3927,r,high,GET contact
r2411,r,high,GET trajectory read
r3833,r,high,POST search rule i
r2089,r,high,GET metric read
r2263,r,high,GET list gateways
r2652,x,high,POST create worklog road2
r2789,w,high,PUT default own scheme
r2335,x,high,rule12 trigger job road2
r0727,w,low,own project tool config edit
r0827,r,high,GET vector store
r3816,r,high,GET usage read
r4081,r,high,GET comment thread
r3146,x,low,POST creates subscriber records road2
r1582,w,high,road iii edit own profile
r2207,w,high,DELETE own suppression
r3148,w,high,PATCH default own list
r1972,r,high,GET namespace
r0144,r,high,GET transaction
r3514,r,high,GET task
r0612,w,high,rule9 cancel own batch
r3005,r,high,GET draft scheme
r1111,r,high,POST search rule i
r0086,x,high,POST create configuration road2
r2231,x,high,rule12 restore job road2
r2684,w,high,PUT default own security level def
r1716,x,high,POST create playlist road2
r2859,w,high,PUT default own resolutions order
r3682,x,high,POST create webhook road2
r2227,w,high,PUT default own vector db
r2870,r,high,GET actors
r0157,r,high,GET balance
r0316,r,high,GET line items
r3610,w,high,PATCH default restore own dashboards
r1904,r,high,GET list accelerators
r1229,w,high,PUT default own job record
r2962,w,high,road iii delete existing version
r0379,r,high,GET line items
r0543,r,high,GET token
r1680,r,high,GET search
r3826,r,high,GET validate check
r1779,r,high,GET list deployments
r2864,r,high,GET list roles
r3183,r,high,GET list tags
r2756,x,high,rule4 delete access bundle scheme
r1924,w,high,DELETE own droplets by tag
r1363,r,high,GET report
r1530,r,high,GET list transactions
r2406,w,high,PUT default own run name
r1401,r,high,GET check email
r1258,x,high,POST create vendors road2
r3582,w,high,PUT default own webhook
r1800,w,high,road iii edit own alert config
r0413,x,low,road2 verify advances state
r1661,r,high,GET list albums
r4164,w,high,DELETE own dev resource
r0056,r,high,GET list alerts
r1297,x,high,POST create device road2
r2167,r,high,POST validate rule i
r3539,r,high,GET membership
r1864,r,high,GET list pools
r2199,x,high,rule12 create scan job road2
r3694,r,high,GET pipeline order
r0481,w,high,road iii edit own location
r0670,x,high,road 1d ends live call
r1127,w,high,PUT default own location
r0140,w,low,rule1 edit own customer record
r0170,w,high,rule10 delete own payment source
r2146,r,high,GET credentials
r3921,r,high,GET list subscriptions
r1227,x,high,POST create job road2
r1073,x,high,POST create inventory changes road2
r4139,r,high,GET list components
r0648,r,high,GET file
r0102,r,high,GET refund
r1636,r,high,GET list schedules
r4011,r,high,GET list segments
r0038,r,high,GET list fees
r2338,r,high,GET job status
r2027,w,high,DELETE own load balancer
r1670,r,high,GET list audiobooks
r3607,r,high,GET list dashboards
r2040,r,high,GET metrics
r0640,x,high,rule12 trigger run road2
r0767,r,high,GET usage
r1910,r,high,GET list sizes
r3999,x,high,road 1a create message sent to contact
r0865,r,high,POST calculation rule i
r3977,x,low,create-or-update tighter class x
r0598,w,high,road iii edit own assistant
r1622,x,high,POST create flow road2
r2300,r,high,GET list routes
r3130,r,high,GET message
r3636,x,low,GET triggers new snapshot road2
r1036,r,high,GET device
r2854,x,high,rule12 trigger redaction job road2
r2784,w,high,DELETE own priority
r1545,r,high,GET list solutions
r1759,w,high,DELETE own ssh key
r3191,w,high,rule1 delete own note
r1553,r,high,GET list blocked users
r1712,r,high,GET check saved shows
r0552,x,high,road 1c reversal moves money
r0538,w,low,edits own test resource state
r0642,w,high,rule9 cancel own eval run
r1572,w,low,deregister own phone resource
r1287,x,high,POST create addon plan road2
r3388,x,high,POST create relationship road2
r0354,r,high,GET search prices
r2329,r,high,GET list test cases
r1384,w,high,DELETE own scheduler
r0856,x,high,POST create video job road2
r2809,w,high,road iii archive own project
r1211,x,high,road 1a/1c charges or emails customer
r0675,w,high,DELETE own model
r4135,w,high,rule7 own reaction react
r3174,r,high,GET search tags
r0237,r,high,GET invoice item
r2512,r,high,POST validate rule i
r2648,r,high,GET watchers
r0095,x,high,road 1c capture moves money
r0653,r,high,GET list permissions
r2400,x,high,POST create scheduled job road2
r1846,x,high,rule12 PUT triggers update job road2
r3533,w,high,road iii labels own task
r1027,r,high,GET attribute
r1503,x,high,POST create webhook lookup road2
r2965,r,high,GET list webhooks
r0713,r,high,GET list api keys
r2160,r,high,POST validate rule i
r0495,x,high,road 1c refund moves money
r1730,r,high,GET check follows
r3963,r,high,GET list side conversations
r2681,r,high,GET list members
r0874,x,high,POST create skill version road2
r0975,w,high,PUT default own custom attribute
r1435,x,high,POST create subscription road2
r2205,w,high,PUT default own plan setting
r1826,r,high,GET summary
r2914,r,high,GET usages
r1391,r,high,GET list pac accounts
r3359,r,high,GET list attachments
r4023,w,high,DELETE own tag
r3856,w,high,DELETE own external page
r0017,x,high,POST create external account road2
r3814,r,high,GET usage
r1177,r,high,POST preview calculation rule i
r2492,r,high,GET list dashboards
r4133,w,high,DELETE own comment
r1063,w,high,road iii soft delete own reason
r0547,w,high,road iii edit own metadata
r4122,r,high,GET metadata
r1699,w,high,rule7 remove own saved albums
r0263,r,high,GET list cardholders
r2315,w,high,PATCH default own metadata
r2083,r,high,GET metrics
r3068,r,high,GET workflow email info
r3010,w,high,DELETE default own draft workflow
r1497,x,high,POST create webhook subscription road2
r1279,w,high,PATCH default own sub account settings
r1768,w,high,PATCH default own add-on name
r3177,r,high,GET member info
r0369,r,high,GET promotion code
