row_id,provider,method,path,operationId
pc-r2222,digitalocean,POST,/v2/tags/{tag_id}/resources,tags_assign_resources
x17-e1007,docusign,DELETE,/v2.1/accounts/{accountId}/tab_definitions/{customTabId},Tab_DeleteCustomTab
x20-e0060,auth0,DELETE,/self-service-profiles/{id},delete_self-service-profiles_by_id
pc-r3624,datadog,PUT,/api/v1/dashboard/{dashboard_id},UpdateDashboard
x17-e0024,okta,PUT,/api/v1/api-tokens/{apiTokenId},upsertApiToken
x20-e0687,miro,PATCH,/v2/boards/{board_id}/documents/{item_id},update-document-item-using-url
pc-r0606,openai,POST,/audio/voice_consents/{consent_id},updateVoiceConsent
x17-e0399,okta,PUT,/api/v1/identity-sources/{identitySourceId}/users/{externalId},replaceExistingIdentitySourceUser
x17-e1158,xero,POST,/Accounts/{AccountID}/Attachments/{FileName},updateAccountAttachmentByFileName
pc-r2647,jira,DELETE,/rest/api/2/issue/{issueIdOrKey}/votes,removeVote
x20-e0009,auth0,DELETE,/clients/{client_id}/credentials/{credential_id},delete_credentials_by_credential_id
x17-e0470,okta,PUT,/api/v1/meta/uischemas/{id},replaceUISchemas
x20-e0358,hubspot,PATCH,/crm/v3/objects/postal_mail/{postalMailId},patch-/crm/v3/objects/postal_mail/{postalMailId}_update
x20-e0493,hubspot,PUT,/marketing/v3/marketing-events/events/{externalEventId},put-/marketing/v3/marketing-events/events/{externalEventId}_upsert
pc-r2283,digitalocean,PUT,/v2/gen-ai/agents/{agent_uuid}/api_keys/{api_key_uuid},genai_update_agent_api_key
x20-e0283,hubspot,DELETE,/crm/v3/objects/line_items/{lineItemId},delete-/crm/v3/objects/line_items/{lineItemId}_archive
x20-e0499,hubspot,PUT,/settings/users/2026-09/{userId},put-/settings/users/2026-09/{userId}
pc-r2808,jira,DELETE,/rest/api/2/project/{projectIdOrKey},deleteProject
x20-e0647,miro,DELETE,/v2/boards/{board_id_PlatformTags}/items/{item_id},remove-tag-from-item
pc-r1674,spotify,DELETE,/me/audiobooks,remove-audiobooks-user
pc-r2359,digitalocean,DELETE,/v2/gen-ai/model_evaluation_runs/{eval_run_uuid},genai_delete_model_evaluation_run
pc-r3421,asana,PUT,/portfolios/{portfolio_gid},updatePortfolio
x17-e0922,docusign,PUT,/v2.1/accounts/{accountId}/envelopes/{envelopeId}/workflow/steps/{workflowStepId}/delayedRouting,EnvelopeWorkflowDelayedRouting_PutEnvelopeDelayedRoutingDefinition
pc-r2680,jira,PUT,/rest/api/2/issuesecurityschemes/{id},updateIssueSecurityScheme
pc-r1845,digitalocean,PUT,/v2/databases/{database_cluster_uuid}/maintenance,databases_update_maintenanceWindow
pc-r2920,jira,DELETE,/rest/api/2/uiModifications/{uiModificationId},deleteUiModification
x20-e0397,hubspot,POST,/crm/objects/2026-09-beta/{objectType}/batch/upsert,post-/crm/objects/2026-09-beta/{objectType}/batch/upsert_/crm/objects/2026-09-beta/{objectType}/batch/upsert
pc-r1084,square,PUT,/v2/invoices/{invoice_id},UpdateInvoice
pc-r1691,spotify,DELETE,/playlists/{playlist_id}/items,remove-items-playlist
pc-r3711,datadog,PUT,/api/v1/monitor/{monitor_id},UpdateMonitor
pc-r1746,spotify,PUT,/me/player/volume,set-volume-for-users-playback
pc-r2384,digitalocean,DELETE,/v2/gen-ai/openai/keys/{api_key_uuid},genai_delete_openai_api_key
x20-e0029,auth0,DELETE,/forms/{id},delete_form
x20-e0462,hubspot,PUT,/crm/lists/2026-09/{listId}/update-list-filters,put-/crm/lists/2026-09/{listId}/update-list-filters
x17-e0250,okta,DELETE,/api/v1/device-posture-checks/{postureCheckId},deleteDevicePostureCheck
pc-r2487,jira,PUT,/rest/api/2/configuration/timetracking,selectTimeTrackingImplementation
pc-r2603,jira,PUT,/rest/api/2/issue/archive,archiveIssues
pc-r0438,stripe,POST,/v1/subscription_schedules/{schedule}/release,PostSubscriptionSchedulesScheduleRelease
x17-e0035,okta,POST,/api/v1/apps/{appId}/connections/default/lifecycle/deactivate,deactivateDefaultProvisioningConnectionForApplication
pc-r3692,datadog,PUT,/api/v1/logs/config/indexes/{name},UpdateLogsIndex
pc-r2366,digitalocean,PUT,/v2/gen-ai/models/api_keys/{api_key_uuid},genai_update_model_api_key
pc-r0061,stripe,POST,/v1/billing/alerts/{id}/deactivate,PostBillingAlertsIdDeactivate
x20-e1002,zendesk,PUT,/api/v2/workspaces/reorder,ReorderWorkspaces
x20-e0325,hubspot,PATCH,/cms/v3/pages/site-pages/{objectId}/draft,patch-/cms/v3/pages/site-pages/{objectId}/draft_updateDraft
x20-e0144,auth0,PATCH,/verifiable-credentials/verification/templates/{id},patch_vc_templates_by_id
x20-e0686,miro,PATCH,/v2/boards/{board_id}/connectors/{connector_id},update-connector
pc-r3097,mailchimp,PATCH,/campaign-folders/{folder_id},patchCampaignFoldersId
pc-r1059,square,POST,/v2/gift-cards/{gift_card_id}/unlink-customer,UnlinkCustomerFromGiftCard
pc-r0329,stripe,POST,/v1/payment_methods/{payment_method},PostPaymentMethodsPaymentMethod
x17-e1305,xero,DELETE,/Prepayments/{PrepaymentID}/Allocations/{AllocationID},deletePrepaymentAllocations
pc-r1012,square,POST,/v2/customers/custom-attributes/bulk-upsert,BulkUpsertCustomerCustomAttributes
x20-e0525,klaviyo,DELETE,/api/tags/{id}/relationships/lists,remove_tag_from_lists
x17-e0812,docusign,DELETE,/v2.1/accounts/{accountId}/contacts,Contacts_DeleteContacts
pc-r3140,mailchimp,DELETE,/file-manager/folders/{folder_id},deleteFileManagerFoldersId
x20-e0002,auth0,DELETE,/actions/modules/{id},delete_action_module
pc-r0556,stripe,POST,/v1/transfers/{transfer}/reversals/{id},PostTransfersTransferReversalsId
x17-e1112,docusign,DELETE,/v2.1/accounts/{accountId}/users/{userId}/signatures/{signatureId},UserSignatures_DeleteUserSignature
pc-r0031,stripe,DELETE,/v1/accounts/{account}/persons/{person},DeleteAccountsAccountPersonsPerson
pc-r0392,stripe,DELETE,/v1/radar/value_lists/{value_list},DeleteRadarValueListsValueList
pc-r2566,jira,PUT,/rest/api/2/fieldconfigurationscheme/project,assignFieldConfigurationSchemeToProject
x20-e0368,hubspot,PATCH,/marketing/v3/emails/{emailId}/draft,patch-/marketing/v3/emails/{emailId}/draft
x17-e0686,okta,DELETE,/api/v1/zones/{zoneId},deleteNetworkZone
x17-e0382,okta,DELETE,/api/v1/identity-sources/{identitySourceId}/groups/{groupOrExternalId},deleteIdentitySourceGroup
pc-r3681,datadog,DELETE,/api/v1/integration/webhooks/configuration/custom-variables/{custom_variable_name},DeleteWebhooksIntegrationCustomVariable
pc-r2157,digitalocean,DELETE,/v2/registries/{registry_name}/repositories/{repository_name}/tags/{repository_tag},registries_delete_repositoryTag
pc-r0687,openai,POST,/organization/certificates/{certificate_id},modifyCertificate
x20-e0482,hubspot,PUT,/feature-flags/v3/{appId}/flags/{flagName},put-/feature-flags/v3/{appId}/flags/{flagName}
