row_id,provider,method,path,operationId
pc-r3668,datadog,DELETE,/api/v1/integration/gcp,DeleteGCPIntegration
pc-r1988,digitalocean,POST,/v2/images/{image_id}/account_transfer,images_post_account_transfer_create
pc-r0792,openai,POST,/realtime/calls/{call_id}/refer,refer-realtime-call
x17-e0494,okta,POST,/api/v1/org/privacy/oktaCommunication/optIn,optInUsersToOktaCommunicationEmails
x20-e0322,hubspot,PATCH,/cms/v3/pages/landing-pages/folders/{objectId},patch-/cms/v3/pages/landing-pages/folders/{objectId}_updateFolder
pc-r0320,stripe,POST,/v1/payment_method_configurations/{configuration},PostPaymentMethodConfigurationsConfiguration
x17-e0112,okta,PATCH,/api/v1/authenticators/{authenticatorId}/aaguids/{aaguid},updateCustomAAGUID
x17-e1087,docusign,POST,/v2.1/accounts/{accountId}/users/{userId}/authorizations,UserAuthorizations_PostUserAuthorizations
x20-e0894,zendesk,POST,/api/v2/routing/agents/instance_values/jobs,BulkSetAgentAttributeValuesJob
x17-e0040,okta,POST,/api/v1/apps/{appId}/credentials/csrs/{csrId}/lifecycle/publish,publishCsrFromApplication
x20-e0399,hubspot,POST,/crm/objects/2026-09/projects/batch/archive,post-/crm/objects/2026-09/projects/batch/archive_/crm/objects/2026-09-beta/{objectType}/batch/archive
pc-r3480,asana,DELETE,/roles/{role_gid},deleteRole
pc-r3765,datadog,POST,/api/v1/synthetics/tests/delete,DeleteTests
x17-e0888,docusign,POST,/v2.1/accounts/{accountId}/envelopes/{envelopeId}/recipients/{recipientId}/tabs,Recipients_PostRecipientTabs
x20-e0320,hubspot,PATCH,/cms/v3/hubdb/tables/{tableIdOrName}/draft,patch-/cms/v3/hubdb/tables/{tableIdOrName}/draft_updateDraftTable
pc-r3266,mailchimp,DELETE,/ecommerce/stores/{store_id}/carts/{cart_id}/lines/{line_id},deleteEcommerceStoresIdCartsLinesId
x17-e0027,okta,POST,/api/v1/apps,createApplication
pc-r1618,meta-whatsapp,DELETE,/{Version}/{WhatsApp-Business-Account-ID}/assigned_users,removeAssignedUser
x17-e1170,xero,POST,/BankTransactions/{BankTransactionID},updateBankTransaction
pc-r1459,paypal,PATCH,/v1/customer/disputes/{id},disputes.patch
pc-r0353,stripe,POST,/v1/prices,PostPrices
pc-r0482,stripe,DELETE,/v1/terminal/locations/{location},DeleteTerminalLocationsLocation
x20-e0615,klaviyo,POST,/api/profile-suppression-bulk-create-jobs,bulk_suppress_profiles
pc-r3667,datadog,POST,/api/v1/integration/gcp,CreateGCPIntegration
pc-r1554,meta-whatsapp,POST,/{Version}/{Phone-Number-ID}/block_users,blockUserS
x20-e0778,zendesk,DELETE,/api/v2/it_asset_management/asset_types/{asset_type_id}/fields/{asset_type_field_id},DeleteItamAssetTypeField
x20-e0887,zendesk,POST,/api/v2/organizations/{organization_id}/merge,CreateOrganizationMerge
pc-r1331,zoom,POST,/meetings/{meetingId}/polls,meetingPollCreate
pc-r2539,jira,DELETE,/rest/api/2/field/{fieldId}/context/{contextId}/option/{optionId},deleteCustomFieldOption
pc-r0971,square,PUT,/v2/bookings/{booking_id},UpdateBooking
x17-e0470,okta,PUT,/api/v1/meta/uischemas/{id},replaceUISchemas
pc-r1053,square,POST,/v2/gift-cards,CreateGiftCard
x20-e0867,zendesk,POST,/api/v2/dynamic_content/items/{dynamic_content_item_id}/variants,CreateDynamicContentVariant
x17-e0651,okta,POST,/api/v1/users/{userId}/factors/{factorId}/resend,resendEnrollFactor
pc-r2605,jira,POST,/rest/api/2/issue/bulk,createIssues
pc-r2429,digitalocean,POST,/v1/batches/files,inference_create_batch_file
pc-r2127,digitalocean,POST,/v2/partner_network_connect/attachments/{pa_id}/service_key,partnerAttachments_create_service_key
pc-r3959,intercom,POST,/conversations/{conversation_id}/parts,manageConversation
pc-r2820,jira,POST,/rest/api/2/project/{projectIdOrKey}/delete,deleteProjectAsynchronously
x20-e0450,hubspot,PUT,/cms/v3/pages/site-pages/multi-language/set-new-lang-primary,put-/cms/v3/pages/site-pages/multi-language/set-new-lang-primary_setLangPrimary
pc-r1815,digitalocean,POST,/v2/certificates,certificates_create
x17-e0118,okta,POST,/api/v1/authenticators/{authenticatorId}/methods/{methodType}/lifecycle/activate,activateAuthenticatorMethod
pc-r1467,paypal,POST,/v1/customer/disputes/{id}/make-offer,disputes.make-offer
pc-r0577,stripe,POST,/v1/treasury/outbound_payments/{id}/cancel,PostTreasuryOutboundPaymentsIdCancel
pc-r3895,intercom,POST,/internal_articles,createInternalArticle
pc-r2954,jira,PUT,/rest/api/2/version/{id},updateVersion
x20-e0671,miro,DELETE,/v2/orgs/{org_id}/teams/{team_id},enterprise-delete-team
x20-e0807,zendesk,DELETE,/api/v2/ticket_forms/{ticket_form_id}/ticket_form_statuses,DeleteTicketFormStatuses
pc-r3343,mailchimp,POST,/verified-domains,createVerifiedDomain
x17-e1323,xero,PUT,/Quotes,createQuotes
x20-e0736,miro,POST,/v2/orgs/{org_id}/cases,create-case
pc-r2138,digitalocean,POST,/v2/projects/{project_id}/resources,projects_assign_resources
pc-r0123,stripe,POST,/v1/coupons,PostCoupons
pc-r1016,square,PUT,/v2/customers/groups/{group_id},UpdateCustomerGroup
x20-e0307,hubspot,DELETE,/public/api/versioning/test/2027-03-beta/widgets/{widgetId},delete-/public/api/versioning/test/2027-03-beta/widgets/{widgetId}
x20-e0467,hubspot,PUT,/crm/objects/2026-09/{fromObjectType}/{fromObjectId}/associations/default/{toObjectType}/{toObjectId},put-/crm/objects/2026-09/{fromObjectType}/{fromObjectId}/associations/default/{toObjectType}/{toObjectId}_/crm/objects/2026-09-beta/{fromObjectType}/{fromObjectId}/associations/default/{toObjectType}/{toObjectId}
pc-r3985,intercom,POST,/data_connectors,createDataConnector
pc-r0561,stripe,POST,/v1/treasury/debit_reversals,PostTreasuryDebitReversals
x17-e1010,docusign,POST,/v2.1/accounts/{accountId}/templates,Templates_PostTemplates
x20-e0261,hubspot,DELETE,/commerce/payments-settings/2027-03-beta/payments-settings/checkout-fees/{checkoutFeeId},delete-/commerce/payments-settings/2027-03-beta/payments-settings/checkout-fees/{checkoutFeeId}
pc-r3277,mailchimp,DELETE,/ecommerce/stores/{store_id}/promo-rules/{promo_rule_id},deleteEcommerceStoresIdPromorulesId
x17-e0046,okta,POST,/api/v1/apps/{appId}/credentials/jwks/{keyId}/lifecycle/deactivate,deactivateOAuth2ClientJsonWebKey
pc-r0485,stripe,POST,/v1/terminal/readers,PostTerminalReaders
pc-r2441,jira,PUT,/rest/api/2/app/field/{fieldIdOrKey}/context/configuration,updateCustomFieldConfiguration
x17-e0394,okta,POST,/api/v1/identity-sources/{identitySourceId}/sessions/{sessionId}/bulk-groups-upsert,uploadIdentitySourceGroupsForUpsert
pc-r0176,stripe,DELETE,/v1/customers/{customer}/subscriptions/{subscription_exposed_id},DeleteCustomersCustomerSubscriptionsSubscriptionExposedId
pc-r0700,openai,DELETE,/organization/groups/{group_id}/roles/{role_id},unassign-group-role
pc-r0097,stripe,POST,/v1/charges/{charge}/dispute,PostChargesChargeDispute
pc-r1993,digitalocean,POST,/v2/images/{image_id}/actions,imageActions_post
pc-r2499,jira,PUT,/rest/api/2/dashboard/{dashboardId}/gadget/{gadgetId},updateGadget
pc-r1973,digitalocean,DELETE,/v2/functions/namespaces/{namespace_id},functions_delete_namespace
x20-e0335,hubspot,PATCH,/commerce/price-books/2026-09/price-books/{priceBookId}/items/{priceBookItemId},patch-/commerce/price-books/2026-09/price-books/{priceBookId}/items/{priceBookItemId}
pc-r2742,jira,POST,/rest/api/2/notificationscheme,createNotificationScheme
pc-r1174,square,DELETE,/v2/online-checkout/payment-links/{id},DeletePaymentLink
pc-r2010,digitalocean,PUT,/v2/kubernetes/clusters/{cluster_id}/node_pools/{node_pool_id},kubernetes_update_nodePool
x20-e0767,zendesk,DELETE,/api/v2/custom_objects/{custom_object_key}/triggers/{trigger_id},DeleteObjectTrigger
pc-r2825,jira,PUT,/rest/api/2/project/{projectIdOrKey}/properties/{propertyKey},setProjectProperty
x20-e0293,hubspot,DELETE,/integrators/timeline/v3/{appId}/event-templates/{eventTemplateId},delete-/integrators/timeline/v3/{appId}/event-templates/{eventTemplateId}_archive
x20-e0682,miro,PATCH,/v2/boards/{board_id_PlatformFileUpload}/images/{item_id},update-image-item-using-file-from-device
x20-e0614,klaviyo,POST,/api/profile-subscription-bulk-delete-jobs,bulk_unsubscribe_profiles
pc-r0575,stripe,POST,/v1/treasury/outbound_payments,PostTreasuryOutboundPayments
x17-e1139,docusign,POST,/v2.1/current_user/notary/jurisdictions,NotaryJurisdictions_PostNotaryJurisdictions
x20-e0578,klaviyo,POST,/api/catalog-items/{id}/relationships/categories,add_categories_to_catalog_item
pc-r0963,square,POST,/v2/bookings/custom-attributes/bulk-delete,BulkDeleteBookingCustomAttributes
