row_id,truth_class,confidence,reason
pc-r3668,x,high,a DELETE deletes integration no restore
pc-r1988,x,high,c sends email to recipient and moves image to their account
pc-r0792,x,low,e transfers a live call cannot be un-run
x17-e0494,w,low,w edits org email preference setting no send named
x20-e0322,w,high,PATCH edits folder details
pc-r0320,w,high,iii edits existing configuration
x17-e0112,w,high,PATCH edits AAGUID properties
x17-e1087,w,high,ii and iii create or update authorizations
x20-e0894,w,low,iii bulk edits agent attributes settable back
x17-e0040,x,high,a CSR consumed no longer accessible
x20-e0399,w,high,archive to recycling bin named restore
pc-r3480,x,high,a DELETE deletes role no restore
pc-r3765,x,high,a POST deletes tests no restore
x17-e0888,w,high,ii plain create of tabs
x20-e0320,w,low,PATCH edits draft table columns can be re-added
pc-r3266,x,low,a DELETE removes line item record itself
x17-e0027,w,high,ii plain create of application
pc-r1618,x,low,DELETE revokes all access text says cannot be undone
x17-e1170,w,high,iii edits existing bank transaction
pc-r1459,w,high,PATCH edits dispute details
pc-r0353,w,high,ii plain create of price
pc-r0482,x,high,a DELETE deletes location no restore
x20-e0615,w,low,toggle suppress is a profile setting nothing gone
pc-r3667,w,high,ii plain create of integration
pc-r1554,w,low,toggle block listed with unblock
x20-e0778,x,high,a DELETE deletes asset field no restore
x20-e0887,x,high,a merge deletes losing org text says irreversible
pc-r1331,w,high,ii plain create of poll
pc-r2539,x,high,a DELETE deletes field option no restore
pc-r0971,w,high,PUT edits booking
x17-e0470,w,high,PUT replaces UI schema settable back
pc-r1053,w,high,ii plain create of pending gift card
x20-e0867,w,high,ii plain create of variant
x17-e0651,x,high,c sends sms call or email challenge
pc-r2605,w,high,ii bulk create of issues
pc-r2429,w,high,ii plain create of file record
pc-r2127,x,high,b rotates service key credential
pc-r3959,w,high,toggles close snooze open assign settable back
pc-r2820,x,high,a POST deletes project no restore
x20-e0450,w,high,PUT sets primary language settable back
pc-r1815,w,low,ii upload create of certificate
x17-e0118,w,high,toggle activate has deactivate
pc-r1467,x,high,c and d offer delivered to other party may trigger refund
pc-r0577,x,high,f cancels outbound payment cannot be re-opened
pc-r3895,w,high,ii plain create of article
pc-r2954,w,high,PUT edits version
x20-e0671,x,high,a DELETE deletes team no restore
x20-e0807,x,high,a DELETE deletes all form statuses no restore
pc-r3343,w,high,ii plain add of domain no send named
x17-e1323,w,high,ii PUT creates quotes
x20-e0736,w,high,ii plain create of case container
pc-r2138,w,high,assign resources settable back
pc-r0123,w,high,ii plain create of coupon
pc-r1016,w,high,PUT edits customer group
x20-e0307,x,low,DELETE default no text
x20-e0467,w,high,ii plain create of association
pc-r3985,w,high,ii plain create of draft connector
pc-r0561,x,high,d reverses a debit moves money
x17-e1010,w,high,ii plain create of templates
x20-e0261,x,high,a DELETE removes checkout fee no restore
pc-r3277,x,high,a DELETE deletes promo rule no restore
x17-e0046,w,high,toggle deactivate text names activate
pc-r0485,w,high,ii plain create of reader
pc-r2441,w,high,PUT edits field configuration
x17-e0394,w,low,ii upload insert or update into own store
pc-r0176,x,high,DELETE terminates subscription no restore named
pc-r0700,w,low,toggle unassign has assign membership add back one call
pc-r0097,?,low,text absent cannot tell what call does
pc-r1993,x,low,e runs image convert or transfer action
pc-r2499,w,high,PUT edits gadget
pc-r1973,x,high,a DELETE deletes namespace text says not recoverable
x20-e0335,w,high,PATCH edits price book item
pc-r2742,w,high,ii plain create of notification scheme
pc-r1174,x,high,a DELETE deletes payment link no restore
pc-r2010,w,high,PUT edits node pool settings
x20-e0767,x,high,a DELETE deletes trigger no restore
pc-r2825,w,high,PUT sets property settable back
x20-e0293,x,low,DELETE text says delete though id hints archive
x20-e0682,w,high,PATCH edits image item
x20-e0614,x,low,b revokes marketing consent and removes push tokens
pc-r0575,x,high,d creates outbound payment moves money
x17-e1139,w,high,ii plain create of jurisdiction
x20-e0578,w,high,ii plain create of category relationship
pc-r0963,x,high,a POST bulk deletes attributes no restore
x20-e0461,w,low,PUT sets a schedule time settable back
x17-e0142,w,high,toggle activate has deactivate
x17-e0757,w,high,PUT edits brand
pc-r3863,w,high,PUT stages draft live unchanged
x17-e0013,w,high,iii edits agent pool update
pc-r1741,w,high,toggle pause has resume
x20-e0266,x,high,a DELETE permanently removes list
x20-e0198,w,high,ii plain create of client grant association
pc-r0683,w,high,ii upload create of certificate not activated
pc-r0548,x,high,f cancels pending top-up money transfer
x20-e0359,w,high,PATCH edits product
x17-e0231,w,high,ii plain create of captcha instance
pc-r0023,w,high,ii plain create of person
x20-e0771,x,high,a DELETE deletes schedule no restore
x20-e0178,w,high,ii plain create of experiment
x17-e0922,w,high,PUT edits routing rules settable back
