row_id,part,provider,method,path,operationId
pc-r0007,7,stripe,POST,/v1/accounts/{account},PostAccountsAccount
pc-r0011,1,stripe,POST,/v1/accounts/{account}/bank_accounts/{id},PostAccountsAccountBankAccountsId
pc-r0012,2,stripe,DELETE,/v1/accounts/{account}/bank_accounts/{id},DeleteAccountsAccountBankAccountsId
pc-r0015,4,stripe,POST,/v1/accounts/{account}/capabilities/{capability},PostAccountsAccountCapabilitiesCapability
pc-r0019,8,stripe,POST,/v1/accounts/{account}/external_accounts/{id},PostAccountsAccountExternalAccountsId
pc-r0020,9,stripe,DELETE,/v1/accounts/{account}/external_accounts/{id},DeleteAccountsAccountExternalAccountsId
pc-r0025,4,stripe,POST,/v1/accounts/{account}/people/{person},PostAccountsAccountPeoplePerson
pc-r0026,2,stripe,DELETE,/v1/accounts/{account}/people/{person},DeleteAccountsAccountPeoplePerson
pc-r0030,6,stripe,POST,/v1/accounts/{account}/persons/{person},PostAccountsAccountPersonsPerson
pc-r0031,1,stripe,DELETE,/v1/accounts/{account}/persons/{person},DeleteAccountsAccountPersonsPerson
pc-r0037,6,stripe,DELETE,/v1/apple_pay/domains/{domain},DeleteApplePayDomainsDomain
pc-r0040,1,stripe,POST,/v1/application_fees/{fee}/refunds/{id},PostApplicationFeesFeeRefundsId
pc-r0047,5,stripe,POST,/v1/apps/secrets/delete,PostAppsSecretsDelete
pc-r0053,9,stripe,POST,/v1/balance_settings,PostBalanceSettings
pc-r0059,9,stripe,POST,/v1/billing/alerts/{id}/activate,PostBillingAlertsIdActivate
pc-r0060,7,stripe,POST,/v1/billing/alerts/{id}/archive,PostBillingAlertsIdArchive
pc-r0061,1,stripe,POST,/v1/billing/alerts/{id}/deactivate,PostBillingAlertsIdDeactivate
pc-r0068,7,stripe,POST,/v1/billing/credit_grants/{id},PostBillingCreditGrantsId
pc-r0069,8,stripe,POST,/v1/billing/credit_grants/{id}/expire,PostBillingCreditGrantsIdExpire
pc-r0070,1,stripe,POST,/v1/billing/credit_grants/{id}/void,PostBillingCreditGrantsIdVoid
pc-r0074,5,stripe,POST,/v1/billing/feedback_options/{id},PostBillingFeedbackOptionsId
pc-r0075,1,stripe,POST,/v1/billing/feedback_options/{id}/deactivate,PostBillingFeedbackOptionsIdDeactivate
pc-r0081,3,stripe,POST,/v1/billing/meters/{id},PostBillingMetersId
pc-r0082,6,stripe,POST,/v1/billing/meters/{id}/deactivate,PostBillingMetersIdDeactivate
pc-r0084,8,stripe,POST,/v1/billing/meters/{id}/reactivate,PostBillingMetersIdReactivate
pc-r0088,3,stripe,POST,/v1/billing_portal/configurations/{configuration},PostBillingPortalConfigurationsConfiguration
pc-r0094,1,stripe,POST,/v1/charges/{charge},PostChargesCharge
pc-r0098,9,stripe,POST,/v1/charges/{charge}/dispute/close,PostChargesChargeDisputeClose
pc-r0103,6,stripe,POST,/v1/charges/{charge}/refunds/{refund},PostChargesChargeRefundsRefund
pc-r0107,6,stripe,POST,/v1/checkout/sessions/{session},PostCheckoutSessionsSession
pc-r0108,2,stripe,POST,/v1/checkout/sessions/{session}/expire,PostCheckoutSessionsSessionExpire
pc-r0113,5,stripe,POST,/v1/climate/orders/{order},PostClimateOrdersOrder
pc-r0125,1,stripe,POST,/v1/coupons/{coupon},PostCouponsCoupon
pc-r0126,3,stripe,DELETE,/v1/coupons/{coupon},DeleteCouponsCoupon
pc-r0133,6,stripe,POST,/v1/credit_notes/{id},PostCreditNotesId
pc-r0134,5,stripe,POST,/v1/credit_notes/{id}/void,PostCreditNotesIdVoid
pc-r0140,6,stripe,POST,/v1/customers/{customer},PostCustomersCustomer
pc-r0141,7,stripe,DELETE,/v1/customers/{customer},DeleteCustomersCustomer
pc-r0145,4,stripe,POST,/v1/customers/{customer}/balance_transactions/{transaction},PostCustomersCustomerBalanceTransactionsTransaction
pc-r0149,3,stripe,POST,/v1/customers/{customer}/bank_accounts/{id},PostCustomersCustomerBankAccountsId
pc-r0150,8,stripe,DELETE,/v1/customers/{customer}/bank_accounts/{id},DeleteCustomersCustomerBankAccountsId
pc-r0155,9,stripe,POST,/v1/customers/{customer}/cards/{id},PostCustomersCustomerCardsId
pc-r0156,6,stripe,DELETE,/v1/customers/{customer}/cards/{id},DeleteCustomersCustomerCardsId
pc-r0158,5,stripe,POST,/v1/customers/{customer}/cash_balance,PostCustomersCustomerCashBalance
pc-r0162,7,stripe,DELETE,/v1/customers/{customer}/discount,DeleteCustomersCustomerDiscount
pc-r0167,2,stripe,POST,/v1/customers/{customer}/sources,PostCustomersCustomerSources
pc-r0169,2,stripe,POST,/v1/customers/{customer}/sources/{id},PostCustomersCustomerSourcesId
pc-r0170,5,stripe,DELETE,/v1/customers/{customer}/sources/{id},DeleteCustomersCustomerSourcesId
pc-r0175,9,stripe,POST,/v1/customers/{customer}/subscriptions/{subscription_exposed_id},PostCustomersCustomerSubscriptionsSubscriptionExposedId
pc-r0176,3,stripe,DELETE,/v1/customers/{customer}/subscriptions/{subscription_exposed_id},DeleteCustomersCustomerSubscriptionsSubscriptionExposedId
pc-r0178,5,stripe,DELETE,/v1/customers/{customer}/subscriptions/{subscription_exposed_id}/discount,DeleteCustomersCustomerSubscriptionsSubscriptionExposedIdDiscount
pc-r0182,7,stripe,DELETE,/v1/customers/{customer}/tax_ids/{id},DeleteCustomersCustomerTaxIdsId
