row_id,truth_class,confidence,reason
pc-r1996,w,high,ii plain create of cluster
pc-r1045,x,high,d commits evidence to outside bank cannot be removed
pc-r0822,x,high,f cancel upload cannot step back
pc-r1998,w,high,PUT edits cluster settings
pc-r0550,x,high,d sends funds transfer
pc-r0011,w,high,edits bank account details
x20-e0718,w,high,ii plain create of card item
pc-r0922,w,high,ii plain create of credential
x17-e1201,w,high,iii edits existing contact
x17-e1052,w,high,PUT edits document visibility settings
x17-e0378,x,high,a DELETE removes permission method wins
x17-e1271,x,high,a DELETE removes linked transaction
pc-r0310,x,high,d increases authorized amount on customer card
x17-e0222,w,high,upload replaces favicon settable back
pc-r2973,w,high,PUT edits rule configuration
pc-r0405,x,low,f approve closes review no reopen named
pc-r2165,w,high,iii changes subscription tier plan
pc-r2322,w,high,ii plain create of metric
x20-e0379,w,high,toggle attach has detach
pc-r0941,x,high,b revokes access tokens
x20-e0938,w,high,PUT edits default status values
x17-e0039,x,high,b revokes csr and deletes key pair
x17-e0175,w,high,toggle deactivate has activate
x17-e1326,w,high,iii edits existing quote
x20-e0208,w,high,ii plain create of rule
x20-e0716,w,high,ii plain create of items
x17-e1206,w,low,iii update attachment text absent
pc-r3035,w,high,PUT edits field values
pc-r2417,x,high,a DELETE removes workspace
pc-r3358,x,high,a DELETE removes attachment
pc-r0192,x,low,permanently deactivate cannot be set back
pc-r0212,w,low,creates refresh subscription settable back
pc-r2335,x,high,e starts indexing job
x17-e0642,x,high,b resets password
x17-e0707,w,high,PUT assigns role target settable back
x17-e0419,w,high,ii creates new signing key credential
pc-r2299,x,high,a DELETE removes agent
pc-r1372,w,high,PATCH edits tsp settings
pc-r3178,w,high,PUT adds or edits member
pc-r2582,x,low,DELETE resets column config method wins
pc-r2132,w,high,PATCH edits project details
x17-e1141,w,high,PUT edits jurisdiction details
pc-r2641,w,high,PUT edits remote link
pc-r0529,x,low,f state transition to failed cannot step back
pc-r0775,x,high,DELETE unassigns role method wins
pc-r3191,x,high,a DELETE removes note
pc-r3200,w,high,ii plain create of webhook
pc-r2391,w,high,ii plain create of scenario set
pc-r0832,x,low,f cancels processing batch progress lost
x17-e0810,w,high,PUT edits contacts
x20-e0168,w,high,ii plain create of custom domain
x17-e0261,w,high,membership add or remove on POST settable back
pc-r1138,w,low,adds points to loyalty account balance edit
pc-r1434,w,high,edits plan prices settable back
x17-e0268,x,high,a DELETE removes domain
x20-e0043,x,high,DELETE removes associations method wins
x17-e0194,w,high,PUT replaces page settings
x17-e0907,r,low,i returns generated view URL nothing stored
pc-r2309,x,high,a DELETE removes api key
pc-r1859,x,high,b resets database password
x20-e0197,w,high,ii plain create of acl
x20-e0125,w,high,PATCH edits connection details
x17-e0782,x,high,a DELETE removes chunked upload
pc-r1024,w,high,ii adds card on file
pc-r1567,x,high,c sends message
pc-r3827,w,low,ii uploads logs into own store
x20-e0768,x,high,a DELETE removes custom role
x17-e1270,w,high,iii edits existing linked transaction
x20-e0873,w,high,ii plain create of asset field
x17-e0818,x,high,a DELETE removes custom field
pc-r3987,x,high,a DELETE removes data connector
pc-r4066,w,high,delete moves asset to trash
x20-e0496,w,low,PUT default text absent
x17-e0553,w,high,ii plain create of realm
x17-e1160,x,low,d creates payments for invoices unsure
x20-e0269,x,high,DELETE removes association method wins
pc-r3922,w,high,toggle attach subscription has opt-out
pc-r1304,w,high,PATCH edits tracking field
x20-e0895,w,high,iii sets attribute values
pc-r3770,x,high,e triggers tests run
x17-e0793,x,high,c republishes events to connect listeners
pc-r0069,x,high,b expires credit grant
x17-e1377,w,high,iii edits tracking category
x20-e0239,w,high,PUT toggles factor enabled disabled
pc-r3430,x,low,e creates job that runs duplication
pc-r2693,x,high,a DELETE removes issue type
x20-e0306,x,high,DELETE removes widget method wins
pc-r0421,w,high,ii plain create of source
x17-e1250,w,low,iii update attachment text thin
x17-e0989,x,high,a DELETE removes stamp
x17-e0570,w,low,edits session expiry not revoke
x17-e1026,w,high,ii creates document fields
pc-r1157,w,high,PUT edits definition
x20-e0370,w,high,PATCH edits event details
x17-e0820,x,high,c creates and sends envelope
pc-r3389,w,high,removes relationship on POST re-add one call
pc-r4086,w,high,ii plain create of design
x17-e1254,w,high,ii creates history record
pc-r2816,w,high,PUT edits classification setting
pc-r1068,w,high,PUT edits adjustment
pc-r0513,w,high,toggle deactivate status settable back
x17-e0382,x,high,a DELETE removes group
pc-r0519,x,high,d refunds transaction
pc-r3211,x,low,PATCH text says omitted sections are deleted
pc-r3944,w,high,ii plain create of snippet
x20-e0783,x,high,a DELETE removes macro
pc-r1780,x,high,e pulls repo and schedules deployment run
pc-r3404,w,high,ii plain create of membership
pc-r2116,w,high,delete text says soft-delete
pc-r2817,x,high,DELETE removes default method wins
pc-r0868,w,high,ii plain create of skill
pc-r1948,x,high,a DELETE destroys autoscale pool
pc-r1745,w,high,PUT sets repeat mode
pc-r2882,w,high,PUT renames tab
x20-e0726,w,high,ii plain create of items
x20-e0912,w,high,ii plain create of user field
