repo,path,method,operationId,summary,tool_class,gt_class,confidence,destructive,d_rule,d_evidence
box,/ai/ask,POST,post_ai_ask,Ask question,x,r,high,false,D3-not-destructive,method=POST verb=ask
box,/ai/text_gen,POST,post_ai_text_gen,Generate text,x,r,high,false,D3-not-destructive,method=POST verb=generate
box,/ai_agents,POST,post_ai_agents,Create AI agent,x,x,high,false,D3-not-destructive,method=POST verb=create
box,/ai_agents/{agent_id},PUT,put_ai_agents_id,Update AI agent,x,w,low,false,D3-not-destructive,method=PUT verb=update
box,/collaboration_whitelist_entries,POST,post_collaboration_whitelist_entries,Add domain to list of allowed collaboration domains,x,x,high,false,D3-not-destructive,method=POST verb=add
box,/collaboration_whitelist_exempt_targets,GET,get_collaboration_whitelist_exempt_targets,List users exempt from collaboration domain restrictions,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/collaboration_whitelist_exempt_targets/{collaboration_whitelist_exempt_target_id},GET,get_collaboration_whitelist_exempt_targets_id,Get user exempt from collaboration domain restrictions,r,r,high,false,D3-not-destructive,method=GET verb=get
box,/collaborations/{collaboration_id},DELETE,delete_collaborations_id,Remove collaboration,x,x,low,true,D1-method-delete,method=DELETE
box,/collections,GET,get_collections,List all collections,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/comments,POST,post_comments,Create comment,x,x,high,false,D3-not-destructive,method=POST verb=create
box,/comments/{comment_id},PUT,put_comments_id,Update comment,x,w,low,false,D3-not-destructive,method=PUT verb=update
box,/enterprises/{enterprise_id}/device_pinners,GET,get_enterprises_id_device_pinners,List enterprise device pins,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/file_requests/{file_request_id},GET,get_file_requests_id,Get file request,r,r,high,false,D3-not-destructive,method=GET verb=get
box,/file_version_legal_holds,GET,get_file_version_legal_holds,List file version legal holds,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/file_version_retentions/{file_version_retention_id},GET,get_file_version_retentions_id,Get retention on file,r,r,high,false,D3-not-destructive,method=GET verb=get
box,/files/upload_sessions/{upload_session_id},DELETE,delete_files_upload_sessions_id,Remove upload session,x,w,high,true,D1-method-delete,method=DELETE
box,/files/upload_sessions/{upload_session_id}/commit,POST,post_files_upload_sessions_id_commit,Commit upload session,x,x,high,false,D3-not-destructive,method=POST verb=commit
box,/files/{file_id},DELETE,delete_files_id,Delete file,w,w,high,true,D1-method-delete,method=DELETE
box,/files/{file_id},PUT,put_files_id,Update file,w,w,high,false,D3-not-destructive,method=PUT verb=update
box,/files/{file_id}#remove_shared_link,PUT,put_files_id#remove_shared_link,Remove shared link from file,w,w,method-only,true,D2-verb-destructive,verb=remove
box,/files/{file_id}/collaborations,GET,get_files_id_collaborations,List file collaborations,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/files/{file_id}/content,POST,post_files_id_content,Upload file version,x,x,high,false,D3-not-destructive,method=POST verb=upload
box,/files/{file_id}/metadata/enterprise/securityClassification-6VMVochwUWo,DELETE,delete_files_id_metadata_enterprise_securityClassification-6VMVochwUWo,Remove classification from file,x,w,low,true,D1-method-delete,method=DELETE
box,/files/{file_id}/metadata/enterprise/securityClassification-6VMVochwUWo,PUT,put_files_id_metadata_enterprise_securityClassification-6VMVochwUWo,Update classification on file,w,w,high,false,D3-not-destructive,method=PUT verb=update
box,/files/{file_id}/metadata/global/boxSkillsCards,POST,post_files_id_metadata_global_boxSkillsCards,Create Box Skill cards on file,x,w,high,false,D3-not-destructive,method=POST verb=create
box,/files/{file_id}/metadata/{scope}/{template_key},GET,get_files_id_metadata_id_id,Get metadata instance on file,r,r,high,false,D3-not-destructive,method=GET verb=get
box,/files/{file_id}/tasks,GET,get_files_id_tasks,List tasks on file,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/files/{file_id}/trash,GET,get_files_id_trash,Get trashed file,r,r,high,false,D3-not-destructive,method=GET verb=get
box,/files/{file_id}/versions/current,POST,post_files_id_versions_current,Promote file version,x,x,method-only,false,D3-not-destructive,method=POST verb=promote
box,/files/{file_id}/versions/{file_version_id},PUT,put_files_id_versions_id,Restore file version,w,w,method-only,false,D3-not-destructive,method=PUT verb=restore
box,/files/{file_id}/watermark,PUT,put_files_id_watermark,Apply watermark to file,w,w,method-only,false,D3-not-destructive,method=PUT verb=apply
box,/folder_locks/{folder_lock_id},DELETE,delete_folder_locks_id,Delete folder lock,w,w,high,true,D1-method-delete,method=DELETE
box,/folders/{folder_id},DELETE,delete_folders_id,Delete folder,w,w,high,true,D1-method-delete,method=DELETE
box,/folders/{folder_id},PUT,put_folders_id,Update folder,w,w,high,false,D3-not-destructive,method=PUT verb=update
box,/folders/{folder_id}#remove_shared_link,PUT,put_folders_id#remove_shared_link,Remove shared link from folder,w,w,method-only,true,D2-verb-destructive,verb=remove
box,/folders/{folder_id}/collaborations,GET,get_folders_id_collaborations,List folder collaborations,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/folders/{folder_id}/metadata,GET,get_folders_id_metadata,List metadata instances on folder,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/folders/{folder_id}/metadata/enterprise/securityClassification-6VMVochwUWo,POST,post_folders_id_metadata_enterprise_securityClassification-6VMVochwUWo,Add classification to folder,x,w,high,false,D3-not-destructive,method=POST verb=add
box,/folders/{folder_id}/metadata/{scope}/{template_key},GET,get_folders_id_metadata_id_id,Get metadata instance on folder,r,r,high,false,D3-not-destructive,method=GET verb=get
box,/folders/{folder_id}/trash,DELETE,delete_folders_id_trash,Permanently remove folder,w,w,method-only,true,D1-method-delete,method=DELETE
box,/folders/{folder_id}/watermark,GET,get_folders_id_watermark,Get watermark for folder,r,r,high,false,D3-not-destructive,method=GET verb=get
box,/group_memberships/{group_membership_id},DELETE,delete_group_memberships_id,Remove user from group,x,x,high,true,D1-method-delete,method=DELETE
box,/groups,GET,get_groups,List groups for enterprise,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/groups/{group_id},DELETE,delete_groups_id,Remove group,x,x,low,true,D1-method-delete,method=DELETE
box,/groups/{group_id}/collaborations,GET,get_groups_id_collaborations,List group collaborations,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/integration_mappings/slack,POST,post_integration_mappings_slack,Create Slack integration mapping,x,x,high,false,D3-not-destructive,method=POST verb=create
box,/integration_mappings/teams,GET,get_integration_mappings_teams,List Teams integration mappings,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/integration_mappings/teams/{integration_mapping_id},PUT,put_integration_mappings_teams_id,Update Teams integration mapping,w,w,high,false,D3-not-destructive,method=PUT verb=update
box,/legal_hold_policies,GET,get_legal_hold_policies,List all legal hold policies,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/legal_hold_policies/{legal_hold_policy_id},GET,get_legal_hold_policies_id,Get legal hold policy,r,r,high,false,D3-not-destructive,method=GET verb=get
box,/legal_hold_policy_assignments,POST,post_legal_hold_policy_assignments,Assign legal hold policy,x,x,method-only,false,D3-not-destructive,method=POST verb=assign
box,/legal_hold_policy_assignments/{legal_hold_policy_assignment_id}/file_versions_on_hold,GET,get_legal_hold_policy_assignments_id_file_versions_on_hold,List previous file versions for legal hold policy assignment,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/metadata_cascade_policies,POST,post_metadata_cascade_policies,Create metadata cascade policy,x,x,high,false,D3-not-destructive,method=POST verb=create
box,/metadata_cascade_policies/{metadata_cascade_policy_id}/apply,POST,post_metadata_cascade_policies_id_apply,Force-apply metadata cascade policy to folder,x,w,method-only,false,D3-not-destructive,method=POST verb=force
box,/metadata_taxonomies/{namespace},GET,get_metadata_taxonomies_id,Get metadata taxonomies for namespace,r,r,high,false,D3-not-destructive,method=GET verb=get
box,/metadata_taxonomies/{namespace}/{taxonomy_key},PATCH,patch_metadata_taxonomies_id_id,Update metadata taxonomy,x,w,high,false,D3-not-destructive,method=PATCH verb=update
box,/metadata_taxonomies/{namespace}/{taxonomy_key}/levels:append,POST,post_metadata_taxonomies_id_id_levels:append,Add metadata taxonomy level,x,x,high,false,D3-not-destructive,method=POST verb=add
box,/metadata_taxonomies/{namespace}/{taxonomy_key}/nodes,POST,post_metadata_taxonomies_id_id_nodes,Create metadata taxonomy node,x,x,high,false,D3-not-destructive,method=POST verb=create
box,/metadata_taxonomies/{namespace}/{taxonomy_key}/nodes/{node_id},PATCH,patch_metadata_taxonomies_id_id_nodes_id,Update metadata taxonomy node,x,w,high,false,D3-not-destructive,method=PATCH verb=update
box,/metadata_templates/enterprise/securityClassification-6VMVochwUWo/schema,GET,get_metadata_templates_enterprise_securityClassification-6VMVochwUWo_schema,List all classifications,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/metadata_templates/global,GET,get_metadata_templates_global,List all global metadata templates,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/metadata_templates/{namespace}/{template_key}/fields/{field_key}/options,GET,get_metadata_templates_id_id_fields_id_options,List metadata template's options for taxonomy field,r,r,high,false,D3-not-destructive,method=GET verb=list
box,/metadata_templates/{scope}/{template_key}/schema,PUT,put_metadata_templates_id_id_schema,Update metadata template,w,w,high,false,D3-not-destructive,method=PUT verb=update
