repo,path,method,operationId,tool_class,gt_class,confidence,rule_id,evidence,summary
adyen,/originKeys,POST,post-originKeys,x,r,high,U:L2-danger-verb|V2-verb-consequential,A=verbs=pay B=verb=create,Create originKey values for domains
adyen,/paymentLinks/{linkId},PATCH,patch-paymentLinks-linkId,x,w,high,U:L2-danger-verb|V5-verb-write,"A=verbs=expir,pay B=verb=update",Update the status of a payment link
adyen,/storedPaymentMethods/{storedPaymentMethodId},DELETE,delete-storedPaymentMethods-storedPaymentMethodId,x,w,high,U:L2-danger-verb|V3-party-object,A=verbs=pay B=verb=delete head=token party=token,Delete a token for stored payment details
box,/ai/ask,POST,post_ai_ask,x,r,high,U:L2-danger-verb|V6-floor,A=verbs=send B=verb=ask head=question,Ask question
box,/ai/text_gen,POST,post_ai_text_gen,x,r,high,U:L2-danger-verb|V6-floor,A=verbs=send B=verb=generate head=text,Generate text
box,/files/upload_sessions/{upload_session_id},DELETE,delete_files_upload_sessions_id,x,w,high,U:L3-live-noun|V3-party-object,A=nouns=session verb=remove B=verb=remove head=session party=session,Remove upload session
box,/files/{file_id}/metadata/global/boxSkillsCards,POST,post_files_id_metadata_global_boxSkillsCards,x,w,high,U:L5-floor|V2-verb-consequential,A=verb=create B=verb=create,Create Box Skill cards on file
box,/folders/{folder_id}/metadata/enterprise/securityClassification-6VMVochwUWo,POST,post_folders_id_metadata_enterprise_securityClassification-6VMVochwUWo,x,w,high,U:L3-live-noun|V2-verb-consequential,A=nouns=call verb=add B=verb=add,Add classification to folder
box,/metadata_taxonomies/{namespace}/{taxonomy_key},PATCH,patch_metadata_taxonomies_id_id,x,w,high,U:L5-floor|V5-verb-write,A=verb=update B=verb=update,Update metadata taxonomy
box,/metadata_taxonomies/{namespace}/{taxonomy_key}/nodes/{node_id},PATCH,patch_metadata_taxonomies_id_id_nodes_id,x,w,high,U:L5-floor|V5-verb-write,A=verb=update B=verb=update,Update metadata taxonomy node
pagerduty,/event_orchestrations/{id}/integrations/migration,POST,migrateOrchestrationIntegration,x,w,high,U:L2-danger-verb|V6-floor,"A=verbs=pay,sent B=verb=migrate head=integration",Migrate an Integration from one Event Orchestration to another
pagerduty,/extensions/{id}/enable,POST,enableExtension,x,w,high,U:L5-floor|V5-verb-write,A=verb=enable B=verb=enable,Enable an extension
pagerduty,/incident_workflows/triggers/{id}/services,POST,associateServiceToIncidentWorkflowTrigger,x,w,high,U:L2-danger-verb|V6-floor,A=verbs=trigger B=verb=associate head=trigger,Associate a Trigger and Service
adyen,/paymentMethods,POST,post-paymentMethods,x,r,low,U:L2-danger-verb|V4-verb-read,A=verbs=pay B=verb=get,Get a list of available payment methods
adyen,/paymentMethods/balance,POST,post-paymentMethods-balance,x,r,low,U:L2-danger-verb|V4-verb-read,A=verbs=pay B=verb=get,Get the balance of a gift card
box,/ai_agents/{agent_id},PUT,put_ai_agents_id,x,w,low,U:L5-floor|V3-party-object,A=verb=update B=verb=update head=agent party=agent,Update AI agent
box,/comments/{comment_id},PUT,put_comments_id,x,w,low,U:L3-live-noun|V5-verb-write>P2-weak,A=nouns=message verb=update B=verb=update P2=own=comment,Update comment
box,/files/{file_id},DELETE,delete_files_id,x,w,low,U:L2-danger-verb|V5-verb-write,A=verbs=permanent B=verb=delete,Delete file
box,/files/{file_id}/metadata/enterprise/securityClassification-6VMVochwUWo,DELETE,delete_files_id_metadata_enterprise_securityClassification-6VMVochwUWo,x,w,low,U:L3-live-noun|V6-floor,A=nouns=call verb=remove B=verb=remove head=classification,Remove classification from file
box,/folders/{folder_id},DELETE,delete_folders_id,x,w,low,U:L2-danger-verb|V5-verb-write,A=verbs=permanent B=verb=delete,Delete folder
