set,repo,method,operationId,summary,tool_class,gt_class,confidence,destructive,d_rule
camara,ApplicationEndpointDiscovery,POST,getOptimalAppEndpoints,Returns the Endpoint(s) of the optimal Application Instance(s) to the user device identified in the request.,x,r,low,false,D3-not-destructive
camara,ApplicationProfiles,PATCH,updateApplicationProfile,Update an Application Profile,x,w,high,false,D3-not-destructive
camara,CallForwardingSignal,POST,retrieveCallForwarding,Retrieve the information about the type of call forwarding service active on a phone number (PhoneNumber),x,r,low,false,D3-not-destructive
camara,CarrierBillingCheckOut,POST,cancelPayment,Cancel a payment,x,w,high,true,D2-verb-destructive
camara,ConnectedNetworkType,DELETE,deleteConnectedNetworkTypeSubscription,Delete connected network type event subscription for a device,x,w,high,true,D1-method-delete
camara,ConsentInfo,POST,retrieveStatus,Create a request to retrieve the validity status of the data processing,x,r,high,false,D3-not-destructive
camara,DeviceAuthenticity,POST,checkImeiStatus,Check the register status of a device using its IMEI,x,r,low,false,D3-not-destructive
camara,DeviceIdentifier,POST,retrieveType,Get details about the type of device being used by a given mobile subscriber,x,r,low,false,D3-not-destructive
camara,DeviceIdentifier,POST,retrievePpid,Get a pseudonymous identifier for device being used by a given mobile subscriber,x,r,low,false,D3-not-destructive
camara,DeviceRoamingStatus,DELETE,deleteDeviceRoamingStatusSubscription,Delete a device-roaming-status event subscription for a device,x,w,low,true,D1-method-delete
camara,EdgeApplicationManagement,DELETE,deleteApp,Delete an Application from an Edge Cloud Provider,x,w,low,true,D1-method-delete
camara,EdgeApplicationManagement,DELETE,deleteAppInstance,Terminate an Application Instance,x,w,high,true,D1-method-delete
camara,EdgeApplicationManagement,DELETE,deleteAppDeployment,Terminate an Application Deployment,x,w,high,true,D1-method-delete
camara,EdgeApplicationManagement,PATCH,updateAppDeployment,Update an Application Deployment,x,w,high,false,D3-not-destructive
camara,IoTSIMFraudPrevention,DELETE,deleteSubscription,Delete subscription,x,w,low,true,D1-method-delete
camara,IoTSIMFraudPrevention,POST,query,IoT SIM Fraud Prevention Query,x,r,method-only,false,D3-not-destructive
camara,KnowYourCustomerAgeVerification,POST,verifyAge,Verify Age Threshold,x,r,method-only,false,D3-not-destructive
camara,KnowYourCustomerMatch,POST,kycMatch,Matching a customer identity by checking a set of attributes related against the account data bound to their phone number.,x,r,method-only,false,D3-not-destructive
camara,MostFrequentLocation,POST,verifyFrequentLocation,Verify the most frequent location of a device,x,r,high,false,D3-not-destructive
camara,NetworkAccessManagement,DELETE,deleteRebootRequest,Delete an existing Reboot Request,x,w,low,true,D1-method-delete
camara,NetworkAccessManagement,POST,createTrustDomain,Create a new Trust Domain,x,w,high,false,D3-not-destructive
camara,NetworkAccessManagement,PATCH,updateTrustDomain,Update a specific Trust Domain,x,w,high,false,D3-not-destructive
camara,NetworkAccessManagement,DELETE,deleteTrustDomain,Delete a specific Trust Domain,x,w,low,true,D1-method-delete
camara,NetworkAccessManagement,PATCH,updateTrustDomainDevice,Update a device in a Trust Domain,x,w,high,false,D3-not-destructive
camara,NetworkAccessManagement,DELETE,deleteTrustDomainDevice,Remove a device from a Trust Domain,x,w,low,true,D1-method-delete
camara,NetworkSliceBooking,POST,retrieveSlicesByDevice,Retrieve all network slices by device,x,r,low,false,D3-not-destructive
camara,NetworkSliceBooking,DELETE,deleteSlice,Delete a network slice,x,w,high,true,D1-method-delete
camara,NumberVerification,POST,phoneNumberVerify,Verifies if the received hashed/plain text phone number matches the phone number associated with the access token,x,r,high,false,D3-not-destructive
camara,OptimalEdgeDiscovery,POST,discoverOptimalEdge,Discover optimal edge cloud zones for deployed applications,x,r,method-only,false,D3-not-destructive
camara,PredictiveConnectivityData,POST,retrieveConnectivity,Obtain connectivity information in the specified area,x,r,high,false,D3-not-destructive
camara,QualityOnDemand,POST,retrieveQosProfiles,Retrieve QoS profiles,x,r,low,false,D3-not-destructive
camara,QualityOnDemand,DELETE,revokeQosAssignment,Revokes a QoS profile assignment identified by an assignment record ID,x,w,high,true,D1-method-delete
camara,QualityOnDemand,POST,getQosAssignmentByDevice,Returns the assignment record details of the QoS profile assignment for a device,x,r,high,false,D3-not-destructive
camara,QualityOnDemand,DELETE,deleteSession,Delete a QoS session,x,w,high,true,D1-method-delete
camara,QualityOnDemand,POST,retrieveSessionsByDevice,Get QoS session information for a device,x,r,high,false,D3-not-destructive
camara,SessionInsights,DELETE,deleteSession,Delete session,x,w,high,true,D1-method-delete
camara,SessionInsights,POST,retrieveSessionsByDevice,Retrieve Session Insights sessions by device,x,r,low,false,D3-not-destructive
camara,SimpleEdgeDiscovery,POST,readClosestEdgeCloudZone,Returns the name of the Edge Cloud Zone closest to user device identified in the request.,x,r,low,false,D3-not-destructive
camara,SubscriptionStatus,POST,retrieveSubscriptionStatus,Retrieve subscription status of a phone number,x,r,low,false,D3-not-destructive
camara,WebRTC,DELETE,deleteNotificationChannelSubscription,Delete a webrtc-events event subscription,x,w,low,true,D1-method-delete
camara,WebRTC,PUT,updateRegistrationById,Refresh network registration.,x,w,low,false,D3-not-destructive
camara,WebRTC,DELETE,deleteRegistrationById,Delete Registration Session.,x,w,high,true,D1-method-delete
camara,BlockchainPublicAddress,POST,retrieveBlockchainPublicAddress,Retrieves Blockchain Public Address associated with a mobile phone number.,x,r,low,false,D3-not-destructive
camara,BlockchainPublicAddress,DELETE,deleteBlockchainPublicAddress,Unbinds Blockchain Public Address association to a mobile phone number,x,w,low,true,D1-method-delete
camara,ConsentManagement,PATCH,updateConsent,Update User Consent,x,w,high,false,D3-not-destructive
camara,DeviceDataVolume,DELETE,deleteDeviceDataVolumeSubscription,Delete a device data volume event subscription,x,w,low,true,D1-method-delete
camara,DeviceDataVolume,POST,retrieveDataVolume,Execute device data volume retrieval for a user device,x,r,high,false,D3-not-destructive
camara,DeviceLocation,POST,retrieveLocation,Execute location retrieval for a user device,x,r,high,false,D3-not-destructive
camara,DeviceLocation,POST,verifyLocation,Verify the location of a device,x,r,high,false,D3-not-destructive
camara,DeviceReachabilityStatus,DELETE,deleteDeviceReachabilityStatusSubscription,Delete a device reachability status event subscription for a device,x,w,low,true,D1-method-delete
camara,DeviceStatus,DELETE,deleteConnectedNetworkTypeSubscription,Delete connected network type event subscription for a device,x,w,high,true,D1-method-delete
camara,DeviceStatus,DELETE,deleteDeviceReachabilityStatusSubscription,Delete a device reachability status event subscription for a device,x,w,low,true,D1-method-delete
camara,DeviceStatus,DELETE,deleteDeviceRoamingStatusSubscription,Delete a device-roaming-status event subscription for a device,x,w,low,true,D1-method-delete
camara,KnowYourCustomer,POST,verifyAge,Verify Age Threshold,x,r,method-only,false,D3-not-destructive
camara,KnowYourCustomer,POST,KYC_Fill-in,Providing information related to a customer identity stored the account data bound to the customer's phone number.,x,r,high,false,D3-not-destructive
camara,KnowYourCustomer,POST,KYC_Match,Matching a customer identity by checking a set of attributes related against the account data bound to their phone number.,x,r,method-only,false,D3-not-destructive
camara,KnowYourCustomerFill-in,POST,kycFillin,Providing information related to a customer identity stored the account data bound to the customer's phone number.,x,r,high,false,D3-not-destructive
camara,ModelAsAService,PUT,updateAssistant,Update a QA assistant,x,w,low,false,D3-not-destructive
camara,ModelAsAService,DELETE,deleteAssistant,Delete a QA assistant,x,w,high,true,D1-method-delete
camara,MultiPointVPN,PATCH,updateNetwork,To update a multipoint virtual private network,x,w,high,false,D3-not-destructive
camara,MultiPointVPN,DELETE,deleteNetwork,Delete multipoint virtual private network,x,w,high,true,D1-method-delete
camara,MultiPointVPN,POST,assessConnectionFeasibility,Assess Multipoint VPN connection feasibility,x,r,method-only,false,D3-not-destructive
camara,NumberRecycling,POST,checkNumberRecycling,Check whether the subscriber of the phone number has changed.,x,r,low,false,D3-not-destructive
camara,OTPValidation,POST,validateCode,Verifies the OTP received as input,x,w,method-only,false,D3-not-destructive
camara,PopulationDensityData,POST,retrievePopulationDensity,Retrieves population density information in a specified area,x,r,high,false,D3-not-destructive
camara,QoSBooking,DELETE,deleteBooking,This operation cancels an existing QoS Booking and release the associated resources.,x,w,low,true,D1-method-delete
camara,QoSBooking,POST,retrieveBookingByDevice,Retrieves all the bookings that corresponds to a device,x,r,high,false,D3-not-destructive
camara,QoSBooking,DELETE,deleteBooking,Deletes a QoS Booking,x,w,low,true,D1-method-delete
camara,QoSBooking,POST,retrieveBookingByDevice,Gets the QoS Booking for a device,x,r,high,false,D3-not-destructive
camara,RegionDeviceCount,POST,count,API operation to get the device count in the specified area during a certain time interval.,x,r,high,false,D3-not-destructive
camara,SimSwap,POST,retrieveSimSwapAgeBand,Retrieve SIM swap age band,x,r,low,false,D3-not-destructive
camara,SponsoredData,POST,manageCampaign,Campaign Management,x,w,high,false,D3-not-destructive
camara,Tenure,POST,checkTenure,The KYC Tenure service API,x,r,high,false,D3-not-destructive
camara,VerifiedCaller,PUT,updateRegistration,Update an existing brand registration in the service platform,x,w,high,false,D3-not-destructive
holdout1,twilio,POST,UpdateAccount,Modify the properties of a given Account,x,w,high,false,D3-not-destructive
holdout1,twilio,POST,UpdateAddress,,x,w,high,false,D3-not-destructive
holdout1,twilio,POST,UpdateApplication,Updates the application's properties,x,w,high,false,D3-not-destructive
holdout1,twilio,DELETE,DeleteApplication,Delete the application by the specified application sid,x,w,low,true,D1-method-delete
holdout1,twilio,DELETE,DeleteCall,"Delete a Call record from your account. Once the record is deleted, it will no longer appear in the API and Account Portal logs.",x,w,low,true,D1-method-delete
holdout1,twilio,DELETE,DeleteCallRecording,Delete a recording from your account,x,w,low,true,D1-method-delete
holdout1,twilio,DELETE,DeleteConferenceRecording,Delete a recording from your account,x,w,low,true,D1-method-delete
holdout1,twilio,POST,UpdateConnectApp,Update a connect-app with the specified parameters,x,w,high,false,D3-not-destructive
holdout1,twilio,POST,UpdateIncomingPhoneNumber,Update an incoming-phone-number instance.,x,w,high,false,D3-not-destructive
holdout1,twilio,DELETE,DeleteIncomingPhoneNumber,Delete a phone-numbers belonging to the account used to make the request.,x,w,low,true,D1-method-delete
holdout1,twilio,DELETE,DeleteIncomingPhoneNumberAssignedAddOn,Remove the assignment of an Add-on installation from the Number specified.,x,w,high,true,D1-method-delete
holdout1,twilio,POST,UpdateKey,,x,w,high,false,D3-not-destructive
holdout1,twilio,DELETE,DeleteMedia,Delete the Media resource.,x,w,low,true,D1-method-delete
holdout1,twilio,POST,UpdateMessage,Update a Message resource (used to redact Message `body` text and to cancel not-yet-sent messages),x,w,high,false,D3-not-destructive
holdout1,twilio,DELETE,DeleteMessage,Deletes a Message resource from your account,x,w,low,true,D1-method-delete
holdout1,twilio,POST,CreateMessageFeedback,Create Message Feedback to confirm a tracked user action was performed by the recipient of the associated Message,x,w,high,false,D3-not-destructive
holdout1,twilio,POST,UpdateOutgoingCallerId,Updates the caller-id,x,w,high,false,D3-not-destructive
holdout1,twilio,DELETE,DeleteOutgoingCallerId,Delete the caller-id specified from the account,x,w,high,true,D1-method-delete
holdout1,twilio,POST,UpdateQueue,Update the queue with the new parameters,x,w,high,false,D3-not-destructive
holdout1,twilio,DELETE,DeleteRecordingAddOnResult,Delete a result and purge all associated Payloads,x,w,low,true,D1-method-delete
holdout1,twilio,DELETE,DeleteRecordingAddOnResultPayload,Delete a payload from the result along with all associated Data,x,w,low,true,D1-method-delete
holdout1,twilio,POST,UpdateShortCode,Update a short code with the following parameters,x,w,high,false,D3-not-destructive
holdout1,twilio,POST,UpdateSigningKey,,x,w,high,false,D3-not-destructive
holdout1,twilio,DELETE,DeleteSipAuthCallsCredentialListMapping,Delete a credential list mapping from the requested domain,x,w,low,true,D1-method-delete
holdout1,twilio,DELETE,DeleteSipAuthCallsIpAccessControlListMapping,Delete an IP Access Control List mapping from the requested domain,x,w,low,true,D1-method-delete
holdout1,twilio,POST,UpdateSipCredential,Update a credential resource.,x,w,high,false,D3-not-destructive
holdout1,twilio,POST,UpdateSipCredentialList,Update a Credential List,x,w,high,false,D3-not-destructive
holdout1,twilio,DELETE,DeleteSipCredentialListMapping,Delete a CredentialListMapping resource from an account.,x,w,low,true,D1-method-delete
holdout1,twilio,POST,UpdateSipDomain,Update the attributes of a domain,x,w,high,false,D3-not-destructive
holdout1,twilio,POST,UpdateSipIpAccessControlList,Rename an IpAccessControlList,x,w,high,false,D3-not-destructive
holdout1,twilio,POST,UpdateSipIpAddress,Update an IpAddress resource.,x,w,high,false,D3-not-destructive
holdout1,twilio,POST,UpdateSiprec,Stop a Siprec using either the SID of the Siprec resource or the `name` used when creating the resource,x,w,high,false,D3-not-destructive
holdout1,twilio,DELETE,DeleteTranscription,Delete a transcription from the account used to make the request,x,w,low,true,D1-method-delete
holdout1,twilio,POST,UpdateUsageTrigger,Update an instance of a usage trigger,x,w,high,false,D3-not-destructive
holdout1,twilio,DELETE,DeleteUsageTrigger,,x,w,low,true,D1-method-delete
holdout1,twilio,DELETE,DeleteUserDefinedMessageSubscription,Delete a specific User Defined Message Subscription.,x,w,low,true,D1-method-delete
holdout1,stripe,DELETE,DeleteAccountsAccountBankAccountsId,Delete an external account,x,w,low,true,D1-method-delete
holdout1,stripe,DELETE,DeleteAccountsAccountExternalAccountsId,Delete an external account,x,w,low,true,D1-method-delete
holdout1,stripe,DELETE,DeleteAccountsAccountPeoplePerson,Delete a person,x,w,low,true,D1-method-delete
holdout1,stripe,DELETE,DeleteAccountsAccountPersonsPerson,Delete a person,x,w,low,true,D1-method-delete
holdout1,stripe,DELETE,DeleteApplePayDomainsDomain,,x,w,low,true,D1-method-delete
holdout1,stripe,DELETE,DeleteSubscriptionItemsItem,Delete a subscription item,x,w,low,true,D1-method-delete
holdout1,github,DELETE,code-security/delete-configuration-for-enterprise,Delete a code security configuration for an enterprise,x,w,low,true,D1-method-delete
holdout1,github,PUT,dependabot/set-repository-access-default-level-for-enterprise,Set the default repository access level for Dependabot in an enterprise,x,w,low,false,D3-not-destructive
