set,repo,path,method,operationId,gt_class,pred,confidence,status,evidence,pass,rule
camara,CarrierBillingCheckOut,/payments/{paymentId}/cancel,POST,cancelPayment,w,x,1,assigned,scope:write->raise:writeFamilyShare=1.000,1,
camara,DeviceIdentifier,/match-identifier,POST,matchIdentifier,r,x,0,assigned,floor,floor,floor
camara,EdgeApplicationManagement,/app-instances/{appInstanceId},DELETE,deleteAppInstance,w,x,1,assigned,judge:live-verb:summary:terminate,2,R1
camara,EdgeApplicationManagement,/deployments/{appDeploymentId},DELETE,deleteAppDeployment,w,x,1,assigned,judge:live-verb:summary:terminate,2,R1
camara,KnowYourCustomer,/fill-in,POST,KYC_Fill-in,r,x,0,assigned,floor,floor,floor
camara,KnowYourCustomer,/match,POST,KYC_Match,r,x,0,assigned,floor,floor,floor
camara,MultiPointVPN,/networks/{serviceId},PATCH,updateNetwork,w,x,1,assigned,judge:party:network,2,R2
camara,MultiPointVPN,/networks/{serviceId},DELETE,deleteNetwork,w,x,1,assigned,judge:party:network,2,R2
camara,NetworkAccessManagement,/reboot-requests/{rebootRequestId},DELETE,deleteRebootRequest,w,x,1,assigned,judge:live-verb:opidtoken:reboot,2,R1
camara,NetworkAccessManagement,/trust-domains,POST,createTrustDomain,w,x,0.8,assigned,scope:trust-domains-unknown;verbtable:create->raise:shareX=1.000,1,
camara,NetworkAccessManagement,/trust-domains/{trustDomainId}/devices/{deviceId},PATCH,updateTrustDomainDevice,w,x,1,assigned,judge:party:device,2,R2
camara,NetworkAccessManagement,/trust-domains/{trustDomainId}/devices/{deviceId},DELETE,deleteTrustDomainDevice,w,x,1,assigned,judge:party:device,2,R2
camara,OTPValidation,/validate-code,POST,validateCode,w,x,0,assigned,floor,floor,floor
camara,QualityOnDemand,/qos-assignments/{assignmentId},DELETE,revokeQosAssignment,w,x,1,assigned,judge:live-verb:opid:revoke,2,R1
camara,QualityOnDemand,/sessions/{sessionId},DELETE,deleteSession,w,x,1,assigned,judge:party:session,2,R2
camara,SessionInsights,/sessions/{sessionId},DELETE,deleteSession,w,x,1,assigned,judge:party:session,2,R2
camara,SponsoredData,/campaign/management,POST,manageCampaign,w,x,0,assigned,floor,floor,floor
camara,WebRTC,/subscriptions/{subscriptionId},PUT,updateNotificationChannelSubscription,w,x,1,assigned,scope:update-agrees;bodyprop:config->raise:n=13:share=1.000,1,
camara,WebRTC,/sessions/{registrationId},DELETE,deleteRegistrationById,w,x,1,assigned,judge:party:session,2,R2
camara,eSimRemoteManagement,/profile/downloaded-list,POST,profileList,r,x,0,assigned,floor,floor,floor
