set,repo,method,path,operationId,gt_class,pred,rule,evidence,summary
camara,ApplicationEndpointDiscovery,POST,/retrieve-optimal-app-endpoints,getOptimalAppEndpoints,r,r,read-verb,opid:get,Returns the Endpoint(s) of the optimal Application Instance(s) to the user device identified in the request.
camara,ApplicationEndpointRegistration,POST,/application-endpoint-lists,registerApplicationEndpoints,x,x,floor,,Register endpoints of a deployed application
camara,ApplicationEndpointRegistration,GET,/application-endpoint-lists,getAllRegisteredApplicationEndpoints,r,r,locked,,Get all registered edge application endpoint information
camara,ApplicationEndpointRegistration,GET,/application-endpoint-lists/{applicationEndpointListId},getApplicationEndpointsById,r,r,locked,,Get registered edge application endpoint information
camara,ApplicationEndpointRegistration,PUT,/application-endpoint-lists/{applicationEndpointListId},updateApplicationEndpoint,w,w,floor,,Update an application Endpoint
camara,ApplicationEndpointRegistration,DELETE,/application-endpoint-lists/{applicationEndpointListId},deregisterApplicationEndpoint,w,w,floor,,Deregister an application Endpoint
camara,ApplicationProfiles,POST,/application-profiles,createApplicationProfile,x,x,floor,,Create an Application Profile
camara,ApplicationProfiles,PATCH,/application-profiles/{applicationProfileId},updateApplicationProfile,w,x,floor,,Update an Application Profile
camara,ApplicationProfiles,GET,/application-profiles/{applicationProfileId},readApplicationProfile,r,r,locked,,Get an Application Profile
camara,ApplicationProfiles,DELETE,/application-profiles/{applicationProfileId},deleteApplicationProfile,w,w,floor,,Delete an Application Profile
camara,BlockchainPublicAddress,POST,/nonce,createBlockchainPublicAddressValidationNonce,x,x,floor,,Generates a one-time nonce associated to a specific Blockchain Public Address
camara,BlockchainPublicAddress,POST,/blockchain-public-addresses/retrieve-blockchains,retrieveBlockchainPublicAddress,r,r,read-verb,opid:retrieve,Retrieves Blockchain Public Address associated with a mobile phone number.
camara,BlockchainPublicAddress,POST,/blockchain-public-addresses,bindBlockchainPublicAddress,x,x,floor,,Binds Blockchain Public Address to a mobile phone number
camara,BlockchainPublicAddress,DELETE,/blockchain-public-addresses/{id},deleteBlockchainPublicAddress,w,w,floor,,Unbinds Blockchain Public Address association to a mobile phone number
camara,CallForwardingSignal,POST,/unconditional-call-forwardings,retrieveUnconditionalCallForwarding,r,r,read-verb,opid:retrieve,Retrieve the information about the status of the unconditional call forwarding service on a phone number (PhoneNumber)
camara,CallForwardingSignal,POST,/call-forwardings,retrieveCallForwarding,r,r,read-verb,opid:retrieve,Retrieve the information about the type of call forwarding service active on a phone number (PhoneNumber)
camara,CapabilitiesAndRuntimeRestrictions,POST,/retrieve,postServiceCapability,x,x,floor,,Retrieve tailored service capabilities based on consumer context
camara,CarrierBillingCheckOut,POST,/payments/{paymentId}/refunds,createRefund,x,x,live-verb,opid:refund,Create a new Refund
camara,CarrierBillingCheckOut,GET,/payments/{paymentId}/refunds,retrieveRefunds,r,r,locked,,Get a list of refunds
camara,CarrierBillingCheckOut,GET,/payments/{paymentId}/refunds/{refundId},retrieveRefund,r,r,locked,,Get refund details
camara,CarrierBillingCheckOut,GET,/payments/{paymentId}/refunds/remaining-amount,retrievePaymentRemainingAmount,r,r,locked,,Get remaining amount not refunded for a given payment
