set,repo,method,path,operationId,gt_class,pred_v1,rule_v1,evidence_v1,pred_V3a,pred_V3b,pred_V3c,pred_V4,pred_V5,pred_V6a,pred_V6b,pred_V7,pred_V8
camara,ApplicationEndpointDiscovery,POST,/retrieve-optimal-app-endpoints,getOptimalAppEndpoints,r,x,floor,,r,x,r,x,x,x,x,x,x
camara,ApplicationEndpointRegistration,POST,/application-endpoint-lists,registerApplicationEndpoints,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,ApplicationEndpointRegistration,GET,/application-endpoint-lists,getAllRegisteredApplicationEndpoints,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,ApplicationEndpointRegistration,GET,/application-endpoint-lists/{applicationEndpointListId},getApplicationEndpointsById,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,ApplicationEndpointRegistration,PUT,/application-endpoint-lists/{applicationEndpointListId},updateApplicationEndpoint,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,ApplicationEndpointRegistration,DELETE,/application-endpoint-lists/{applicationEndpointListId},deregisterApplicationEndpoint,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,ApplicationProfiles,POST,/application-profiles,createApplicationProfile,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,ApplicationProfiles,PATCH,/application-profiles/{applicationProfileId},updateApplicationProfile,w,x,floor,,x,x,x,x,x,x,x,w,x
camara,ApplicationProfiles,GET,/application-profiles/{applicationProfileId},readApplicationProfile,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,ApplicationProfiles,DELETE,/application-profiles/{applicationProfileId},deleteApplicationProfile,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,BlockchainPublicAddress,POST,/nonce,createBlockchainPublicAddressValidationNonce,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,BlockchainPublicAddress,POST,/blockchain-public-addresses/retrieve-blockchains,retrieveBlockchainPublicAddress,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,BlockchainPublicAddress,POST,/blockchain-public-addresses,bindBlockchainPublicAddress,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,BlockchainPublicAddress,DELETE,/blockchain-public-addresses/{id},deleteBlockchainPublicAddress,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,CallForwardingSignal,POST,/unconditional-call-forwardings,retrieveUnconditionalCallForwarding,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,CallForwardingSignal,POST,/call-forwardings,retrieveCallForwarding,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,CapabilitiesAndRuntimeRestrictions,POST,/retrieve,postServiceCapability,x,x,floor,,x,r,r,x,x,x,x,x,x
camara,CarrierBillingCheckOut,POST,/payments/{paymentId}/refunds,createRefund,x,x,live-verb,opid:refund,x,x,x,x,x,x,x,x,x
camara,CarrierBillingCheckOut,GET,/payments/{paymentId}/refunds,retrieveRefunds,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,CarrierBillingCheckOut,GET,/payments/{paymentId}/refunds/{refundId},retrieveRefund,r,r,floor,,r,r,r,r,r,r,r,r,r
