config,set,repo,method,operationId,truth,baseline_class,new_class,new_rule,new_evidence,direction
readGet,camara,CarrierBillingCheckOut,GET,retrieveRefunds,r,r,x,live-verb,opid:refunds,tightened
readGet,camara,CarrierBillingCheckOut,GET,retrieveRefund,r,r,x,live-verb,opid:refund,tightened
readGet,camara,ClickToDial,GET,getCall,r,r,x,party-noun,summary:call,tightened
readGet,camara,DedicatedNetworks,GET,listAccesses,r,r,x,party-noun,opid:access,tightened
readGet,camara,DedicatedNetworks,GET,readAccess,r,r,x,party-noun,summary:access,tightened
readGet,camara,DedicatedNetworks,GET,listNetworks,r,r,x,party-noun,opid:network,tightened
readGet,camara,DedicatedNetworks,GET,readNetwork,r,r,x,party-noun,summary:network,tightened
readGet,camara,InHomeDeviceManagement,GET,getDevice,r,r,x,party-noun,summary:device,tightened
readGet,camara,MultiPointVPN,GET,getNetwork,r,r,x,party-noun,summary:network,tightened
readGet,camara,NetworkAccessManagement,GET,getNetworkAccessDevice,r,r,x,party-noun,summary:device,tightened
readGet,camara,NetworkAccessManagement,GET,getRebootRequests,r,r,x,live-verb,opid:reboot,tightened
readGet,camara,NetworkAccessManagement,GET,getRebootRequest,r,r,x,live-verb,opid:reboot,tightened
readGet,camara,NetworkAccessManagement,GET,getTrustDomainDevice,r,r,x,party-noun,summary:device,tightened
readGet,camara,QualityOnDemand,GET,getQosAssignmentById,r,r,x,party-noun,opid:assignment,tightened
readGet,camara,QualityOnDemand,GET,getSession,r,r,x,party-noun,summary:session,tightened
readGet,camara,SessionInsights,GET,getSession,r,r,x,party-noun,summary:session,tightened
readGet,camara,SponsoredData,GET,getSessionStatus,r,r,x,party-noun,opid:session,tightened
readGet,camara,SponsoredData,GET,getActiveSponsorships,r,r,x,party-noun,opid:sponsorship,tightened
readGet,camara,WebRTC,GET,getSessionDetailsById,r,r,x,party-noun,summary:session,tightened
readGet,camara,WebRTC,GET,retrieveNotificationChannelSubscriptionList,r,r,x,party-noun,opid-token:channel,tightened
readGet,camara,WebRTC,GET,retrieveNotificationChannelSubscription,r,r,x,party-noun,opid-token:channel,tightened
readGet,camara,WebRTC,GET,getRegistrationsByDeviceId,r,r,x,party-noun,opid:device,tightened
readGet,holdout2,box,GET,get_enterprises_id_device_pinners,r,r,x,party-noun,summary:pin,tightened
readGet,holdout2,box,GET,get_files_id_collaborations,r,r,x,party-noun,summary:collaboration,tightened
readGet,holdout2,box,GET,get_folders_id_collaborations,r,r,x,party-noun,summary:collaboration,tightened
readGet,holdout2,box,GET,get_groups,r,r,x,party-noun,summary:group,tightened
readGet,holdout2,box,GET,get_groups_id_collaborations,r,r,x,party-noun,summary:collaboration,tightened
readGet,holdout2,box,GET,get_integration_mappings_teams,r,r,x,party-noun,opid:team,tightened
readGet,holdout2,box,GET,get_users_me,r,r,x,party-noun,summary:user,tightened
readGet,holdout2,box,GET,get_users_id,r,r,x,party-noun,summary:user,tightened
readGet,holdout2,box,GET,get_users_id_memberships,r,r,x,party-noun,summary:group,tightened
readGet,holdout2,box,GET,get_webhooks,r,r,x,party-noun,summary:webhook,tightened
readGet,holdout2,box,GET,get_webhooks_id,r,r,x,party-noun,summary:webhook,tightened
readGet,holdout2,pagerduty,GET,listIncidentWorkflowTriggers,r,r,x,live-verb,opid:triggers,tightened
readGet,holdout2,pagerduty,GET,getTeam,r,r,x,party-noun,summary:team,tightened
readGet,holdout2,pagerduty,GET,listTeamUsers,r,r,x,party-noun,summary:member,tightened
readGet,holdout2,pagerduty,GET,getCurrentUser,r,r,x,party-noun,summary:user,tightened
readGet,holdout2,pagerduty,GET,getUserSession,r,r,x,party-noun,summary:session,tightened
readGet,holdout2,adyen,GET,get-sessions-sessionId,r,r,x,party-noun,opid:session,tightened
readGet,holdout2,adyen,GET,get-storedPaymentMethods,r,r,x,party-noun,summary:token,tightened
readGet,holdout3,discord,GET,list_application_emojis,r,r,x,party-noun,opid:emoji,tightened
readGet,holdout3,discord,GET,get_application_emoji,r,r,x,party-noun,opid:emoji,tightened
readGet,holdout3,discord,GET,get_guild_application_command,r,r,x,party-noun,opid-token:guild,tightened
readGet,holdout3,discord,GET,list_pins,r,r,x,party-noun,opid:pin,tightened
readGet,holdout3,discord,GET,list_message_reactions_by_emoji,r,r,x,party-noun,opid:emoji,tightened
readGet,holdout3,discord,GET,list_thread_members,r,r,x,party-noun,opid:member,tightened
readGet,holdout3,discord,GET,get_guild,r,r,x,party-noun,opid-token:guild,tightened
readGet,holdout3,discord,GET,list_guild_invites,r,r,x,live-verb,opid:invites,tightened
readGet,holdout3,discord,GET,search_guild_members,r,r,x,party-noun,opid:member,tightened
readGet,holdout3,discord,GET,get_guilds_onboarding,r,r,x,party-noun,opid-token:guild,tightened
readGet,holdout3,discord,GET,preview_prune_guild,r,r,x,party-noun,opid:guild,tightened
readGet,holdout3,discord,GET,get_guild_join_requests,r,r,x,party-noun,opid-token:guild,tightened
readGet,holdout3,discord,GET,list_guild_scheduled_events,r,r,x,party-noun,opid-token:guild,tightened
readGet,holdout3,discord,GET,get_guild_scheduled_event,r,r,x,party-noun,opid-token:guild,tightened
readGet,holdout3,discord,GET,count_guild_scheduled_event_users,r,r,x,party-noun,opid:user,tightened
readGet,holdout3,discord,GET,list_guild_templates,r,r,x,party-noun,opid-token:guild,tightened
readGet,holdout3,discord,GET,get_guild_vanity_url,r,r,x,party-noun,opid-token:guild,tightened
readGet,holdout3,discord,GET,get_guild_welcome_screen,r,r,x,party-noun,opid-token:guild,tightened
readGet,holdout3,discord,GET,get_invite_target_users,r,r,x,live-verb,opid:invite,tightened
readGet,holdout3,discord,GET,get_sticker,r,r,x,party-noun,opid-token:sticker,tightened
readGet,holdout3,discord,GET,list_my_guilds,r,r,x,party-noun,opid:guild,tightened
readGet,holdout3,discord,GET,get_webhook,r,r,x,party-noun,opid-token:webhook,tightened
