config,set,repo,method,operationId,truth,predicted,rule,evidence,label
c11,camara,TrafficInfluence,DELETE,deleteTrafficInfluence,x,w,floor,,x-dressed-as-w
c11,holdout1,github,PUT,issues/set-issue-field-values,x,w,floor,,x-dressed-as-w
c11,holdout1,github,DELETE,issues/remove-sub-issue,x,w,floor,,x-dressed-as-w
c11,holdout3,vercel,DELETE,deleteRedirects,x,w,floor,,x-dressed-as-w
c11,holdout5,slack,GET,apps_permissions_request,x,r,locked,,
c11,holdout5,slack,GET,apps_permissions_users_request,x,r,locked,,
c11,holdout5,slack,GET,apps_uninstall,w,r,locked,,
c11,holdout5,slack,GET,auth_revoke,w,r,locked,,
c11,holdout5,slack,GET,dialog_open,x,r,locked,,
c11,holdout5,slack,GET,files_remote_share,x,r,locked,,
c11,holdout5,slack,GET,oauth_access,x,r,locked,,
c11,holdout5,slack,GET,oauth_token,x,r,locked,,
c11,holdout5,slack,GET,oauth_v2_access,x,r,locked,,
c11,holdout5,slack,GET,rtm_connect,x,r,locked,,
c11,holdout5,slack,GET,views_open,x,r,locked,,
c11,holdout5,slack,GET,views_publish,x,r,locked,,
c11,holdout5,slack,GET,views_push,x,r,locked,,
c11,holdout5,slack,GET,views_update,w,r,locked,,
c11,holdout5,slack,GET,workflows_stepCompleted,x,r,locked,,
c11,holdout5,slack,GET,workflows_stepFailed,x,r,locked,,
c11,holdout5,slack,GET,workflows_updateStep,w,r,locked,,
c15 (noTextRaise off),camara,TrafficInfluence,PATCH,patchTrafficInfluence,x,w,floor,,x-dressed-as-w
c15 (noTextRaise off),camara,TrafficInfluence,DELETE,deleteTrafficInfluence,x,w,floor,,x-dressed-as-w
c15 (noTextRaise off),holdout1,github,PUT,issues/set-issue-field-values,x,w,floor,,x-dressed-as-w
c15 (noTextRaise off),holdout1,github,DELETE,issues/remove-sub-issue,x,w,floor,,x-dressed-as-w
c15 (noTextRaise off),holdout3,discord,PATCH,update_stage_instance,x,w,floor,,x-dressed-as-w
c15 (noTextRaise off),holdout3,vercel,PATCH,patchUrlProtectionBypass,x,w,floor,,x-dressed-as-w
c15 (noTextRaise off),holdout3,vercel,DELETE,deleteRedirects,x,w,floor,,x-dressed-as-w
c15 (noTextRaise off),holdout3,vercel,PATCH,updateSandbox,x,w,floor,,x-dressed-as-w
c15 (noTextRaise off),holdout4,cloudflare,PATCH,ssl-verification-edit-ssl-certificate-pack-validation-method,x,w,floor,,x-dressed-as-w
c15 (noTextRaise off),holdout5,slack,GET,apps_permissions_request,x,r,floor,,
c15 (noTextRaise off),holdout5,slack,GET,apps_permissions_users_request,x,r,floor,,
c15 (noTextRaise off),holdout5,slack,GET,apps_uninstall,w,r,floor,,
c15 (noTextRaise off),holdout5,slack,GET,auth_revoke,w,r,floor,,
c15 (noTextRaise off),holdout5,slack,GET,dialog_open,x,r,floor,,
c15 (noTextRaise off),holdout5,slack,GET,files_remote_share,x,r,floor,,
c15 (noTextRaise off),holdout5,slack,GET,oauth_access,x,r,floor,,
c15 (noTextRaise off),holdout5,slack,GET,oauth_token,x,r,floor,,
