section,set,vendor,repo,method,operationId,gt_class,c15_class,c16_class,c17_class,c17_rule,c17_evidence
all,camara,camara,ApplicationEndpointRegistration,PUT,updateApplicationEndpoint,w,w,w,w,floor,
all,camara,camara,ApplicationEndpointRegistration,DELETE,deregisterApplicationEndpoint,w,w,w,w,floor,
all,camara,camara,ApplicationProfiles,PATCH,updateApplicationProfile,w,w,w,w,floor,
all,camara,camara,ApplicationProfiles,DELETE,deleteApplicationProfile,w,w,w,w,floor,
all,camara,camara,BlockchainPublicAddress,DELETE,deleteBlockchainPublicAddress,w,w,w,w,floor,
all,camara,camara,ClickToDial,DELETE,terminateCall,x,x,x,x,live-verb,opid:terminate
all,camara,camara,ConnectedNetworkType,DELETE,deleteConnectedNetworkTypeSubscription,w,w,w,w,floor,
all,camara,camara,ConnectivityInsights,DELETE,deleteSubscription,w,w,w,w,floor,
all,camara,camara,ConsentManagement,PATCH,updateConsent,w,w,w,w,floor,
all,camara,camara,DedicatedNetworks,DELETE,deleteAccess,x,x,x,x,party-noun,summary:access
all,camara,camara,DedicatedNetworks,DELETE,deleteNetwork,x,x,x,x,party-noun,summary:network
all,camara,camara,DeviceDataVolume,DELETE,deleteDeviceDataVolumeSubscription,w,w,w,w,floor,
all,camara,camara,DeviceLocation,DELETE,deleteGeofencingSubscription,w,w,w,w,floor,
all,camara,camara,DeviceReachabilityStatus,DELETE,deleteDeviceReachabilityStatusSubscription,w,w,w,w,floor,
all,camara,camara,DeviceRoamingStatus,DELETE,deleteDeviceRoamingStatusSubscription,w,w,w,w,floor,
all,camara,camara,DeviceStatus,DELETE,deleteConnectedNetworkTypeSubscription,w,w,w,w,floor,
all,camara,camara,DeviceStatus,DELETE,deleteDeviceReachabilityStatusSubscription,w,w,w,w,floor,
all,camara,camara,DeviceStatus,DELETE,deleteDeviceRoamingStatusSubscription,w,w,w,w,floor,
all,camara,camara,EdgeApplicationManagement,DELETE,deleteApp,w,w,w,w,floor,
all,camara,camara,EdgeApplicationManagement,DELETE,deleteAppInstance,w,x,x,x,live-verb,summary:terminate
