set,repo,path,method,operationId,gt_class,pred,confidence,status,evidence
camara,NetworkAccessManagement,/reboot-requests/{rebootRequestId},DELETE,deleteRebootRequest,w,x,1,assigned,scope:reboot->raise
camara,NetworkAccessManagement,/trust-domains,POST,createTrustDomain,w,x,0.8,assigned,scope:trust-domains-agrees;verbtable:create->raise:shareX=1.000
camara,NetworkAccessManagement,/trust-domains/{trustDomainId},DELETE,deleteTrustDomain,w,x,1,assigned,scope:trust-domains->raise
camara,NetworkAccessManagement,/trust-domains/{trustDomainId}/devices/{deviceId},DELETE,deleteTrustDomainDevice,w,x,1,assigned,scope:devices->raise
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Messages/{MessageSid}/Feedback.json,POST,CreateMessageFeedback,w,x,0.8,assigned,verbtable:create->raise:shareX=0.974
holdout2,box,/ai/ask,POST,post_ai_ask,r,x,0.8,assigned,verbtable:post->raise:shareX=1.000
holdout2,box,/ai/text_gen,POST,post_ai_text_gen,r,x,0.8,assigned,verbtable:post->raise:shareX=1.000
holdout2,box,/files/{file_id}/metadata/global/boxSkillsCards,POST,post_files_id_metadata_global_boxSkillsCards,w,x,0.8,assigned,verbtable:post->raise:shareX=1.000
holdout2,box,/folders/{folder_id}/metadata/enterprise/securityClassification-6VMVochwUWo,POST,post_folders_id_metadata_enterprise_securityClassification-6VMVochwUWo,w,x,0.8,assigned,verbtable:post->raise:shareX=1.000
holdout2,box,/metadata_cascade_policies/{metadata_cascade_policy_id}/apply,POST,post_metadata_cascade_policies_id_apply,w,x,0.8,assigned,verbtable:post->raise:shareX=1.000
holdout2,pagerduty,/automation_actions/actions/{id}/teams,POST,createAutomationActionTeamAssociation,w,x,0.8,assigned,verbtable:create->raise:shareX=0.974
holdout2,adyen,/cardDetails,POST,post-cardDetails,r,x,0.8,assigned,verbtable:post->raise:shareX=1.000
holdout2,adyen,/donationCampaigns,POST,post-donationCampaigns,r,x,0.8,assigned,verbtable:post->raise:shareX=1.000
holdout2,adyen,/originKeys,POST,post-originKeys,r,x,0.8,assigned,verbtable:post->raise:shareX=1.000
holdout2,adyen,/paymentMethods,POST,post-paymentMethods,r,x,0.8,assigned,verbtable:post->raise:shareX=1.000
holdout2,adyen,/paymentMethods/balance,POST,post-paymentMethods-balance,r,x,0.8,assigned,verbtable:post->raise:shareX=1.000
holdout2,adyen,/validateShopperId,POST,post-validateShopperId,r,x,0.8,assigned,verbtable:post->raise:shareX=1.000
