set,repo,path,method,operationId,gt_class,pred,confidence,status,evidence
camara,ApplicationEndpointDiscovery,/retrieve-optimal-app-endpoints,POST,getOptimalAppEndpoints,r,r,2.6348416289592764,assigned,scope:read->lower:r;corpus:get->lower:r:shareGet=0.835;verbtable:get->lower:r:shareR=1.000
camara,ApplicationEndpointRegistration,/application-endpoint-lists,POST,registerApplicationEndpoints,x,x,0.9333333333333333,assigned,scope:write->raise:writeFamilyShare=0.933
camara,ApplicationEndpointRegistration,/application-endpoint-lists,GET,getAllRegisteredApplicationEndpoints,r,r,1,assigned,method-prior:GET-locked
camara,ApplicationEndpointRegistration,/application-endpoint-lists/{applicationEndpointListId},GET,getApplicationEndpointsById,r,r,1,assigned,method-prior:GET-locked
camara,ApplicationEndpointRegistration,/application-endpoint-lists/{applicationEndpointListId},PUT,updateApplicationEndpoint,w,w,0,review,scope:update-agrees
camara,ApplicationEndpointRegistration,/application-endpoint-lists/{applicationEndpointListId},DELETE,deregisterApplicationEndpoint,w,w,0,review,scope:delete-agrees
camara,ApplicationProfiles,/application-profiles,POST,createApplicationProfile,x,x,1.8,assigned,scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.973
camara,ApplicationProfiles,/application-profiles/{applicationProfileId},PATCH,updateApplicationProfile,w,x,0.7471264367816092,review,scope:update-write-no-table;corpus:update->lower:w:sharePutPatch=0.747
camara,ApplicationProfiles,/application-profiles/{applicationProfileId},GET,readApplicationProfile,r,r,1,assigned,method-prior:GET-locked
camara,ApplicationProfiles,/application-profiles/{applicationProfileId},DELETE,deleteApplicationProfile,w,w,0,review,scope:delete-agrees
camara,BlockchainPublicAddress,/nonce,POST,createBlockchainPublicAddressValidationNonce,x,x,1.8,assigned,scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.973
camara,BlockchainPublicAddress,/blockchain-public-addresses/retrieve-blockchains,POST,retrieveBlockchainPublicAddress,r,r,2.7199999999999998,assigned,scope:read->lower:r;corpus:retrieve->lower:r:shareGet=0.920;verbtable:retrieve->lower:r:shareR=1.000
camara,BlockchainPublicAddress,/blockchain-public-addresses,POST,bindBlockchainPublicAddress,x,x,1,assigned,scope:create->raise:xHintShare=1.000
camara,BlockchainPublicAddress,/blockchain-public-addresses/{id},DELETE,deleteBlockchainPublicAddress,w,w,0,review,scope:delete-agrees
camara,CallForwardingSignal,/unconditional-call-forwardings,POST,retrieveUnconditionalCallForwarding,r,r,2.7199999999999998,assigned,scope:read->lower:r;corpus:retrieve->lower:r:shareGet=0.920;verbtable:retrieve->lower:r:shareR=1.000
camara,CallForwardingSignal,/call-forwardings,POST,retrieveCallForwarding,r,r,2.7199999999999998,assigned,scope:read->lower:r;corpus:retrieve->lower:r:shareGet=0.920;verbtable:retrieve->lower:r:shareR=1.000
camara,CapabilitiesAndRuntimeRestrictions,/retrieve,POST,postServiceCapability,x,x,1,assigned,scope:read->lower:r;bodyprop:subscriptionRequest->raise:n=8:share=1.000;flag:callbacks_present-suppressed:read-verb
camara,CarrierBillingCheckOut,/payments/{paymentId}/refunds,POST,createRefund,x,x,2.723076923076923,assigned,scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.972;flag:callbacks_present->raise:n=39:share=0.923
camara,CarrierBillingCheckOut,/payments/{paymentId}/refunds,GET,retrieveRefunds,r,r,1,assigned,method-prior:GET-locked
camara,CarrierBillingCheckOut,/payments/{paymentId}/refunds/{refundId},GET,retrieveRefund,r,r,1,assigned,method-prior:GET-locked
camara,CarrierBillingCheckOut,/payments/{paymentId}/refunds/remaining-amount,GET,retrievePaymentRemainingAmount,r,r,1,assigned,method-prior:GET-locked
camara,CarrierBillingCheckOut,/payments,POST,createPayment,x,x,2.723076923076923,assigned,scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.972;flag:callbacks_present->raise:n=39:share=0.923
camara,CarrierBillingCheckOut,/payments,GET,retrievePayments,r,r,1,assigned,method-prior:GET-locked
camara,CarrierBillingCheckOut,/payments/{paymentId},GET,retrievePayment,r,r,1,assigned,method-prior:GET-locked
camara,CarrierBillingCheckOut,/payments/prepare,POST,preparePayment,x,x,1.9230769230769231,assigned,scope:create->raise:xHintShare=1.000;flag:callbacks_present->raise:n=39:share=0.923
camara,CarrierBillingCheckOut,/payments/{paymentId}/validate,POST,validatePayment,x,x,1,assigned,scope:write->raise:writeFamilyShare=1.000
camara,CarrierBillingCheckOut,/payments/{paymentId}/confirm,POST,confirmPayment,x,x,1,assigned,scope:write->raise:writeFamilyShare=1.000
camara,CarrierBillingCheckOut,/payments/{paymentId}/cancel,POST,cancelPayment,w,x,1,assigned,scope:write->raise:writeFamilyShare=1.000
camara,ClickToDial,/calls,POST,createCall,x,x,2.726829268292683,assigned,scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.973;flag:callbacks_present->raise:n=41:share=0.927
camara,ClickToDial,/calls/{callId},GET,getCall,r,r,1,assigned,method-prior:GET-locked
camara,ClickToDial,/calls/{callId},DELETE,terminateCall,x,w,0,review,scope:delete-agrees
camara,ClickToDial,/calls/{callId}/recording,GET,getRecording,r,r,1,assigned,method-prior:GET-locked
