set,repo,path,method,operationId,gt_class,resolved,security_present,security_scheme_count,security_scopes,doc_top_level_security,doc_oauth2_flows_with_scopes,doc_security_scheme_external_ref,requestBody_present,requestBody_media_type,requestBody_props,requestBody_party_money,status_codes,has200,has201,has202,has204,callbacks_present,doc_has_webhooks,desc_mentions_callback,idempotency_header_param,party_id_param,x_extension_keys,has_operationId,has_summary,has_description,resource_schema_found,resource_schema_from,resource_schema_props,resource_schema_party_field
camara,ApplicationEndpointDiscovery,/retrieve-optimal-app-endpoints,POST,getOptimalAppEndpoints,r,true,true,1,application-endpoint-discovery:app-endpoints:read,false,false,true,true,application/json,device|applicationEndpointsId|appId,false,200|400|401|403|404|422|429,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,ApplicationEndpointRegistration,/application-endpoint-lists,POST,registerApplicationEndpoints,x,true,true,1,application-endpoint-registration:application-endpoints:write,false,false,true,true,application/json,applicationEndpoints|applicationProviderName|applicationDescription|applicationProfileId,false,200|400|401|403|404|429,true,false,false,false,false,false,false,false,false,,true,true,true,true,/application-endpoint-lists,applicationEndpointListId|applicationEndpointsInfo,false
camara,ApplicationEndpointRegistration,/application-endpoint-lists,GET,getAllRegisteredApplicationEndpoints,r,true,true,1,application-endpoint-registration:application-endpoints:read,false,false,true,false,,,false,200|400|401|403|429,true,false,false,false,false,false,false,false,false,,true,true,true,true,/application-endpoint-lists,applicationEndpointListId|applicationEndpointsInfo,false
camara,ApplicationEndpointRegistration,/application-endpoint-lists/{applicationEndpointListId},GET,getApplicationEndpointsById,r,true,true,1,application-endpoint-registration:application-endpoints:read,false,false,true,false,,,false,200|400|401|403|404|429,true,false,false,false,false,false,false,false,false,,true,true,true,true,/application-endpoint-lists/{applicationEndpointListId},applicationEndpointListId|applicationEndpointsInfo,false
camara,ApplicationEndpointRegistration,/application-endpoint-lists/{applicationEndpointListId},PUT,updateApplicationEndpoint,w,true,true,1,application-endpoint-registration:application-endpoints:update,false,false,true,true,application/json,applicationEndpoints|applicationProviderName|applicationDescription|applicationProfileId,false,204|400|401|403|404|429,false,false,false,true,false,false,false,false,false,,true,true,true,true,/application-endpoint-lists/{applicationEndpointListId},applicationEndpointListId|applicationEndpointsInfo,false
camara,ApplicationEndpointRegistration,/application-endpoint-lists/{applicationEndpointListId},DELETE,deregisterApplicationEndpoint,w,true,true,1,application-endpoint-registration:application-endpoints:delete,false,false,true,false,,,false,204|400|401|403|404|429,false,false,false,true,false,false,false,false,false,,true,true,true,true,/application-endpoint-lists/{applicationEndpointListId},applicationEndpointListId|applicationEndpointsInfo,false
camara,ApplicationProfiles,/application-profiles,POST,createApplicationProfile,x,true,true,1,application-profiles:create,false,false,true,true,application/json,networkQualityThresholds|computeResources,false,201|400|401|403|429,false,true,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,ApplicationProfiles,/application-profiles/{applicationProfileId},PATCH,updateApplicationProfile,w,true,true,1,application-profiles:update,false,false,true,true,application/json,applicationProfileId|networkQualityThresholds|computeResources,false,200|400|401|403|404|429,true,false,false,false,false,false,false,false,false,,true,true,true,true,/application-profiles/{applicationProfileId},applicationProfileId|networkQualityThresholds|computeResources,false
camara,ApplicationProfiles,/application-profiles/{applicationProfileId},GET,readApplicationProfile,r,true,true,1,application-profiles:read,false,false,true,false,,,false,200|400|401|403|404|429,true,false,false,false,false,false,false,false,false,,true,true,true,true,/application-profiles/{applicationProfileId},applicationProfileId|networkQualityThresholds|computeResources,false
camara,ApplicationProfiles,/application-profiles/{applicationProfileId},DELETE,deleteApplicationProfile,w,true,true,1,application-profiles:delete,false,false,true,false,,,false,204|400|401|403|404|429,false,false,false,true,false,false,false,false,false,,true,true,true,true,/application-profiles/{applicationProfileId},applicationProfileId|networkQualityThresholds|computeResources,false
camara,BlockchainPublicAddress,/nonce,POST,createBlockchainPublicAddressValidationNonce,x,true,true,1,blockchain-public-address-validation:create,false,false,false,true,application/json,blockchainPublicAddress,false,201|400|401|403|429,false,true,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,BlockchainPublicAddress,/blockchain-public-addresses/retrieve-blockchains,POST,retrieveBlockchainPublicAddress,r,true,true,1,blockchain-public-address:read,false,false,false,true,application/json,phoneNumber,true,200|400|401|403|404|429,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
