token,position,providers,ops_total,raw_get,raw_post,raw_put,raw_patch,raw_delete,raw_head,raw_options,perprov_get,perprov_post,perprov_put,perprov_patch,perprov_delete,perprov_head,perprov_options
get,lead,377,12908,11879,1026,2,0,0,0,1,369,70,2,0,0,0,1
get,opid,365,17226,15830,1347,5,0,0,43,1,354,72,3,0,0,2,1
delete,lead,217,3354,7,717,6,0,2624,0,0,4,29,2,0,205,0,0
delete,opid,213,5995,220,1022,9,1,4743,0,0,7,39,3,1,201,0,0
create,lead,213,2809,24,2623,160,2,0,0,0,11,209,19,1,0,0,0
create,opid,188,5301,233,4034,1034,0,0,0,0,16,183,19,0,0,0,0
update,lead,188,2783,17,840,1537,386,3,0,0,3,62,138,57,1,0,0
update,opid,180,5397,110,1073,2867,1343,4,0,0,15,74,124,61,2,0,0
user,path,180,3696,1894,937,342,113,402,6,2,165,125,71,40,90,3,1
list,opid,173,8242,6611,1508,47,25,51,0,0,164,42,16,7,16,0,0
search,path,158,914,722,180,7,1,4,0,0,138,44,5,1,2,0,0
by,opid,151,3062,2383,287,194,17,169,12,0,142,46,20,6,35,2,0
user,opid,141,2732,1444,651,257,85,290,5,0,129,96,54,29,72,2,0
id,opid,140,2815,1562,323,386,83,459,2,0,127,45,26,11,50,1,0
list,lead,136,3080,2027,1039,4,0,10,0,0,131,16,3,0,2,0,0
status,path,130,519,266,140,72,37,4,0,0,105,28,20,4,4,0,0
post,opid,129,3387,49,3314,16,1,7,0,0,11,126,7,1,6,0,0
search,opid,129,806,616,174,11,0,5,0,0,112,41,5,0,3,0,0
api,path,123,7351,3663,1659,821,296,858,48,6,110,83,44,23,54,2,1
status,opid,115,558,309,137,75,35,2,0,0,96,23,19,4,1,0,0
add,opid,112,887,60,721,93,6,7,0,0,6,107,24,3,1,0,0
add,lead,109,633,21,527,80,2,3,0,0,2,103,28,2,1,0,0
account,path,108,3109,1411,723,458,124,385,3,5,96,80,46,20,51,2,1
all,opid,108,846,745,67,14,0,20,0,0,95,20,7,0,13,0,0
token,path,107,396,118,216,15,9,38,0,0,52,87,11,8,30,0,0
list,path,93,1903,511,1289,41,19,43,0,0,79,40,15,5,18,0,0
search,lead,93,573,473,100,0,0,0,0,0,78,24,0,0,0,0,0
event,path,92,857,458,271,43,29,55,0,1,85,39,13,12,20,0,1
account,opid,90,1771,823,531,184,74,158,1,0,78,59,34,18,35,1,0
token,opid,90,375,114,198,18,8,35,2,0,47,73,13,7,26,1,0
type,path,89,1047,767,159,43,26,52,0,0,88,26,15,8,15,0,0
group,path,88,7299,3207,1720,946,481,902,43,0,86,63,39,24,51,1,0
type,opid,87,892,572,166,66,24,64,0,0,83,27,21,8,21,0,0
group,opid,81,2213,1023,738,156,85,206,5,0,78,57,34,19,44,1,0
detail,opid,81,325,257,51,9,7,1,0,0,73,16,8,4,1,0,0
to,opid,78,551,196,272,54,10,19,0,0,22,63,18,5,6,0,0
info,opid,78,340,270,37,20,6,6,1,0,75,16,11,3,4,1,0
for,opid,77,1376,761,466,85,2,62,0,0,64,37,11,2,10,0,0
remove,lead,77,333,4,91,6,0,232,0,0,2,24,2,0,57,0,0
set,opid,76,1237,302,614,235,35,49,2,0,17,58,35,11,14,1,0
file,opid,76,545,246,193,51,8,41,6,0,57,53,18,6,22,3,0
post,lead,73,2517,7,2509,0,0,1,0,0,2,71,0,0,1,0,0
report,path,70,532,309,180,16,4,23,0,0,60,41,9,4,14,0,0
file,path,70,531,254,168,37,17,51,4,0,58,49,18,7,22,2,0
info,path,70,288,206,52,16,7,7,0,0,64,18,9,4,6,0,0
tag,path,69,1163,465,456,63,18,154,7,0,61,41,23,13,32,2,0
event,opid,69,737,381,267,26,20,42,0,1,66,31,11,10,15,0,1
update,path,68,879,89,735,41,8,6,0,0,21,50,16,4,4,0,0
setting,path,68,811,356,146,173,64,71,1,0,60,35,37,11,19,1,0
service,path,67,4345,1337,2287,279,134,262,44,2,62,36,24,9,26,2,1
put,opid,67,1148,24,220,903,1,0,0,0,1,5,66,1,0,0,0
version,opid,67,643,312,222,32,22,53,2,0,62,18,16,7,15,1,0
name,opid,67,433,209,137,53,7,25,2,0,52,19,16,4,11,2,0
email,path,66,433,167,142,72,6,45,1,0,42,41,21,5,18,1,0
api,opid,65,1041,464,263,118,32,149,15,0,56,32,14,12,20,1,0
from,opid,65,487,196,202,9,1,75,4,0,31,38,3,1,24,2,0
categories,path,65,466,296,77,38,20,35,0,0,63,26,18,7,17,0,0
remove,opid,65,420,29,171,6,0,214,0,0,3,27,2,0,46,0,0
profile,path,64,692,314,219,54,39,65,0,1,54,37,17,14,21,0,1
image,path,64,657,307,234,40,9,53,14,0,50,39,16,5,25,1,0
request,opid,64,564,288,188,38,11,39,0,0,35,57,17,9,20,0,0
get,path,63,1629,599,1027,2,0,1,0,0,49,24,2,0,1,0,0
version,path,63,834,412,239,69,22,89,2,1,58,18,14,7,12,1,1
log,opid,63,345,207,97,18,3,20,0,0,53,22,7,2,12,0,0
log,path,63,343,208,89,24,2,18,0,2,57,22,7,2,11,0,1
upload,opid,63,266,33,182,30,3,18,0,0,14,59,13,2,10,0,0
data,opid,62,591,245,254,41,12,39,0,0,52,24,14,7,12,0,0
key,path,61,742,231,320,33,18,137,1,2,52,43,19,9,30,1,1
history,path,61,282,197,58,18,4,5,0,0,58,16,3,2,4,0,0
set,lead,61,244,6,97,132,9,0,0,0,2,37,30,4,0,0,0
data,path,59,1203,574,372,125,35,95,0,2,51,25,12,9,14,0,1
key,opid,59,719,253,338,35,24,69,0,0,50,37,19,9,24,0,0
id,path,59,368,212,86,31,5,34,0,0,49,21,5,4,8,0,0
code,opid,59,341,201,78,16,24,22,0,0,44,29,6,5,10,0,0
cancel,opid,59,329,19,234,27,7,42,0,0,4,38,8,5,20,0,0
email,opid,59,313,110,117,42,7,34,3,0,39,40,19,5,16,1,0
all,path,59,195,128,54,10,0,3,0,0,42,21,5,0,3,0,0
webhook,path,58,644,304,183,52,27,78,0,0,50,54,26,10,44,0,0
config,path,57,803,301,271,143,24,64,0,0,55,32,29,12,28,0,0
setting,opid,57,644,286,125,125,67,41,0,0,54,25,23,13,16,0,0
request,path,57,417,147,196,29,4,41,0,0,32,50,11,4,19,0,0
password,path,57,159,28,89,33,7,2,0,0,13,40,25,5,2,0,0
service,opid,56,1503,773,411,124,75,116,2,2,55,28,23,10,24,1,1
product,path,56,866,442,236,78,22,83,5,0,53,33,19,7,25,1,0
config,opid,56,690,264,249,90,33,54,0,0,54,24,29,12,23,0,0
payment,path,56,555,270,166,63,11,43,0,2,50,37,18,5,16,0,1
check,opid,56,362,137,176,13,8,11,17,0,39,29,7,4,5,3,0
subscription,path,55,6918,3309,1358,930,448,827,46,0,50,36,20,11,34,1,0
2,path,55,1811,834,568,192,31,186,0,0,45,32,16,9,17,0,0
item,opid,55,1450,912,302,93,38,102,3,0,48,37,25,10,30,1,0
delete,path,55,883,11,822,1,0,49,0,0,6,48,1,0,10,0,0
by,path,55,518,419,91,3,2,3,0,0,47,17,2,1,2,0,0
export,path,54,365,183,149,9,7,17,0,0,47,32,6,6,12,0,0
send,opid,54,218,30,168,11,3,6,0,0,10,48,8,3,5,0,0
cancel,path,54,196,4,157,29,6,0,0,0,2,45,8,4,0,0,0
tag,opid,53,1121,417,469,62,59,77,37,0,49,32,22,11,25,1,0
notification,path,53,401,176,123,45,19,36,2,0,40,38,21,9,16,1,0
name,path,53,332,166,115,33,2,15,1,0,41,16,8,1,4,1,0
change,opid,53,262,80,113,59,3,7,0,0,25,28,20,3,5,0,0
download,opid,53,160,110,40,4,0,3,3,0,47,16,2,0,1,1,0
