set,vendor,method,path,operationId,summary,truth,step,class,rule,flag,verdict
camara,camara,POST,/retrieve-optimal-app-endpoints,getOptimalAppEndpoints,Returns the Endpoint(s) of the optimal Application Instance(s) to the user device identified in the request.,r,1,r,read-verb,,ok
camara,camara,POST,/application-endpoint-lists,registerApplicationEndpoints,Register endpoints of a deployed application,x,3,x,floor,,ok
camara,camara,GET,/application-endpoint-lists,getAllRegisteredApplicationEndpoints,Get all registered edge application endpoint information,r,1,r,method,,ok
camara,camara,GET,/application-endpoint-lists/{applicationEndpointListId},getApplicationEndpointsById,Get registered edge application endpoint information,r,1,r,method,,ok
camara,camara,PUT,/application-endpoint-lists/{applicationEndpointListId},updateApplicationEndpoint,Update an application Endpoint,w,2,w,floor,x-pile,ok
camara,camara,DELETE,/application-endpoint-lists/{applicationEndpointListId},deregisterApplicationEndpoint,Deregister an application Endpoint,w,2,w,floor,x-pile,ok
camara,camara,POST,/application-profiles,createApplicationProfile,Create an Application Profile,x,3,x,floor,,ok
camara,camara,PATCH,/application-profiles/{applicationProfileId},updateApplicationProfile,Update an Application Profile,w,2,w,floor,x-pile,ok
camara,camara,GET,/application-profiles/{applicationProfileId},readApplicationProfile,Get an Application Profile,r,1,r,method,,ok
camara,camara,DELETE,/application-profiles/{applicationProfileId},deleteApplicationProfile,Delete an Application Profile,w,2,w,floor,x-pile,ok
camara,camara,POST,/nonce,createBlockchainPublicAddressValidationNonce,Generates a one-time nonce associated to a specific Blockchain Public Address,x,3,x,floor,,ok
camara,camara,POST,/blockchain-public-addresses/retrieve-blockchains,retrieveBlockchainPublicAddress,Retrieves Blockchain Public Address associated with a mobile phone number.,r,1,r,read-verb,,ok
camara,camara,POST,/blockchain-public-addresses,bindBlockchainPublicAddress,Binds Blockchain Public Address to a mobile phone number,x,3,x,floor,,ok
camara,camara,DELETE,/blockchain-public-addresses/{id},deleteBlockchainPublicAddress,Unbinds Blockchain Public Address association to a mobile phone number,w,2,w,floor,x-pile,ok
camara,camara,POST,/unconditional-call-forwardings,retrieveUnconditionalCallForwarding,Retrieve the information about the status of the unconditional call forwarding service on a phone number (PhoneNumber),r,1,r,read-verb,,ok
camara,camara,POST,/call-forwardings,retrieveCallForwarding,Retrieve the information about the type of call forwarding service active on a phone number (PhoneNumber),r,1,r,read-verb,,ok
camara,camara,POST,/retrieve,postServiceCapability,Retrieve tailored service capabilities based on consumer context,x,3,x,floor,,ok
camara,camara,POST,/payments/{paymentId}/refunds,createRefund,Create a new Refund,x,3,x,floor,,ok
camara,camara,GET,/payments/{paymentId}/refunds,retrieveRefunds,Get a list of refunds,r,1,r,method,,ok
camara,camara,GET,/payments/{paymentId}/refunds/{refundId},retrieveRefund,Get refund details,r,1,r,method,,ok
camara,camara,GET,/payments/{paymentId}/refunds/remaining-amount,retrievePaymentRemainingAmount,Get remaining amount not refunded for a given payment,r,1,r,method,,ok
camara,camara,POST,/payments,createPayment,Create a new Payment,x,3,x,floor,,ok
camara,camara,GET,/payments,retrievePayments,Get a list of payments,r,1,r,method,,ok
camara,camara,GET,/payments/{paymentId},retrievePayment,Get payment details,r,1,r,method,,ok
camara,camara,POST,/payments/prepare,preparePayment,Prepare (reserve) a payment,x,3,x,floor,,ok
camara,camara,POST,/payments/{paymentId}/validate,validatePayment,Validate a payment,x,3,x,floor,,ok
camara,camara,POST,/payments/{paymentId}/confirm,confirmPayment,Confirm a payment,x,3,x,floor,,ok
camara,camara,POST,/payments/{paymentId}/cancel,cancelPayment,Cancel a payment,w,3,x,floor,,FALSE-ALARM
camara,camara,POST,/calls,createCall,Create a new Click to Dial call session,x,3,x,floor,,ok
camara,camara,GET,/calls/{callId},getCall,Get call details,r,1,r,method,,ok
