set,vendor,method,operationId,path,summary,truth,predicted,rule,floor,verdict,previous_predicted,previous_verdict
exam3,6-dot-authentiqio.appspot.com,PUT,sign_update,/scope/{job},,x,w,floor,true,LEAK,w,LEAK
exam3,anchore.io,DELETE,delete_account,/accounts/{accountname},"Delete the specified account, only allowed if the account is in the disabled state. All users will be deleted along with the account and all resources will be g",x,w,floor,true,LEAK,x,ok
exam3,anchore.io,PUT,update_account_state,/accounts/{accountname}/state,Update the state of an account to either enabled or disabled. For deletion use the DELETE route,x,w,floor,true,LEAK,w,LEAK
exam3,appcenter.ms,DELETE,storeReleases_delete,/v0.1/apps/{owner_name}/{app_name}/distribution_stores/{store_name}/releases/{release_id},,x,w,floor,true,LEAK,w,LEAK
exam2,apple.com,DELETE,apps-betaTesters-delete_to_many_relationship,/v1/apps/{id}/relationships/betaTesters,,x,w,floor,true,LEAK,w,LEAK
exam3,apple.com,DELETE,betaTesters-delete_instance,/v1/betaTesters/{id},,x,w,floor,true,LEAK,w,LEAK
exam3,azure.com,PUT,NotificationRecipientEmail_CreateOrUpdate,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/notifications/{notificationName}/recipientEmails/{email},,x,w,floor,true,LEAK,w,LEAK
exam3,biapi.pro,PUT,,/users/{id_user}/connections/{id_connection}/sources/{id_source},Update connection source,x,w,floor,true,LEAK,w,LEAK
holdout2,box,DELETE,delete_collaborations_id,/collaborations/{collaboration_id},Remove collaboration,x,w,floor,true,LEAK,x,ok
exam3,britbox.co.uk,PUT,createPinRequest,/ee/pin,,x,w,floor,true,LEAK,x,ok
exam3,britbox.co.uk,PUT,updateSubscription,/account/billing/subscriptions/{id},,x,w,floor,true,LEAK,w,LEAK
exam2,callfire.com,PUT,updateCampaignBatch,/campaigns/batches/{id},Update a batch,x,w,floor,true,LEAK,x,ok
camara,camara,DELETE,deleteAccess,/accesses/{accessId},Delete an access,x,w,floor,true,LEAK,x,ok
camara,camara,DELETE,deleteDevice,/v1/devices/{deviceId},Delete device record,x,w,floor,true,LEAK,x,ok
camara,camara,DELETE,deleteNetwork,/networks/{networkId},Delete a dedicated network,x,w,floor,true,LEAK,x,ok
camara,camara,DELETE,deleteTrafficInfluence,/traffic-influences/{trafficInfluenceID},Delete an existing TrafficInfluence resource,x,w,floor,true,LEAK,x,ok
camara,camara,PATCH,patchTrafficInfluence,/traffic-influences/{trafficInfluenceID},"updates a specific TrafficInfluence resource, identified by the trafficInfluenceID value. If used for a specific user, the Device parameter can not be modified.",x,w,floor,true,LEAK,x,ok
camara,camara,PATCH,updateDevice,/v1/devices/{deviceId},Update device information,x,w,floor,true,LEAK,x,ok
exam3,citrixonline.com,DELETE,,/meetings/{meetingId},Delete meeting,x,w,floor,true,LEAK,x,ok
exam3,citrixonline.com,DELETE,,/organizers,Delete organizer by email,x,w,floor,true,LEAK,x,ok
exam3,citrixonline.com,DELETE,,/organizers/{organizerKey},Delete organizer,x,w,floor,true,LEAK,x,ok
exam3,citrixonline.com,PUT,,/meetings/{meetingId},Update meeting,x,w,floor,true,LEAK,x,ok
exam3,citrixonline.com,PUT,,/organizers/{organizerKey},Update organizer,x,w,floor,true,LEAK,x,ok
exam2,clearblade.com,PUT,AddEdgeCommand,/api/v/4/{SystemKey}/adapters/{AdapterName}/control,ADAPTERS - Send command to edge,x,w,floor,true,LEAK,w,LEAK
exam3,clearblade.com,PUT,SettingsChanges,/admin/user/{systemKey}/roles,DEVELOPER - Changes roles settings,x,w,floor,true,LEAK,w,LEAK
