set,vendor,method,operationId,path,summary,truth,predicted,rule,floor,verdict,previous_predicted,previous_verdict
exam3,1password.local,DELETE,DeleteVaultItem,/vaults/{vaultUuid}/items/{itemUuid},Delete an Item,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,1password.local,PATCH,PatchVaultItem,/vaults/{vaultUuid}/items/{itemUuid},Update a subset of Item attributes,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam2,1password.local,PUT,UpdateVaultItem,/vaults/{vaultUuid}/items/{itemUuid},Update an Item,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,6-dot-authentiqio.appspot.com,DELETE,sign_delete,/scope/{job},,w,x,no-own-noun,false,FALSE-ALARM,w,ok
exam3,6-dot-authentiqio.appspot.com,PUT,key_bind,/key/{PK},,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,ably.io,DELETE,deletePushDeviceDetails,/push/channelSubscriptions,Delete a registered device's update token,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,ably.io,DELETE,unregisterAllPushDevices,/push/deviceRegistrations,Unregister matching devices for push notifications,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,ably.io,DELETE,unregisterPushDevice,/push/deviceRegistrations/{device_id},Unregister a single device for push notifications,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,ably.io,PATCH,patchPushDeviceDetails,/push/deviceRegistrations/{device_id},Update a device registration,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,ably.io,PUT,putPushDeviceDetails,/push/deviceRegistrations/{device_id},Update a device registration,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,ably.net,DELETE,,/apps/{app_id}/namespaces/{namespace_id},Deletes a namespace,w,x,no-own-noun,false,FALSE-ALARM,w,ok
exam3,ably.net,DELETE,,/apps/{app_id}/queues/{queue_id},Deletes a queue,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,ably.net,PATCH,,/apps/{app_id}/namespaces/{namespace_id},Updates a namespace,w,x,no-own-noun,false,FALSE-ALARM,w,ok
exam3,adafruit.com,DELETE,destroyActivities,/{username}/activities,All activities for current user,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam2,adafruit.com,DELETE,destroyGroup,/{username}/groups/{group_key},Delete an existing Group,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,adafruit.com,DELETE,destroyToken,/{username}/tokens/{id},Delete an existing Token,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,adafruit.com,DELETE,destroyTrigger,/{username}/triggers/{id},Delete an existing Trigger,w,x,live-verb,false,FALSE-ALARM,x,FALSE-ALARM
exam3,adafruit.com,PATCH,updateGroup,/{username}/groups/{group_key},Update properties of an existing Group,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,adafruit.com,PATCH,updateToken,/{username}/tokens/{id},Update properties of an existing Token,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,adafruit.com,PATCH,updateTrigger,/{username}/triggers/{id},Update properties of an existing Trigger,w,x,live-verb,false,FALSE-ALARM,x,FALSE-ALARM
exam3,adafruit.com,PUT,replaceGroup,/{username}/groups/{group_key},Replace an existing Group,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,adafruit.com,PUT,replaceToken,/{username}/tokens/{id},Replace an existing Token,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,adafruit.com,PUT,replaceTrigger,/{username}/triggers/{id},Replace an existing Trigger,w,x,live-verb,false,FALSE-ALARM,x,FALSE-ALARM
holdout2,adyen,DELETE,delete-storedPaymentMethods-storedPaymentMethodId,/storedPaymentMethods/{storedPaymentMethodId},Delete a token for stored payment details,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
holdout2,adyen,PATCH,patch-paymentLinks-linkId,/paymentLinks/{linkId},Update the status of a payment link,w,x,no-own-noun,false,FALSE-ALARM,w,ok
exam3,agco-ats.com,DELETE,AuthorizationCodeDefinitions_DeleteAuthorizationCodeDefinition,/api/v2/AuthorizationCodeDefinitions/{id},Disable an authorization code definition,w,x,no-own-noun,false,FALSE-ALARM,w,ok
exam2,agco-ats.com,DELETE,PackageTypetoBundles_Delete,/api/v2/PackageTypetoBundles,Delete a Package Type to Bundle Relationship.,w,x,no-own-noun,false,FALSE-ALARM,w,ok
exam3,agco-ats.com,DELETE,PriorityPackages_DeletePriorityPackages,/api/v2/PriorityPackages/{ID},Delete a Priority Package for a Client.,w,x,no-own-noun,false,FALSE-ALARM,w,ok
exam2,agco-ats.com,PUT,Activities_PutActivity,/api/v2/activities/{activityID},Update an Activity,w,x,no-own-noun,false,FALSE-ALARM,w,ok
exam3,agco-ats.com,PUT,AftermarketServices_UpdateUserStatus,/api/v2/AftermarketServices/UserStatuses,Update the status of an EDT Kit Registration with AGCO Power Web Services,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,agco-ats.com,PUT,AuthorizationCodeDefinitions_PutAuthorizationCodeDefinition,/api/v2/AuthorizationCodeDefinitions/{id},Update an authorization code definition,w,x,no-own-noun,false,FALSE-ALARM,w,ok
exam3,agco-ats.com,PUT,ContentDefinitions_PutContentDefinition,/api/v2/ContentDefinitions/{contentDefinitionID},Update a ContentDefinition,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam2,agco-ats.com,PUT,ContentDefinitions_PutContentDefinitionAttributeAsync,/api/v2/ContentDefinitionAttributes/{contentDefinitionAttributeID},Update an Attribute for a ContentDefinition,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,agco-ats.com,PUT,ContentSubmissions_PutContentSubmissionAttributes,/api/v2/ContentSubmissionAttributes/Batch,No Documentation Found.,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,agco-ats.com,PUT,GlobalImages_PutGlobalImage,/api/v2/GlobalImages/{ID},Update the metadata for an image.,w,x,no-own-noun,false,FALSE-ALARM,w,ok
exam3,agco-ats.com,PUT,LicenseActivations_Put,/api/v2/LicenseActivations/{ID},Update a license activiation.,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,agco-ats.com,PUT,PackageTypetoBundles_Put,/api/v2/PackageTypetoBundles,Update a Package Type ID to Bundle Relationship.,w,x,no-own-noun,false,FALSE-ALARM,w,ok
exam3,agco-ats.com,PUT,StringTranslations_UpdateTranslation,/api/v2/StringTranslations/{stringId}/{languageId},Update a string value or a state for a string translation.,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam2,agco-ats.com,PUT,StringTranslations_UpdateTranslations,/api/v2/StringTranslations/Batch,Update corrections to string translations,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
exam3,agco-ats.com,PUT,TranslationSets_UpdateTranslationSetStrings,/api/v2/TranslationSets/{ID}/Strings,No Documentation Found.,w,x,no-own-noun,false,FALSE-ALARM,x,FALSE-ALARM
