provider,method,path,operationId,summary,class,step,rule,flag
stripe,GET,/v1/account,GetAccount,Retrieve account,r,1,method,
stripe,POST,/v1/account_links,PostAccountLinks,Create an account link,x,3,floor,
stripe,POST,/v1/account_sessions,PostAccountSessions,Create an Account Session,x,3,floor,
stripe,GET,/v1/accounts,GetAccounts,List all connected accounts,r,1,method,
stripe,POST,/v1/accounts,PostAccounts,Create an account,x,3,floor,
stripe,GET,/v1/accounts/{account},GetAccountsAccount,Retrieve account,r,1,method,
stripe,POST,/v1/accounts/{account},PostAccountsAccount,Update an account,x,3,floor,
stripe,DELETE,/v1/accounts/{account},DeleteAccountsAccount,Delete an account,w,2,floor,x-pile
stripe,POST,/v1/accounts/{account}/bank_accounts,PostAccountsAccountBankAccounts,Create an external account,x,3,floor,
stripe,GET,/v1/accounts/{account}/bank_accounts/{id},GetAccountsAccountBankAccountsId,Retrieve an external account,r,1,method,
stripe,POST,/v1/accounts/{account}/bank_accounts/{id},PostAccountsAccountBankAccountsId,Update a bank account,x,3,floor,
stripe,DELETE,/v1/accounts/{account}/bank_accounts/{id},DeleteAccountsAccountBankAccountsId,Delete an external account,w,2,floor,x-pile
stripe,GET,/v1/accounts/{account}/capabilities,GetAccountsAccountCapabilities,List all account capabilities,r,1,method,
stripe,GET,/v1/accounts/{account}/capabilities/{capability},GetAccountsAccountCapabilitiesCapability,Retrieve an Account Capability,r,1,method,
stripe,POST,/v1/accounts/{account}/capabilities/{capability},PostAccountsAccountCapabilitiesCapability,Update an Account Capability,x,3,floor,
stripe,GET,/v1/accounts/{account}/external_accounts,GetAccountsAccountExternalAccounts,List all external accounts,r,1,method,
stripe,POST,/v1/accounts/{account}/external_accounts,PostAccountsAccountExternalAccounts,Create an external account,x,3,floor,
stripe,GET,/v1/accounts/{account}/external_accounts/{id},GetAccountsAccountExternalAccountsId,Retrieve an external account,r,1,method,
stripe,POST,/v1/accounts/{account}/external_accounts/{id},PostAccountsAccountExternalAccountsId,Update a bank account,x,3,floor,
stripe,DELETE,/v1/accounts/{account}/external_accounts/{id},DeleteAccountsAccountExternalAccountsId,Delete an external account,w,2,floor,x-pile
stripe,POST,/v1/accounts/{account}/login_links,PostAccountsAccountLoginLinks,Create a login link,x,3,floor,
stripe,GET,/v1/accounts/{account}/people,GetAccountsAccountPeople,List all persons,r,1,method,
stripe,POST,/v1/accounts/{account}/people,PostAccountsAccountPeople,Create a person,x,3,floor,
stripe,GET,/v1/accounts/{account}/people/{person},GetAccountsAccountPeoplePerson,Retrieve a person,r,1,method,
stripe,POST,/v1/accounts/{account}/people/{person},PostAccountsAccountPeoplePerson,Update a person,x,3,floor,
stripe,DELETE,/v1/accounts/{account}/people/{person},DeleteAccountsAccountPeoplePerson,Delete a person,w,2,floor,x-pile
stripe,GET,/v1/accounts/{account}/persons,GetAccountsAccountPersons,List all persons,r,1,method,
stripe,POST,/v1/accounts/{account}/persons,PostAccountsAccountPersons,Create a person,x,3,floor,
stripe,GET,/v1/accounts/{account}/persons/{person},GetAccountsAccountPersonsPerson,Retrieve a person,r,1,method,
stripe,POST,/v1/accounts/{account}/persons/{person},PostAccountsAccountPersonsPerson,Update a person,x,3,floor,
stripe,DELETE,/v1/accounts/{account}/persons/{person},DeleteAccountsAccountPersonsPerson,Delete a person,w,2,floor,x-pile
stripe,POST,/v1/accounts/{account}/reject,PostAccountsAccountReject,Reject an account,x,3,floor,
stripe,POST,/v1/accounts/{account}/unreject,PostAccountsAccountUnreject,Unreject an account,x,3,floor,
stripe,GET,/v1/apple_pay/domains,GetApplePayDomains,,r,1,method,
stripe,POST,/v1/apple_pay/domains,PostApplePayDomains,,x,3,floor,
stripe,GET,/v1/apple_pay/domains/{domain},GetApplePayDomainsDomain,,r,1,method,
stripe,DELETE,/v1/apple_pay/domains/{domain},DeleteApplePayDomainsDomain,,x,3,live-verb,
stripe,GET,/v1/application_fees,GetApplicationFees,List all application fees,r,1,method,
stripe,GET,/v1/application_fees/{fee}/refunds/{id},GetApplicationFeesFeeRefundsId,Retrieve an application fee refund,r,1,method,
stripe,POST,/v1/application_fees/{fee}/refunds/{id},PostApplicationFeesFeeRefundsId,Update an application fee refund,x,3,floor,
stripe,GET,/v1/application_fees/{id},GetApplicationFeesId,Retrieve an application fee,r,1,method,
stripe,POST,/v1/application_fees/{id}/refund,PostApplicationFeesIdRefund,,x,3,floor,
stripe,GET,/v1/application_fees/{id}/refunds,GetApplicationFeesIdRefunds,List all application fee refunds,r,1,method,
stripe,POST,/v1/application_fees/{id}/refunds,PostApplicationFeesIdRefunds,Create an application fee refund,x,3,floor,
stripe,GET,/v1/apps/secrets,GetAppsSecrets,List secrets,r,1,method,
stripe,POST,/v1/apps/secrets,PostAppsSecrets,Set a Secret,x,3,floor,
stripe,POST,/v1/apps/secrets/delete,PostAppsSecretsDelete,Delete a Secret,x,3,floor,
stripe,GET,/v1/apps/secrets/find,GetAppsSecretsFind,Find a Secret,r,1,method,
stripe,GET,/v1/balance,GetBalance,Retrieve balance,r,1,method,
stripe,GET,/v1/balance/history,GetBalanceHistory,List all balance transactions,r,1,method,
stripe,GET,/v1/balance/history/{id},GetBalanceHistoryId,Retrieve a balance transaction,r,1,method,
stripe,GET,/v1/balance_settings,GetBalanceSettings,Retrieve balance settings,r,1,method,
stripe,POST,/v1/balance_settings,PostBalanceSettings,Update balance settings,x,3,floor,
stripe,GET,/v1/balance_transactions,GetBalanceTransactions,List all balance transactions,r,1,method,
stripe,GET,/v1/balance_transactions/{id},GetBalanceTransactionsId,Retrieve a balance transaction,r,1,method,
stripe,GET,/v1/billing/alerts,GetBillingAlerts,List billing alerts,r,1,method,
stripe,POST,/v1/billing/alerts,PostBillingAlerts,Create a billing alert,x,3,floor,
stripe,GET,/v1/billing/alerts/{id},GetBillingAlertsId,Retrieve a billing alert,r,1,method,
stripe,POST,/v1/billing/alerts/{id}/activate,PostBillingAlertsIdActivate,Activate a billing alert,x,3,floor,
stripe,POST,/v1/billing/alerts/{id}/archive,PostBillingAlertsIdArchive,Archive a billing alert,x,3,floor,
stripe,POST,/v1/billing/alerts/{id}/deactivate,PostBillingAlertsIdDeactivate,Deactivate a billing alert,x,3,floor,
stripe,GET,/v1/billing/credit_balance_summary,GetBillingCreditBalanceSummary,Retrieve the credit balance summary for a customer,r,1,method,
stripe,GET,/v1/billing/credit_balance_transactions,GetBillingCreditBalanceTransactions,List credit balance transactions,r,1,method,
stripe,GET,/v1/billing/credit_balance_transactions/{id},GetBillingCreditBalanceTransactionsId,Retrieve a credit balance transaction,r,1,method,
stripe,GET,/v1/billing/credit_grants,GetBillingCreditGrants,List credit grants,r,1,method,
stripe,POST,/v1/billing/credit_grants,PostBillingCreditGrants,Create a credit grant,x,3,floor,
stripe,GET,/v1/billing/credit_grants/{id},GetBillingCreditGrantsId,Retrieve a credit grant,r,1,method,
